
[00:00:00.000 --> 00:00:02.640]  今年尖閣禁的題目是甚麼呢?
[00:00:02.640 --> 00:00:04.880]  今年尖閣禁的主題是甚麼呢?
[00:00:04.880 --> 00:00:16.720]  使命承擔 薪火相傳
[00:00:16.720 --> 00:00:21.360]  請問在座每一位怎樣去演繹這句話呢?
[00:00:21.360 --> 00:00:24.720]  請問在座每一位我們要怎樣去演繹這段話呢?
[00:00:24.720 --> 00:00:27.280]  如果大家要去落實 怎樣去做呢?
[00:00:27.280 --> 00:00:29.920]  如果大家要去落實 應該怎麼做呢?
[00:00:29.920 --> 00:00:33.120]  教導下一代是不是一件很艱難的事呢?
[00:00:33.120 --> 00:00:35.840]  教導下一代是不是一件很艱難的事呢?
[00:00:35.840 --> 00:00:38.000]  在家庭中你怎樣去處理呢?
[00:00:38.000 --> 00:00:40.000]  在家庭中你怎樣去處理呢?
[00:00:40.000 --> 00:00:42.000]  我家有兩個年輕人
[00:00:42.000 --> 00:00:44.000]  我家中有兩位年輕人
[00:00:44.000 --> 00:00:46.160]  正是在成長關鍵的時刻
[00:00:46.160 --> 00:00:48.160]  正是在成長關鍵的時刻
[00:00:48.160 --> 00:00:51.040]  很多時候他們的看法和我有些不同
[00:00:51.040 --> 00:00:53.440]  很多時候他們的看法和我有些不同
[00:00:53.440 --> 00:00:55.040]  包括社會議題
[00:00:55.040 --> 00:00:56.400]  包括社會議題
[00:00:56.400 --> 00:01:00.000]  最近的議題非常有刺激性
[00:01:00.000 --> 00:01:02.240]  最近的話題非常有刺激性
[00:01:02.240 --> 00:01:03.440]  在學業上
[00:01:03.440 --> 00:01:04.480]  在學業上
[00:01:04.480 --> 00:01:05.520]  在信仰上
[00:01:05.520 --> 00:01:06.560]  在信仰上
[00:01:06.560 --> 00:01:13.920]  兩位年輕人和我和太太都可能有些分歧
[00:01:13.920 --> 00:01:17.600]  兩位年輕人和我和太太中間可能有一些分歧
[00:01:17.600 --> 00:01:21.120]  兩位年輕人和我和太太中間可能有一些分歧
[00:01:21.120 --> 00:01:23.680]  但感謝神我們一家人仍然可以溝通
[00:01:23.680 --> 00:01:24.960]  但感謝神我們一家人仍然可以溝通
[00:01:24.960 --> 00:01:25.920]  求大同
[00:01:25.920 --> 00:01:27.920]  傳小義
[00:01:27.920 --> 00:01:32.560]  但我知道有些頂屎妹在想
[00:01:32.560 --> 00:01:34.000]  生火相傳
[00:01:34.000 --> 00:01:37.840]  就是將我們的下一代帶回來教會就可以了
[00:01:37.840 --> 00:01:39.680]  但我想可能有些人想
[00:01:39.680 --> 00:01:43.440]  新火相傳就是把我們下一代帶來教會就可以了
[00:01:43.440 --> 00:01:47.600]  由教會栽培他們
[00:01:47.600 --> 00:01:50.080]  做得不好我就向教會問責
[00:01:50.080 --> 00:01:52.560]  做得不好我們就問教會的責任
[00:01:52.560 --> 00:01:53.520]  是不是這樣呢
[00:01:53.520 --> 00:01:54.640]  是否是這樣呢
[00:01:54.640 --> 00:01:56.480]  教會當然有他的責任
[00:01:56.480 --> 00:01:58.240]  教會當然有他的責任
[00:01:58.240 --> 00:01:59.200]  但你們呢
[00:01:59.200 --> 00:02:00.320]  但你們呢
[00:02:00.320 --> 00:02:01.680]  聖經怎樣教導
