
[00:00:00.000 --> 00:00:03.560]  在耶穌登山的結尾部分
[00:00:03.560 --> 00:00:07.440]  有四組對比讓我們看見
[00:00:07.440 --> 00:00:11.040]  人生其實有很多種選擇
[00:00:11.040 --> 00:00:13.800]  例如我們有時去到餐廳
[00:00:13.800 --> 00:00:16.800]  你可能要選中廳還是西廳
[00:00:16.800 --> 00:00:20.400]  或者有時見到餐牌有很多不同的食物
[00:00:20.400 --> 00:00:22.200]  究竟吃甚麼呢
[00:00:22.200 --> 00:00:25.800]  我經常被師母取笑我
[00:00:25.800 --> 00:00:29.200]  她說我有多重選擇的障礙症
[00:00:29.200 --> 00:00:31.760]  特別是去到一些快餐店
[00:00:31.760 --> 00:00:37.400]  有那麼多不同的A餐到F餐
[00:00:37.400 --> 00:00:40.200]  但後來我真的很進步
[00:00:40.200 --> 00:00:43.600]  現在去到我基本上很快就選擇到
[00:00:43.600 --> 00:00:44.800]  你知道為甚麼嗎
[00:00:44.800 --> 00:00:46.800]  因為我只看最後的部分
[00:00:46.800 --> 00:00:48.400]  是飯還是意粉
[00:00:48.400 --> 00:00:50.800]  意粉我就選擇那樣
[00:00:50.800 --> 00:00:53.200]  一般有時意粉是少一點的
[00:00:53.200 --> 00:00:55.200]  我看到這件事
[00:00:55.200 --> 00:00:58.200]  其實很多東西你可以將不同的選擇
[00:00:58.200 --> 00:01:00.200]  歸納為兩種
[00:01:00.200 --> 00:01:02.000]  這樣比較容易選擇
[00:01:02.000 --> 00:01:03.000]  學校也是
[00:01:03.000 --> 00:01:05.800]  有很多家長都很緊張自己的子女
[00:01:05.800 --> 00:01:11.000]  自小希望他能夠一早入到好的學校
[00:01:11.000 --> 00:01:15.400]  但學校可以分中文學校還是英文學校
[00:01:15.400 --> 00:01:17.600]  本土還是國際
[00:01:17.600 --> 00:01:20.600]  甚至是名校或者不是名校
[00:01:20.600 --> 00:01:23.600]  入不到名校不用太失望
[00:01:23.600 --> 00:01:27.000]  因為今日香港人太過著重
[00:01:27.000 --> 00:01:32.600]  就以為我們說千萬不要執輸
[00:01:32.600 --> 00:01:36.000]  最重要的小朋友要贏在起跑線
[00:01:36.000 --> 00:01:37.800]  我們這個星期有一個聚會
[00:01:37.800 --> 00:01:40.400]  就是輸在起跑線
[00:01:40.400 --> 00:01:44.600]  其實小朋友的成長不是在起跑線那裡
[00:01:44.600 --> 00:01:46.600]  好像有好的條件
[00:01:46.600 --> 00:01:48.400]  他一生必然成功
[00:01:48.400 --> 00:01:49.400]  不一定
[00:01:49.400 --> 00:01:52.400]  其實最重要是贏在衝線
[00:01:52.400 --> 00:01:56.200]  人生重要的就是你的人生下半場
[00:01:56.200 --> 00:01:58.000]  怎樣來度過
[00:01:58.000 --> 00:02:01.400]  很多人上半場有很多美好的條件
[00:02:01.400 --> 00:02:03.000]  但下半場輸了
[00:02:03.000 --> 00:02:06.200]  到衝線的時候一敗塗地
[00:02:06.200 --> 00:02:08.600]  所以有很多書都會說
[00:02:08.600 --> 00:02:10.600]  我們除了hard time之外
[00:02:10.600 --> 00:02:13.200]  就是在說finishing well
[00:02:13.200 --> 00:02:15.600]  我們需要在我們生命的終結
[00:02:15.600 --> 00:02:19.000]  在我們要迎見我們的創造主的時候
[00:02:19.000 --> 00:02:22.800]  我們能夠無悔無憾地去交仗
[00:02:22.800 --> 00:02:27.200]  我們讓我們的人生真的有目標有意義去生活的時候
