
[00:00:00.000 --> 00:00:02.000]  (主席)請小姐平安
[00:00:02.000 --> 00:00:11.120]  請我們再次做一個低頭祈禱
[00:00:11.120 --> 00:00:13.060]  慰勞到今天要聽的訊息
[00:00:13.060 --> 00:00:15.600]  親愛的天父我們感謝祢
[00:00:15.600 --> 00:00:17.600]  讓我們能夠在這裏
[00:00:17.600 --> 00:00:18.800]  去敬拜祢
[00:00:18.800 --> 00:00:20.800]  用心靈和誠實去敬拜祢
[00:00:20.800 --> 00:00:24.700]  也都讓我能夠去聽民主自己的話語
[00:00:24.700 --> 00:00:27.300]  但願聖靈祢對我們講說話
[00:00:27.300 --> 00:00:29.600]  讓我們每一人聽到而行到
[00:00:29.600 --> 00:00:31.900]  在我們生活裏面能夠見證祢
[00:00:31.900 --> 00:00:33.400]  活出祢的道
[00:00:33.400 --> 00:00:35.900]  並且真的能夠將榮耀歸給祢
[00:00:35.900 --> 00:00:38.600]  願聖靈祢自己高抹孩子
[00:00:38.600 --> 00:00:40.400]  也都高抹我們每一個弟兄姊妹
[00:00:40.400 --> 00:00:42.100]  進到我們內心裏面
[00:00:42.100 --> 00:00:43.900]  幫助我們明白祢的話
[00:00:43.900 --> 00:00:44.900]  奉主耶穌的名求
[00:00:44.900 --> 00:00:46.900]  阿們
[00:00:46.900 --> 00:00:50.600]  我剛剛回來幾天
[00:00:50.600 --> 00:00:52.600]  這次很特別
[00:00:52.600 --> 00:00:56.900]  因為從中國回來已經病了兩個多星期
[00:00:56.900 --> 00:00:58.900]  腰也都傷了
[00:00:58.900 --> 00:01:01.900]  不過現在好多了
[00:01:01.900 --> 00:01:04.900]  也都多謝弟兄姊妹的祈禱
[00:01:04.900 --> 00:01:06.900]  不過在香港的時候
[00:01:06.900 --> 00:01:11.900]  我有機會去再接觸黃利文牧師
[00:01:11.900 --> 00:01:15.900]  可能我們上一輩的人都認識黃媽媽
[00:01:15.900 --> 00:01:17.900]  不知道誰還認識黃媽媽的
[00:01:17.900 --> 00:01:19.900]  記不記得黃媽媽
[00:01:19.900 --> 00:01:24.900]  黃媽媽是我們教會的會友
[00:01:24.900 --> 00:01:26.900]  她以前住在South Perth
[00:01:26.900 --> 00:01:29.900]  我們教會開始沒多久
[00:01:29.900 --> 00:01:31.900]  她就開放她家庭
[00:01:31.900 --> 00:01:33.900]  她矮矮細細瘦瘦的
[00:01:33.900 --> 00:01:35.900]  說上海話
[00:01:35.900 --> 00:01:38.900]  腳有一條鐵板在那裏
[00:01:38.900 --> 00:01:40.900]  所以她會挾挾挾挾
[00:01:40.900 --> 00:01:43.900]  在那裏的時候已經八十多歲
[00:01:43.900 --> 00:01:45.900]  她有幾個兒子
[00:01:45.900 --> 00:01:47.900]  一個也是住在South Perth
[00:01:47.900 --> 00:01:49.900]  其中一個兒子叫黃利文牧師
[00:01:49.900 --> 00:01:53.900]  他以前在澳洲長大
[00:01:53.900 --> 00:01:55.900]  在柏斯一段時間
[00:01:55.900 --> 00:01:56.900]  在澳洲長大
[00:01:56.900 --> 00:01:58.900]  然後在香港讀神學
[00:01:58.900 --> 00:01:59.900]  他是我的校友
[00:01:59.900 --> 00:02:00.900]  在中國神學研究院
[00:02:00.900 --> 00:02:02.900]  低我一班
[00:02:02.900 --> 00:02:05.900]  所以他的牧者
[00:02:05.900 --> 00:02:08.900]  黃利文牧師這個牧者
[00:02:08.900 --> 00:02:11.900]  在香港已經三十年了
[00:02:11.900 --> 00:02:14.900]  這次有很特別的機會
[00:02:14.900 --> 00:02:15.900]  在香港見到他
[00:02:15.900 --> 00:02:18.900]  時不時我都找他聊聊天
[00:02:18.900 --> 00:02:21.900]  我知道他們教會很蒙福
[00:02:21.900 --> 00:02:22.900]  叫做牧鄰教會
[00:02:22.900 --> 00:02:24.900]  香港的牧鄰教會
[00:02:24.900 --> 00:02:26.900]  有沒有人聽過這個教會
[00:02:26.900 --> 00:02:28.900]  牧鄰教會
[00:02:28.900 --> 00:02:30.900]  比較少人聽到這個教會
[00:02:30.900 --> 00:02:31.900]  這個教會好像寂寂無名
[00:02:31.900 --> 00:02:34.900]  但是做了很奇妙的工作
[00:02:34.900 --> 00:02:37.900]  做了很多很奇妙的工作
[00:02:37.900 --> 00:02:38.900]  因為黃利文牧師
[00:02:38.900 --> 00:02:42.900]  基本上他神學院畢業之後
[00:02:42.900 --> 00:02:43.900]  出來做傳道
[00:02:43.900 --> 00:02:44.900]  去一般的教會
[00:02:44.900 --> 00:02:45.900]  好像我們這樣的教會
[00:02:45.900 --> 00:02:47.900]  傳統的教會
[00:02:47.900 --> 00:02:48.900]  但是做著做著的時候
[00:02:48.900 --> 00:02:51.900]  他發覺到有些東西不太行
[00:02:51.900 --> 00:02:54.900]  發覺到教會很內向
[00:02:54.900 --> 00:02:55.900]  發覺到教會
[00:02:55.900 --> 00:02:58.900]  經常只顧著自己
[00:02:58.900 --> 00:03:00.900]  九成九的工作和侍奉
[00:03:00.900 --> 00:03:02.900]  都是為自己的
[00:03:02.900 --> 00:03:04.900]  怎樣唱詩都好
[00:03:04.900 --> 00:03:05.900]  建築物
