
[00:00:00.000 --> 00:00:04.000]  阿雷路亞 這是祖復活得勝的日子
[00:00:04.000 --> 00:00:05.000]  Amen
[00:00:05.000 --> 00:00:08.000]  好像沒什麼反應
[00:00:08.000 --> 00:00:16.000]  你知道這個
[00:00:16.000 --> 00:00:20.500]  啟示錄
[00:00:20.500 --> 00:00:24.000]  我們已經講到 今天講到第九章了
[00:00:24.000 --> 00:00:25.500]  那啟示錄呢
[00:00:25.500 --> 00:00:27.500]  到了這個七號開始
[00:00:27.500 --> 00:00:29.000]  七號 七應
[00:00:29.000 --> 00:00:30.500]  七應 七號 七晚
[00:00:30.500 --> 00:00:33.500]  那麼接下來一連串的
[00:00:33.500 --> 00:00:37.500]  都是在講到這個災難
[00:00:37.500 --> 00:00:40.000]  其實講這一段是最不好講的
[00:00:40.000 --> 00:00:41.000]  為什麼呢
[00:00:41.000 --> 00:00:43.500]  因為人不喜歡聽這些東西啊
[00:00:43.500 --> 00:00:45.000]  雖然疫情這麼嚴重
[00:00:45.000 --> 00:00:47.000]  大家明明知道疫情
[00:00:47.000 --> 00:00:49.000]  這個全世界大家都知道
[00:00:49.000 --> 00:00:50.500]  災難是必定有的
[00:00:50.500 --> 00:00:51.500]  但是你會發現
[00:00:51.500 --> 00:00:54.500]  人的心裡面是不喜歡災難的
[00:00:54.500 --> 00:00:55.000]  是不是
[00:00:55.000 --> 00:00:56.500]  有人喜歡聽嗎
[00:00:56.500 --> 00:00:58.000]  有人喜歡這些事情嗎
[00:00:58.000 --> 00:00:59.000]  不喜歡
[00:00:59.000 --> 00:01:00.000]  所以你會發現
[00:01:00.000 --> 00:01:01.500]  傳福音困難也就在這裡
[00:01:01.500 --> 00:01:02.500]  因為呢
[00:01:02.500 --> 00:01:03.500]  現在的人啊
[00:01:03.500 --> 00:01:04.500]  你告訴他
[00:01:04.500 --> 00:01:07.000]  你說要他升官發財
[00:01:07.000 --> 00:01:09.000]  你要他能夠得祝福這些
[00:01:09.000 --> 00:01:11.000]  他一定很喜歡
[00:01:11.000 --> 00:01:12.000]  可是呢
[00:01:12.000 --> 00:01:13.000]  在這個背後
[00:01:13.000 --> 00:01:15.000]  福音一個基本的東西
[00:01:15.000 --> 00:01:17.500]  是不能夠改變的
[00:01:17.500 --> 00:01:19.500]  福音不能夠變成是
[00:01:19.500 --> 00:01:21.000]  我們不講那個福音
[00:01:21.000 --> 00:01:23.000]  讓人討厭的地方
[00:01:23.000 --> 00:01:25.500]  如果我們把福音讓人討厭的
[00:01:25.500 --> 00:01:26.500]  把十字架
[00:01:26.500 --> 00:01:29.000]  把耶穌基督的救贖
[00:01:29.000 --> 00:01:31.000]  認罪悔改
[00:01:31.000 --> 00:01:32.500]  把這個東西丟掉了
[00:01:32.500 --> 00:01:35.000]  那麼我們的福音就沒有意義了
[00:01:35.000 --> 00:01:37.000]  我們的福音就變成是
[00:01:37.000 --> 00:01:38.500]  這個所謂的成功神學
[00:01:38.500 --> 00:01:40.500]  我們的福音就會變成社會福音
[00:01:40.500 --> 00:01:46.500]  我們的福音就變成是廉價的福音
[00:01:46.500 --> 00:01:48.000]  因此
[00:01:48.000 --> 00:01:50.000]  我們今天再來看這段聖經
[00:01:50.000 --> 00:01:53.000]  我們一起來思想
[00:01:53.000 --> 00:01:55.000]  在聖經裡面提到
[00:01:55.000 --> 00:01:58.000]  這些的災難
[00:01:58.000 --> 00:02:01.000]  前面我們上個禮拜的信息裡面提到
[00:02:01.000 --> 00:02:05.000]  當這個前面的四個號
[00:02:05.000 --> 00:02:07.000]  前面四個天使
[00:02:07.000 --> 00:02:10.000]  他們所發生的是一個一組
[00:02:10.000 --> 00:02:11.000]  那個災難
[00:02:11.000 --> 00:02:13.000]  接著後面三個天使
[00:02:13.000 --> 00:02:15.000]  那麼三個天使後面的
[00:02:15.000 --> 00:02:18.000]  就是另外的一個災難的一組
[00:02:18.000 --> 00:02:20.000]  那這個災難請記得
[00:02:20.000 --> 00:02:22.000]  都是越來越頻繁
[00:02:22.000 --> 00:02:24.000]  越來越厲害的
[00:02:24.000 --> 00:02:26.000]  前面四個災已經夠厲害了
[00:02:26.000 --> 00:02:27.000]  是不是
[00:02:27.000 --> 00:02:29.000]  這個水都是苦的
[00:02:29.000 --> 00:02:30.000]  有沒有
[00:02:30.000 --> 00:02:32.000]  還有這個天地都變黑了
[00:02:32.000 --> 00:02:33.000]  等等等等這些
[00:02:33.000 --> 00:02:39.000]  但是這些還只是發生在大自然上面的
[00:02:39.000 --> 00:02:41.000]  那麼接著我們看今天講到
[00:02:41.000 --> 00:02:46.000]  第五位天使垂號
[00:02:46.000 --> 00:02:47.000]  丁子妹
[00:02:47.000 --> 00:02:49.000]  我順便在這邊提醒一下
[00:02:49.000 --> 00:02:51.000]  你如果手邊沒有聖經的
[00:02:51.000 --> 00:02:52.000]  拿本聖經來
[00:02:52.000 --> 00:02:54.000]  那麼一定要記得
[00:02:54.000 --> 00:02:56.000]  不要只是用一個耳朵聽
[00:02:56.000 --> 00:02:57.000]  學習
[00:02:57.000 --> 00:02:59.000]  當這個聖經在講的時候
[00:02:59.000 --> 00:03:00.000]  你看著聖經
[00:03:00.000 --> 00:03:01.000]  翻到哪裡的時候
[00:03:01.000 --> 00:03:03.000]  跟著一起來讀
[00:03:03.000 --> 00:03:04.000]  這個是操練我們
[00:03:04.000 --> 00:03:07.000]  怎麼樣子在沒有人看的情況之下
[00:03:07.000 --> 00:03:12.000]  你仍然過一個真實的基督徒生活
[00:03:12.000 --> 00:03:14.000]  第五位天使在那邊垂號
[00:03:14.000 --> 00:03:17.000]  在第九章第一節這邊就提到
[00:03:17.000 --> 00:03:19.000]  我們看一下
[00:03:19.000 --> 00:03:23.000]  前面的陸陸續續的我們講過的
[00:03:23.000 --> 00:03:25.000]  不管是四匹馬
[00:03:25.000 --> 00:03:29.000]  或者是前面我們所提到的這些事情
[00:03:29.000 --> 00:03:30.000]  都是看見那個災難
[00:03:30.000 --> 00:03:32.000]  戰爭
[00:03:32.000 --> 00:03:33.000]  不管是外面的戰爭
[00:03:33.000 --> 00:03:35.000]  裡面的戰爭
[00:03:35.000 --> 00:03:37.000]  還有這些大自然的災害
[00:03:37.000 --> 00:03:38.000]  地震頻繁
[00:03:38.000 --> 00:03:42.000]  這些都是看見主要再來的跡象
[00:03:42.000 --> 00:03:43.000]  是不是
[00:03:43.000 --> 00:03:46.000]  我們看見現在藉著Internet發達
[00:03:46.000 --> 00:03:47.000]  我們看見說
[00:03:47.000 --> 00:03:48.000]  你看緬甸
[00:03:48.000 --> 00:03:50.000]  突然一下子在疫情
[00:03:50.000 --> 00:03:52.000]  大家都應該乖乖的待在家裡面的時候
[00:03:52.000 --> 00:03:54.000]  就突然來一個政變
[00:03:54.000 --> 00:03:56.000]  來一個政變造成結果就是
[00:03:56.000 --> 00:03:58.000]  現在人們也不管這麼多了
[00:03:58.000 --> 00:03:59.000]  我通通衝出來
[00:03:59.000 --> 00:04:00.000]  我也不管疫情怎麼樣子
[00:04:00.000 --> 00:04:02.000]  每一個人都上街頭了
[00:04:02.000 --> 00:04:05.000]  我聽說這個上街頭的不是幾十萬
[00:04:05.000 --> 00:04:08.000]  這個上街頭是上百萬的人
[00:04:08.000 --> 00:04:10.000]  那麼這些人不怕死
[00:04:10.000 --> 00:04:12.000]  他們出去上街頭對不對
[00:04:12.000 --> 00:04:14.000]  你可以看見國家裡面自己的內戰
[00:04:14.000 --> 00:04:17.000]  還有國家跟國家之間的戰爭
[00:04:17.000 --> 00:04:19.000]  這些都是在末世
[00:04:19.000 --> 00:04:23.000]  越來越頻繁的會發生
[00:04:23.000 --> 00:04:25.000]  那麼到了7號開始
[00:04:25.000 --> 00:04:30.000]  7號就開始進入了所謂的大災難
[00:04:30.000 --> 00:04:32.000]  所以這個在起事錄裡面
[00:04:32.000 --> 00:04:34.000]  講的這個大災難
[00:04:34.000 --> 00:04:37.000]  是一個非常重要的一個主題
