
[00:00:00.000 --> 00:00:02.800]  好 鄧小妹 讓我們在聆聽主的說話之前
[00:00:02.800 --> 00:00:04.800]  我們一起再次同心低頭
[00:00:04.800 --> 00:00:06.800]  禱告央行主 我們一起
[00:00:06.800 --> 00:00:15.200]  父神多謝你 讓我們再次回來在你的說話當中
[00:00:15.200 --> 00:00:20.000]  去細心聆聽主你在這個世界的上面
[00:00:20.000 --> 00:00:23.400]  如何掌管世局的改變
[00:00:24.800 --> 00:00:30.800]  亦都對於這個世界的每一個人的決定
[00:00:30.800 --> 00:00:32.800]  以及他們的行為
[00:00:32.800 --> 00:00:38.800]  上主你是如何在期間不單止是作調和
[00:00:38.800 --> 00:00:44.800]  並且在當中如何去掌管歷史的軌跡的發展
[00:00:44.800 --> 00:00:49.800]  讓我們看到上帝你如何將救恩
[00:00:49.800 --> 00:00:59.800]  從不同的角度去展示在這個世界裡不同類型的罪人
[00:00:59.800 --> 00:01:06.800]  求你的幫助 讓我們在這段聖經當中再次看到上帝你的心腸
[00:01:06.800 --> 00:01:09.800]  好使我們在這個過程當中
[00:01:09.800 --> 00:01:13.800]  能夠更明白上主你的心思意念
[00:01:13.800 --> 00:01:16.800]  多謝你給我們這段寶貴的時間
[00:01:16.800 --> 00:01:20.800]  我們同心的禱告 奉靠主耶穌基督
[00:01:20.800 --> 00:01:22.800]  得聖名自如求 阿們
[00:01:46.800 --> 00:01:51.800]  其中我數一數我買過的有花的樹
[00:01:51.800 --> 00:01:56.800]  就包括有一棵的杏花樹
[00:01:56.800 --> 00:02:01.800]  我又買過一棵的日本櫻花樹
[00:02:01.800 --> 00:02:05.800]  還買過三棵桃花樹
[00:02:05.800 --> 00:02:09.800]  那你聽起來牧師你都應該在家裡
[00:02:09.800 --> 00:02:12.800]  好像一個花園那麼漂亮吧
[00:02:12.800 --> 00:02:17.800]  但實質上當如果你來過我家的話
[00:02:17.800 --> 00:02:22.800]  也都聽見我說是曾經買過那麼多樹的時候
[00:02:22.800 --> 00:02:29.800]  你就一定會發現到我家裡一棵花樹都沒有的
[00:02:29.800 --> 00:02:31.800]  那你就會覺得奇怪了
[00:02:31.800 --> 00:02:34.800]  牧師你又說那麼喜歡花樹
[00:02:34.800 --> 00:02:37.800]  那為什麼一棵花樹都沒有呢
[00:02:37.800 --> 00:02:39.800]  是不是你不懂得種而已
[00:02:39.800 --> 00:02:43.800]  我說給大家聽 我其實真的為了種一棵樹
[00:02:43.800 --> 00:02:45.800]  我花了很多錢的
[00:02:45.800 --> 00:02:48.800]  每一棵樹我都悉心照顧的
[00:02:48.800 --> 00:02:50.800]  首先它還沒回來之前
[00:02:50.800 --> 00:02:54.800]  我已經挖好洞 鬆好泥土
[00:02:54.800 --> 00:03:03.800]  然後我再買很多植樹的肥料
[00:03:03.800 --> 00:03:06.800]  有粒狀的 有液體的
[00:03:06.800 --> 00:03:11.800]  我都攪拌好 再買一些最好的泥土回來
[00:03:11.800 --> 00:03:15.800]  墊在底 然後才把樹種下去
[00:03:15.800 --> 00:03:17.800]  我又怕那棵樹死了
[00:03:17.800 --> 00:03:19.800]  我又怕它營養不良
[00:03:19.800 --> 00:03:23.800]  我甚至很細心地去買一些
[00:03:23.800 --> 00:03:29.800]  好像一粒釘那樣的肥料釘
[00:03:29.800 --> 00:03:33.800]  疊在泥土裡面 在那棵樹的周圍
[00:03:33.800 --> 00:03:36.800]  怕那棵樹不夠營養
[00:03:36.800 --> 00:03:40.800]  結局 錢就花了很多
[00:03:40.800 --> 00:03:44.800]  但是樹你都一棵都沒有看到
[00:03:44.800 --> 00:03:46.800]  我在家裡種得成
[00:03:46.800 --> 00:03:48.800]  每一次的下場
[00:03:48.800 --> 00:03:52.800]  這些樹不是第一年種下去
[00:03:52.800 --> 00:03:54.800]  第二年就死了
[00:03:54.800 --> 00:03:57.800]  就是一種下去的時候
[00:03:57.800 --> 00:04:04.800]  已經氣息很快 葉都沒有了
[00:04:04.800 --> 00:04:06.800]  有時候跟師母聊天
[00:04:06.800 --> 00:04:09.800]  師母說你看看這棵樹
[00:04:09.800 --> 00:04:12.800]  這樣拔了它出來
[00:04:12.800 --> 00:04:13.800]  我記得有一次
[00:04:13.800 --> 00:04:15.800]  一次我買三棵桃花樹
[00:04:15.800 --> 00:04:19.800]  想著 我幻想而已
[00:04:19.800 --> 00:04:22.800]  剩一個桃花源在我後面
[00:04:22.800 --> 00:04:24.800]  你想想 老了
[00:04:24.800 --> 00:04:26.800]  當然我不預期我種那一下有了
[00:04:26.800 --> 00:04:29.800]  老了之後在桃花樹下
[00:04:29.800 --> 00:04:33.800]  那些桃花葉泛泛地降下
[00:04:33.800 --> 00:04:36.800]  跟師母坐在那裡喝杯茶
[00:04:36.800 --> 00:04:39.800]  聊聊天 多寫意
[00:04:39.800 --> 00:04:46.800]  但是結局只剩下三個洞在地上
[00:04:46.800 --> 00:04:51.800]  從這件事裡面我就發覺到
[00:04:51.800 --> 00:04:59.800]  努力是不是一定得到你自己所期望的結果呢?
[00:04:59.800 --> 00:05:03.800]  究竟我差了些什麼
[00:05:03.800 --> 00:05:08.800]  在種了這五棵樹都種不成的結果之下
[00:05:08.800 --> 00:05:13.800]  究竟問題出在哪裡呢?
[00:05:13.800 --> 00:05:15.800]  而當我去想多一重
[00:05:15.800 --> 00:05:17.800]  在屬靈生命的上面
[00:05:17.800 --> 00:05:22.800]  是不是我們活到如今在這個地上
[00:05:22.800 --> 00:05:25.800]  是因為靠我們自己的能力
[00:05:25.800 --> 00:05:30.800]  才可以有今天的日子呢?
[00:05:30.800 --> 00:05:35.800]  而自己出力的意義又何在呢?
[00:05:35.800 --> 00:05:39.800]  種種這些問題就誘發我去反覆思想
[00:05:39.800 --> 00:05:42.800]  直至到我去看俄巴底亞書
[00:05:42.800 --> 00:05:46.800]  來到今天第二節到第四節的時候
[00:05:46.800 --> 00:05:52.800]  就讓我去有一個更加深層的反思
[00:05:52.800 --> 00:05:55.800]  所以為什麼今天的講題定之為
[00:05:55.800 --> 00:06:01.800]  努力 活到如今是不是靠我們自己的能力呢?
[00:06:01.800 --> 00:06:05.800]  我希望這條題目給每一個信徒
[00:06:05.800 --> 00:06:07.800]  或者甚至未信主的人
[00:06:07.800 --> 00:06:10.800]  都有一些啟發
[00:06:10.800 --> 00:06:12.800]  透過上帝的說話
[00:06:12.800 --> 00:06:17.800]  讓我們知道我們應當怎樣出力
[00:06:17.800 --> 00:06:19.800]  而出了力之後
[00:06:19.800 --> 00:06:22.800]  我們的心態應該怎樣防
[00:06:22.800 --> 00:06:25.800]  讓我們一起打開俄巴底亞書
[00:06:25.800 --> 00:06:28.800]  我們讀一讀第二節至到第四節
[00:06:28.800 --> 00:06:32.800]  先熟悉一下這幾節的經文
[00:06:32.800 --> 00:06:34.800]  想講些什麼好嗎?
[00:06:34.800 --> 00:06:36.800]  請大家等一會一起打開
[00:06:36.800 --> 00:06:42.800]  俄巴底亞書第二節至到第四節
[00:06:42.800 --> 00:06:46.800]  我們一起以你熟悉的語言去讀就可以了
[00:06:46.800 --> 00:06:53.800]  「我使你以東在列國中為最少的
[00:06:53.800 --> 00:06:56.800]  被人大大藐視
[00:06:56.800 --> 00:07:01.800]  住在山月中居所在高處的
[00:07:01.800 --> 00:07:06.800]  你因狂傲自欺心裡說
[00:07:06.800 --> 00:07:09.800]  誰能將我拉下地去呢?
[00:07:09.800 --> 00:07:16.800]  你雖如大鷹高飛在星宿之間踏窩
[00:07:16.800 --> 00:07:20.800]  我必從那裡拉下你來
[00:07:20.800 --> 00:07:24.800]  這是耶和華說的」
[00:07:24.800 --> 00:07:29.800]  回顧一下前文第一節講些什麼
[00:07:29.800 --> 00:07:32.800]  俄巴底亞書在第一節當中
[00:07:32.800 --> 00:07:36.800]  好像告訴我們知道
[00:07:36.800 --> 00:07:42.800]  耶和華神要促成希伯來人的近親
[00:07:42.800 --> 00:07:44.800]  就是以東的墮落
[00:07:44.800 --> 00:07:49.800]  但是我們卻看到的事實是
[00:07:49.800 --> 00:07:53.800]  原來俄巴底亞書是倒轉過來
[00:07:53.800 --> 00:08:00.800]  向猶大國,就是希伯來人來到王國分裂的時代
[00:08:00.800 --> 00:08:05.800]  要提出他們要好好反思自己有什麼罪
[00:08:05.800 --> 00:08:12.800]  而導致到他們那一刻被擄的結局
[00:08:12.800 --> 00:08:17.800]  也從而去觸發猶大國的子民
