
[00:00:00.000 --> 00:00:02.500]  我記得上個星期有一個新聞說
[00:00:02.500 --> 00:00:04.380]  有一個青年人在家裡
[00:00:04.380 --> 00:00:07.340]  有一天突然間不知道出了什麼事
[00:00:07.340 --> 00:00:08.300]  有點混亂
[00:00:08.300 --> 00:00:10.180]  然後他就不穿衣服
[00:00:10.180 --> 00:00:12.160]  脫光衣服就衝出街跳下街
[00:00:12.160 --> 00:00:13.460]  有沒有看這個新聞?
[00:00:13.460 --> 00:00:16.260]  因為有人說這個青年人在家裡
[00:00:16.260 --> 00:00:18.420]  本來在讀一些大專課程
[00:00:18.420 --> 00:00:19.500]  今年應該畢業了
[00:00:19.500 --> 00:00:20.700]  但是他沒有完成
[00:00:20.700 --> 00:00:22.120]  今年整個學期沒有上學
[00:00:22.120 --> 00:00:24.100]  因為沈迷在家裡對著電腦
[00:00:24.100 --> 00:00:26.080]  相信今年會是世界末日
[00:00:26.080 --> 00:00:28.500]  所以看了很多網頁和內容
[00:00:28.500 --> 00:00:30.100]  結果整個人錯亂了
[00:00:30.100 --> 00:00:31.640]  最後就發生了慘劇
[00:00:31.640 --> 00:00:34.220]  有人說今年12月
[00:00:34.220 --> 00:00:37.320]  不知道是21日還是世界末日
[00:00:37.320 --> 00:00:38.340]  今天是幾日?
[00:00:38.340 --> 00:00:39.880]  1日了
[00:00:39.880 --> 00:00:40.740]  還有幾天?
[00:00:40.740 --> 00:00:46.100]  我覺得這些日子的事情當然是不可信的
[00:00:46.100 --> 00:00:47.500]  但是也是很好的提醒
[00:00:47.500 --> 00:00:49.180]  如果真的還有這20天
[00:00:49.180 --> 00:00:53.080]  你就完成這個世界上給你的使命
[00:00:53.080 --> 00:00:54.300]  或者這個世界就完結了
[00:00:54.300 --> 00:00:56.600]  請問你最想做的是什麼呢?
[00:00:57.700 --> 00:00:59.880]  人生的盼望在哪裡呢?
[00:00:59.880 --> 00:01:02.700]  來到教會很多時候我們都會說一個問題
[00:01:02.700 --> 00:01:04.800]  在教會裡面常常你會聽到的就是
[00:01:04.800 --> 00:01:06.400]  要有信心
[00:01:06.400 --> 00:01:07.600]  要信啊
[00:01:07.600 --> 00:01:09.420]  要信得過上帝
[00:01:09.420 --> 00:01:12.640]  很多人都會想這個問題或者問這個問題
[00:01:12.640 --> 00:01:14.700]  今天跟大家看一段經文比較長
[00:01:14.700 --> 00:01:17.100]  《德來書十一章》一到四十節
[00:01:17.100 --> 00:01:18.340]  講信心
[00:01:18.340 --> 00:01:19.240]  講得很好
[00:01:19.240 --> 00:01:22.200]  這段經文一開始第一句可能大家都很熟
[00:01:22.200 --> 00:01:23.500]  他說什麼呢?
[00:01:23.500 --> 00:01:26.540]  信就是所盼望之事有把握
[00:01:26.540 --> 00:01:28.600]  對未見之事有確據
[00:01:28.600 --> 00:01:31.840]  希伯來書的作者一開始在十一章第一句劈頭
[00:01:31.840 --> 00:01:33.140]  就講了一個這樣的道理
[00:01:33.140 --> 00:01:34.740]  什麼叫信心?
[00:01:34.740 --> 00:01:37.640]  我不知道你在教會裡面經歷的信心是什麼
[00:01:37.640 --> 00:01:39.340]  或者你回到教會信耶穌
[00:01:39.340 --> 00:01:40.240]  看聖經這麼久
[00:01:40.240 --> 00:01:41.540]  你覺得信心是什麼?
[00:01:41.540 --> 00:01:43.740]  很多時候信心我們就覺得
[00:01:43.740 --> 00:01:45.100]  就是信啊
[00:01:45.100 --> 00:01:46.000]  信就是
