
[00:00:00.000 --> 00:00:03.520]  各位聽眾朋友,歡迎大家來到十格基督教會
[00:00:03.520 --> 00:00:06.480]  很感恩我們能夠繼續看肥辣比書
[00:00:06.480 --> 00:00:10.120]  之前我們用了十四篇道講完整本肥辣比書
[00:00:10.120 --> 00:00:13.440]  然後去年年底我們開始回顧
[00:00:13.440 --> 00:00:16.120]  我們的大題目是肥書回顧
[00:00:16.120 --> 00:00:19.120]  一方面我們是回顧肥辣比書
[00:00:19.120 --> 00:00:22.120]  另一方面我希望透過肥書回顧
[00:00:22.120 --> 00:00:24.920]  讓我們每一個都成為一隻肥豬
[00:00:24.920 --> 00:00:26.360]  就是FAT
[00:00:26.360 --> 00:00:28.560]  我們Faithful 忠誠偉生
[00:00:28.560 --> 00:00:30.680]  Available 隨時候命
[00:00:30.680 --> 00:00:34.520]  Teachable 我們樂於受教
[00:00:34.520 --> 00:00:37.480]  我們有一個肥辣比書的超濃縮版
[00:00:37.480 --> 00:00:41.480]  我希望透過這卷書當中重要的句子和詞語
[00:00:41.480 --> 00:00:45.560]  去幫助大家記得整卷書大概是講甚麼
[00:00:45.560 --> 00:00:47.480]  A部份保羅的文案
[00:00:47.480 --> 00:00:51.880]  「瀑人、瀑人致函聖徒,願主恩歸你們」
[00:00:51.880 --> 00:00:54.840]  「瀑人」和「主恩」兩個字眼是重要的
[00:00:54.840 --> 00:00:56.880]  「瀑人」希利文是Doulos
[00:00:56.880 --> 00:01:00.280]  是指向整封信的中心基督之歌
[00:01:00.280 --> 00:01:03.680]  因為這個字眼會在基督之歌再出現
[00:01:03.680 --> 00:01:07.880]  另外「主恩」是指基督的恩典
[00:01:07.880 --> 00:01:12.080]  B「那日必成者功」三合一榮耀果
[00:01:12.080 --> 00:01:14.680]  「那日必成者功」是講一章六戰
[00:01:14.680 --> 00:01:16.080]  保羅的宣告
[00:01:16.080 --> 00:01:20.080]  保羅說上帝在信徒的心裏開始一個工作
[00:01:20.080 --> 00:01:21.680]  到了基督再來的日子
[00:01:21.680 --> 00:01:24.280]  他必定完成這個工作
[00:01:24.280 --> 00:01:28.480]  而三合一是指保羅為信徒祈求的三種屬靈能力
[00:01:28.480 --> 00:01:31.880]  是愛心、真認識和審查力
[00:01:31.880 --> 00:01:34.680]  這三合一的屬靈能力不斷增長
[00:01:34.680 --> 00:01:36.480]  並且結滿果子
[00:01:36.480 --> 00:01:40.480]  就可以讓榮耀歸給父上帝
[00:01:40.480 --> 00:01:42.680]  C是保羅自己的見證
[00:01:42.680 --> 00:01:44.080]  活著就是基督
[00:01:44.080 --> 00:01:46.480]  死活基督顯大
[00:01:46.480 --> 00:01:48.280]  保羅分享到他的近況
[00:01:48.280 --> 00:01:50.080]  他說他雖然被軟禁
[00:01:50.080 --> 00:01:52.680]  但是為著福音能夠更加興旺
[00:01:52.680 --> 00:01:55.480]  為著弟兄們能夠更加放膽傳道
[00:01:55.480 --> 00:01:57.280]  他非常高興
[00:01:57.280 --> 00:01:59.880]  然後保羅分享他自己的內心世界
[00:01:59.880 --> 00:02:01.880]  他說無論是生是死
[00:02:01.880 --> 00:02:07.280]  總要讓基督在他身上照常顯大
[00:02:07.280 --> 00:02:09.280]  這部分是保羅的勉勵
[00:02:09.280 --> 00:02:10.680]  天文雙稱福音
[00:02:10.680 --> 00:02:12.880]  無畏暫穩同敬
[00:02:12.880 --> 00:02:14.480]  合一謙卑他顧
[00:02:14.480 --> 00:02:16.880]  以基督心為心
[00:02:16.880 --> 00:02:20.280]  天文雙稱福音就是我們剛才讀過的一章二十七節
[00:02:20.280 --> 00:02:22.280]  保羅說這個是最重要的
[00:02:22.280 --> 00:02:24.080]  你們行事為人
[00:02:24.080 --> 00:02:26.680]  要與基督的福音去相稱
[00:02:26.680 --> 00:02:28.480]  接著保羅勸勉信徒
[00:02:28.480 --> 00:02:32.080]  要無畏暫穩同心競鬥
[00:02:32.080 --> 00:02:36.480]  所謂競鬥是為福音齊心努力的縮寫
[00:02:36.480 --> 00:02:38.880]  因為希臘文是Synophilia
[00:02:38.880 --> 00:02:41.880]  意思是一班運動員參與對際比賽
[00:02:41.880 --> 00:02:44.880]  為著勝利齊心努力的意思
[00:02:44.880 --> 00:02:46.680]  合一謙卑他顧
[00:02:46.680 --> 00:02:48.080]  是二章一至四節
[00:02:48.080 --> 00:02:49.680]  大家可能都會記得
[00:02:49.680 --> 00:02:51.880]  各人看別人比自己重要
[00:02:51.880 --> 00:02:53.480]  各人不要單顧自己的事
[00:02:53.480 --> 00:02:56.680]  也要顧別人的事等等
[00:02:56.680 --> 00:02:59.480]  而以基督心為心就是二章五節
[00:02:59.480 --> 00:03:04.080]  我們要思想耶穌心中所想的
[00:03:04.080 --> 00:03:06.080]  二部份就是肥勒比書的核心
[00:03:06.080 --> 00:03:07.480]  基督之歌
[00:03:07.480 --> 00:03:09.080]  八幹信服至死
[00:03:09.080 --> 00:03:11.480]  受苦進入榮耀
[00:03:11.480 --> 00:03:13.480]  所謂八幹是指耶穌基督
[00:03:13.480 --> 00:03:15.480]  從本與上帝同等
[00:03:15.480 --> 00:03:16.680]  一路虛己
[00:03:16.680 --> 00:03:18.080]  一路下降
[00:03:18.080 --> 00:03:19.880]  直到去全心信服
[00:03:19.880 --> 00:03:23.080]  以至於死且死在十字架上
[00:03:23.080 --> 00:03:26.080]  但基督受苦是為要進入榮耀
[00:03:26.080 --> 00:03:27.280]  他復活了
[00:03:27.280 --> 00:03:29.680]  並且得次超乎萬明之名
[00:03:29.680 --> 00:03:31.280]  萬失都要跪拜
[00:03:31.280 --> 00:03:32.880]  萬口都要宣認
[00:03:32.880 --> 00:03:34.080]  耶穌基督是主
[00:03:34.080 --> 00:03:38.080]  歸榮耀給付上帝
[00:03:38.080 --> 00:03:41.280]  去到D'保羅再一次面禮信徒
[00:03:41.280 --> 00:03:43.080]  戰經作不怨言
[00:03:43.080 --> 00:03:45.280]  顯主道明光照
[00:03:45.280 --> 00:03:47.280]  因為這部份我們稍後會講
[00:03:47.280 --> 00:03:50.280]  所以我們先跳過
[00:03:50.280 --> 00:03:51.480]  然後在X部份
[00:03:51.480 --> 00:03:53.080]  保羅舉了兩個例子
[00:03:53.080 --> 00:03:54.880]  提摩泰求主事
[00:03:54.880 --> 00:03:57.480]  以巴賭命近死
[00:03:57.480 --> 00:03:58.880]  第一 他提到提摩泰
[00:03:58.880 --> 00:04:00.480]  如何不求自己的事
[00:04:00.480 --> 00:04:03.080]  去真心關懷肥勒比信徒
[00:04:03.080 --> 00:04:05.280]  第二 保羅提到以巴忽提
[00:04:05.280 --> 00:04:07.280]  他如何為基督的工作
[00:04:07.280 --> 00:04:09.680]  就是他如何支援保羅宣教
[00:04:09.680 --> 00:04:14.080]  賭上自己的性命近乎於死
[00:04:14.080 --> 00:04:15.080]  去到C'
[00:04:15.080 --> 00:04:17.080]  保羅再一次講自己的見證
[00:04:17.080 --> 00:04:18.880]  氣萬事 贏基督
[00:04:18.880 --> 00:04:21.080]  應主召 竭力追
[00:04:21.080 --> 00:04:24.080]  他講到他以往是如何靠肉體
[00:04:24.080 --> 00:04:25.680]  到現在因為基督
[00:04:25.680 --> 00:04:28.480]  他明白地上的萬事都是糞土
[00:04:28.480 --> 00:04:30.680]  所以他定義丟棄萬事
