
[00:00:00.000 --> 00:00:04.000]  今日很高興能在這個地方跟大家見面
[00:00:04.000 --> 00:00:08.000]  今天我們主要是思考
[00:00:08.000 --> 00:00:11.000]  以弗所書裏面的一段說話
[00:00:11.000 --> 00:00:16.000]  來自於保羅在以弗所裏面的五章一到七節的說話
[00:00:16.000 --> 00:00:19.000]  很想在這裏跟大家讀一讀
[00:00:19.000 --> 00:00:24.000]  讓我們大概知道保羅給我們甚麼教訓
[00:00:24.000 --> 00:00:29.000]  在新略聖經的以弗所書的第五章第一節
[00:00:30.000 --> 00:00:32.000]  到第七節
[00:00:32.000 --> 00:00:35.000]  經文是這樣說的
[00:00:35.000 --> 00:00:38.000]  所以你們該效法上帝
[00:00:38.000 --> 00:00:42.000]  好像蒙慈愛的兒女一樣
[00:00:42.000 --> 00:00:45.000]  也要憑愛心行事
[00:00:45.000 --> 00:00:48.000]  正如基督愛我們
[00:00:48.000 --> 00:00:50.000]  為我們捨了自己
[00:00:50.000 --> 00:00:55.000]  當作輕香的供物和祭物獻於上帝
[00:00:56.000 --> 00:01:00.000]  至於淫亂並一切污穢或貪婪
[00:01:00.000 --> 00:01:03.000]  在你們中間連提都不可
[00:01:03.000 --> 00:01:05.000]  方合聖徒的體統
[00:01:05.000 --> 00:01:09.000]  淫慈妄語和嬉笑的話都不相宜
[00:01:09.000 --> 00:01:12.000]  總要說感謝的話
[00:01:12.000 --> 00:01:15.000]  因為你們確實知道
[00:01:15.000 --> 00:01:20.000]  無論是淫亂的、是污穢的、是有貪婪的
[00:01:20.000 --> 00:01:24.000]  在基督和上帝的國內都是無份的
[00:01:25.000 --> 00:01:28.000]  有貪心的就要拜偶像的一樣
[00:01:28.000 --> 00:01:32.000]  不要被人虛浮的話欺控
[00:01:32.000 --> 00:01:35.000]  因這些事上帝的憤怒
[00:01:35.000 --> 00:01:37.000]  必臨到那不敵之子
[00:01:37.000 --> 00:01:41.000]  所以你們不要與他們同火
[00:01:41.000 --> 00:01:43.000]  相信大家都會發覺到
