
[00:00:00.000 --> 00:00:02.000]  每一個侍奉崗位
[00:00:02.000 --> 00:00:04.000]  都有它的價值
[00:00:04.000 --> 00:00:10.000]  都是帶著一種奉獻給神的心來獻上
[00:00:10.000 --> 00:00:12.000]  而是神所喜悅的
[00:00:12.000 --> 00:00:16.000]  又叫眾人因為它的侍奉而得著祝福
[00:00:16.000 --> 00:00:19.000]  剛才我們聽到一個很特別的分享
[00:00:19.000 --> 00:00:22.000]  或者你有機會再聽到其他
[00:00:22.000 --> 00:00:26.000]  可能未必很顯眼的侍奉者的分享
[00:00:26.000 --> 00:00:28.000]  可能在影音室
[00:00:28.000 --> 00:00:31.000]  可能在背後長看那個
[00:00:31.000 --> 00:00:35.000]  摺疊的過程的弟兄姊妹
[00:00:35.000 --> 00:00:39.000]  當我們能夠可以安然的敬拜上帝的時候
[00:00:39.000 --> 00:00:43.000]  不單止你回來你獻師讚美敬拜
[00:00:43.000 --> 00:00:45.000]  也都想到有很多弟兄姊妹
[00:00:45.000 --> 00:00:49.000]  陪同我們或者幫助我們一起進入敬拜當中
[00:00:49.000 --> 00:00:51.000]  領受神的恩惠
[00:00:51.000 --> 00:00:55.000]  今天是崇拜的教育主日
[00:00:55.000 --> 00:00:57.000]  也都再一次勉勵我們的心
[00:00:57.000 --> 00:01:00.000]  將神所喜悅的敬拜獻情給神
[00:01:00.000 --> 00:01:03.000]  我們很盼望每一次我們到主的面前
[00:01:03.000 --> 00:01:07.000]  我們的心裡面都是帶著快樂感恩的心
[00:01:07.000 --> 00:01:10.000]  來獻情我們對神的敬拜
[00:01:10.000 --> 00:01:12.000]  在開始的時候大家再一起同心祈禱
[00:01:12.000 --> 00:01:15.000]  我們再一次來仰望主
[00:01:15.000 --> 00:01:23.000]  主人你是天地的主宰
[00:01:23.000 --> 00:01:28.000]  你曾創造我們也都拯救我們
[00:01:28.000 --> 00:01:32.000]  主人你以你的慈愛也都待我們
[00:01:32.000 --> 00:01:35.000]  我們不可以不去讚美你
[00:01:35.000 --> 00:01:37.000]  不去憐憫
[00:01:37.000 --> 00:01:40.000]  壓傷的蘆葦你不截斷
[00:01:40.000 --> 00:01:43.000]  將殘的燈火你不會催滅
[00:01:43.000 --> 00:01:46.000]  你以你的憐憫你的大慈愛
[00:01:46.000 --> 00:01:49.000]  也都帶領我們讓我們認識你
[00:01:49.000 --> 00:01:53.000]  讓我們成為你自己的兒女
[00:01:53.000 --> 00:01:55.000]  領受尊貴的身份
[00:01:55.000 --> 00:01:58.000]  又賜給我們有永恆的盼望
[00:01:58.000 --> 00:02:00.000]  永恆的基業
[00:02:00.000 --> 00:02:03.000]  主每當我們想回這一切的時候
[00:02:03.000 --> 00:02:05.000]  我們不可以不去讚美你
[00:02:05.000 --> 00:02:07.000]  不去感謝你
