
[00:00:00.000 --> 00:00:03.440]  (主席)各位聽眾姐妹們 早晨
[00:00:03.440 --> 00:00:06.560]  先講講今天講道的題目
[00:00:06.560 --> 00:00:10.880]  君子無本 本立而道生
[00:00:10.880 --> 00:00:18.480]  這句說話其實是出自《論語》的第一章學而第二句
[00:00:18.480 --> 00:00:22.720]  是孔子的學生友子的說法
[00:00:22.720 --> 00:00:25.640]  他說君子要無本
[00:00:25.640 --> 00:00:31.960]  甚麼意思呢? 意思是君子要致力於一些更加根本的事情
[00:00:31.960 --> 00:00:37.280]  一個人經常在表面上做一些功夫
[00:00:37.280 --> 00:00:40.520]  不足以為君子
[00:00:40.520 --> 00:00:45.800]  君子要為自己的行為找一些更深的基礎
[00:00:45.800 --> 00:00:47.680]  有時要問一下
[00:00:47.680 --> 00:00:52.200]  行為的背後是否有更深的義理呢?
[00:00:52.200 --> 00:00:57.320]  義理的背後是否有更深的人性的基礎呢?
[00:00:57.320 --> 00:01:01.920]  人性的基礎的背後是否隱藏一些天理呢?
[00:01:01.920 --> 00:01:06.800]  我們要一步一步去尋索人生的底蘊
[00:01:06.800 --> 00:01:10.520]  這就叫做君子無本
[00:01:10.520 --> 00:01:12.280]  一個君子
[00:01:12.280 --> 00:01:15.000]  一個努力致於自善的人
[00:01:15.000 --> 00:01:16.720]  他不會人云亦云
[00:01:16.720 --> 00:01:19.200]  他也不會人做我做
[00:01:19.200 --> 00:01:23.880]  他必然會為自己的行動
[00:01:23.880 --> 00:01:28.280]  努力尋找一個穩固的基礎
[00:01:28.280 --> 00:01:30.560]  本立而道生
[00:01:30.560 --> 00:01:32.840]  意思就是你找到那個本
[00:01:32.840 --> 00:01:33.840]  那個根本
[00:01:33.840 --> 00:01:35.120]  你找到了
[00:01:35.120 --> 00:01:38.800]  你那個生命的終極的基礎找到了
[00:01:38.800 --> 00:01:41.840]  然後你按這個終極的基礎來生活
[00:01:41.840 --> 00:01:46.120]  這樣就能夠將那個大道呈現出來
[00:01:46.120 --> 00:01:49.760]  君子無本 本立而道生
[00:01:49.760 --> 00:01:53.280]  如果將這句說話套用在基督徒的生命裏面
[00:01:53.280 --> 00:01:54.800]  就可以說
[00:01:54.800 --> 00:01:56.480]  基督徒的生命
[00:01:56.480 --> 00:01:58.240]  你不要隨波逐流
[00:01:58.240 --> 00:02:00.800]  你不要人云亦云
[00:02:00.800 --> 00:02:02.480]  你不要說其他基督徒叫你這樣做
[00:02:02.480 --> 00:02:03.920]  你就這樣做
[00:02:03.920 --> 00:02:05.320]  你想想
[00:02:05.320 --> 00:02:07.160]  你的生命 你的行為
[00:02:07.160 --> 00:02:14.800]  是否能夠更深的建立在一個更深的神聖的基礎上呢?
[00:02:14.800 --> 00:02:16.080]  如果是這樣的話
[00:02:16.080 --> 00:02:18.040]  你的生命 你的淺行
[00:02:18.040 --> 00:02:22.920]  就能夠將真理的大道顯明出來
[00:02:22.920 --> 00:02:24.720]  練武的人經常說
[00:02:24.720 --> 00:02:26.960]  練拳不練功
[00:02:26.960 --> 00:02:29.720]  到老一場空
[00:02:29.720 --> 00:02:30.920]  意思很簡單
[00:02:30.920 --> 00:02:35.720]  就是說單單練習一些外在的套路架式
[00:02:35.720 --> 00:02:40.000]  如果你忽略了那個功力的那個內涵修為的話
[00:02:40.000 --> 00:02:44.520]  那你打出來的東西只不過是花拳繡腿
[00:02:44.520 --> 00:02:48.320]  好看 但是不好用
[00:02:48.320 --> 00:02:50.880]  就有一些外表的虛招
[00:02:50.880 --> 00:02:56.920]  但是缺乏厚實的生命的勁度
[00:02:56.920 --> 00:02:59.080]  只是練拳而不練功的人
[00:02:59.080 --> 00:03:00.360]  到了老的時候
[00:03:00.360 --> 00:03:02.560]  他氣虛力弱
[00:03:02.560 --> 00:03:04.720]  他的拳就打不出來
[00:03:04.720 --> 00:03:07.640]  但是你練拳又練功的人
[00:03:07.640 --> 00:03:09.960]  你就將那個拳意
[00:03:09.960 --> 00:03:13.080]  收涉在這個整體的生命裏面
[00:03:13.080 --> 00:03:15.760]  你就不是再用手用腳去打拳
[00:03:15.760 --> 00:03:17.440]  而是用整個人
[00:03:17.440 --> 00:03:19.800]  身 心 氣 神
[00:03:19.800 --> 00:03:21.720]  總體地去打拳
[00:03:21.720 --> 00:03:23.440]  這樣年紀越大
[00:03:23.440 --> 00:03:26.600]  你的功力就越深
[00:03:26.600 --> 00:03:30.000]  大家想一下我們是怎樣做基督徒的
