
[00:00:00.000 --> 00:00:06.000]  曾經有一所出名的大學做了一些綜合的研究
[00:00:06.000 --> 00:00:09.000]  主要研究有50項
[00:00:09.000 --> 00:00:12.000]  都是圍繞著做志願工作
[00:00:12.000 --> 00:00:14.000]  即是做Volunteer
[00:00:14.000 --> 00:00:16.000]  來調查一下
[00:00:16.000 --> 00:00:26.000]  究竟那些願意用時間為別人服務的研究
[00:00:26.000 --> 00:00:28.000]  其中一項
[00:00:28.000 --> 00:00:30.000]  他們發現
[00:00:30.000 --> 00:00:36.000]  他們用了30年的追蹤調查
[00:00:36.000 --> 00:00:41.000]  427個女士結了婚
[00:00:41.000 --> 00:00:43.000]  而且是新聞仔的媽媽
[00:00:43.000 --> 00:00:47.000]  發現原來經常去參與志願工作
[00:00:47.000 --> 00:00:49.000]  去服務的
[00:00:49.000 --> 00:00:51.000]  他們到了最後的人生階段
[00:00:51.000 --> 00:00:53.000]  已經跟進了30年
[00:00:53.000 --> 00:00:57.000]  他們經歷嚴重的疾病
[00:00:57.000 --> 00:01:00.000]  比例大概是三分之一
[00:01:00.000 --> 00:01:03.000]  即是人量當中的三分之一
[00:01:03.000 --> 00:01:06.000]  但比起那些從沒有參加志願工作
[00:01:06.000 --> 00:01:08.000]  沒有參加服務的人
[00:01:08.000 --> 00:01:09.000]  低很多
[00:01:09.000 --> 00:01:11.000]  因為那些有52%
[00:01:11.000 --> 00:01:13.000]  即是一半以上
[00:01:13.000 --> 00:01:15.000]  是有嚴重疾病的
[00:01:15.000 --> 00:01:17.000]  最後離開這個世界
[00:01:17.000 --> 00:01:19.000]  所以這個研究
[00:01:19.000 --> 00:01:25.000]  對於那些有影響的條件
[00:01:25.000 --> 00:01:26.000]  都撇除了
[00:01:26.000 --> 00:01:28.000]  包括他們有多少三分之一
[00:01:28.000 --> 00:01:30.000]  有些多些有些少些
[00:01:30.000 --> 00:01:32.000]  有些是教育程度高些
[00:01:32.000 --> 00:01:33.000]  有些教育程度低些
[00:01:33.000 --> 00:01:35.000]  有些是工作的社會階層
[00:01:35.000 --> 00:01:36.000]  比較高些
[00:01:36.000 --> 00:01:37.000]  有些低些
[00:01:37.000 --> 00:01:39.000]  都不影響他們的壽命
[00:01:39.000 --> 00:01:40.000]  即是說
[00:01:40.000 --> 00:01:42.000]  生多少三分之一
[00:01:42.000 --> 00:01:43.000]  多多少錢
[00:01:43.000 --> 00:01:44.000]  或者受多少教育
[00:01:44.000 --> 00:01:47.000]  沒有影響到他們的壽命長短
[00:01:47.000 --> 00:01:48.000]  但反而這個因素
[00:01:48.000 --> 00:01:49.000]  即是說
[00:01:49.000 --> 00:01:51.000]  他們參與志願工作
[00:01:51.000 --> 00:01:53.000]  用他們的時間去服務其他人
