
[00:00:00.000 --> 00:00:03.040]  今日我將個講題就定為
[00:00:03.040 --> 00:00:06.180]  志強不息,厚德在物
[00:00:06.180 --> 00:00:08.860]  不過想同大家先玩一個呢
[00:00:08.860 --> 00:00:11.560]  有獎搶答遊戲
[00:00:11.560 --> 00:00:13.640]  Irene C.沒有贊助
[00:00:13.640 --> 00:00:17.820]  那可不可以給個禮物大家先
[00:00:17.820 --> 00:00:21.220]  這個呢
[00:00:21.220 --> 00:00:24.540]  兜快舉手
[00:00:24.540 --> 00:00:26.040]  答中的呢
[00:00:26.040 --> 00:00:27.580]  叫舉手要答中啦
[00:00:27.580 --> 00:00:30.540]  就會贏到一隻博士貓
[00:00:30.540 --> 00:00:33.920]  我想呢在座當中呢
[00:00:33.920 --> 00:00:36.600]  好多人都不少聽過這句說話
[00:00:36.600 --> 00:00:39.540]  志強不息厚德
[00:00:39.540 --> 00:00:40.620]  嘩! 咁快㗎?
[00:00:40.620 --> 00:00:42.620]  嘩! 都未問問題
[00:00:42.620 --> 00:00:44.620]  好啦! 畀佢答先喇! 咁快
[00:00:44.620 --> 00:00:46.060]  厚德在物呀嘛
[00:00:46.060 --> 00:00:47.060]  好!
[00:00:47.060 --> 00:00:51.140]  我先問埋先啦! 唔使咁心㗎!
[00:00:51.140 --> 00:00:53.240]  係! 我真係想問呢度問題㗎
[00:00:53.240 --> 00:00:55.920]  呢個志強不息厚德在物
[00:00:55.920 --> 00:00:59.400]  係邊一間著名嘅大學嘅校訓
[00:00:59.400 --> 00:01:01.880]  佢舉一手先喎
[00:01:01.880 --> 00:01:04.060]  係咩呀? 你答唔答中? 企室講呀
[00:01:04.060 --> 00:01:07.800]  唔係! 哦! 好嘅! 下位
[00:01:07.800 --> 00:01:10.900]  嘩! 答中! 紅條呀!
[00:01:10.900 --> 00:01:15.180]  嚟嚟嚟嚟
[00:01:15.180 --> 00:01:23.040]  無咗呀
[00:01:23.040 --> 00:01:25.720]  香港大學係咩呀?
[00:01:25.720 --> 00:01:27.720]  大家有啲係香港大學畢業㗎
[00:01:27.720 --> 00:01:30.900]  名德革命呀嘛
[00:01:30.900 --> 00:01:33.640]  咁呀 嗱! 但係呢
[00:01:33.640 --> 00:01:38.940]  其實呢 呢個係青華大學嘅校訓嚟㗎
[00:01:38.940 --> 00:01:43.400]  咁大家有冇聽過青華大學嘅由來呢?
[00:01:43.400 --> 00:01:46.400]  咁1900年話說呢
[00:01:46.400 --> 00:01:47.900]  呢個係庚子年啦
[00:01:47.900 --> 00:01:50.560]  義和團運動呢就捲席全國
[00:01:50.560 --> 00:01:53.640]  導致呢就八國聯軍入北京㗎嘛
[00:01:53.640 --> 00:01:56.400]  大家都聽過喇 1901年咁呀
[00:01:56.400 --> 00:01:59.380]  打敗啦 咁青政府同八強呢
[00:01:59.380 --> 00:02:04.200]  就簽定呢個薪酬條約啦
[00:02:04.200 --> 00:02:05.520]  係咪呀? 咁呀
[00:02:05.520 --> 00:02:08.560]  包括呢就係所謂庚子賠款喇
[00:02:08.560 --> 00:02:13.260]  但係呢美國呢比較呢係有呢個先見啦
[00:02:13.260 --> 00:02:17.540]  國會就通過歸還部分呢個庚子賠款呢
[00:02:17.540 --> 00:02:21.760]  嚟鼓勵中國嘅學生嚟到美國係讀書嘅
[00:02:21.760 --> 00:02:25.660]  咁呀於是青政府呢已經其實呢
[00:02:25.660 --> 00:02:28.440]  就積極採取呢個措施呢
[00:02:28.440 --> 00:02:31.820]  係組織學生嚟赴美留學嘅
[00:02:31.820 --> 00:02:36.180]  咁呀喺呢個民國之前1909到11年嘅時候呢
[00:02:36.180 --> 00:02:40.900]  由美嘅學務處呢已經組織咗三次嘅考試
[00:02:40.900 --> 00:02:44.160]  選出咗呢三年裏面選出咗180名
[00:02:44.160 --> 00:02:47.780]  被稱為因別生嘅嚟赴美留學嘅
[00:02:47.780 --> 00:02:50.880]  胡適先生大家都聽過啦係其中之一
[00:02:50.880 --> 00:02:54.120]  咁呀佢哋所學嘅主要呢都係功課嚟嘅
[00:02:54.120 --> 00:02:56.840]  化工呀機械呀土木呀
[00:02:56.840 --> 00:03:01.920]  至今術呀農商呀各個嘅係功課嚟嘅
[00:03:01.920 --> 00:03:07.560]  咁呀1911年咁呀呢個呢個革命呀
[00:03:07.560 --> 00:03:10.080]  咁呀由美嘅呢個學務處呢
[00:03:10.080 --> 00:03:14.320]  就特別呢係設立咗清華學堂呢
[00:03:14.320 --> 00:03:17.240]  就作為呢呢個留美嘅預備學校嘅
[00:03:17.240 --> 00:03:20.640]  咁我都準備嚟美國嗰啲呢首先去清華學堂呢
[00:03:20.640 --> 00:03:23.720]  就首先做一個預備學英文呀其餘嘅嘢啦
[00:03:23.720 --> 00:03:26.880]  咁呀校址呢點解叫清華學堂呢
[00:03:26.880 --> 00:03:31.640]  就係北京西郊嘅呢個清華院嗰度呢開始嘅
[00:03:31.640 --> 00:03:36.000]  咁呀辛亥革命之後呢先至係呢改名呢就係
[00:03:36.000 --> 00:03:37.800]  清華學校嘅
[00:03:37.800 --> 00:03:39.840]  1914年呢
[00:03:39.840 --> 00:03:41.120]  sorry係喇
[00:03:41.120 --> 00:03:46.500]  1914年11月呢梁啟超先生呢
[00:03:46.500 --> 00:03:51.100]  喺呢個清華大學呢真係以後叫做清華大學嘅地方呢
[00:03:51.100 --> 00:03:52.140]  咁呀
[00:03:52.140 --> 00:03:53.420]  就
[00:03:53.420 --> 00:03:56.740]  以呢個論君子呀君子論呢
[00:03:56.740 --> 00:03:58.780]  嘅題目呢就進行演講
[00:03:58.780 --> 00:04:01.100]  咁呀鼓勵預備到美國
