
[00:00:00.000 --> 00:00:03.000]  今天的經文就是記載在
[00:00:03.000 --> 00:00:06.080]  《初一及記》十二章一到三十節
[00:00:06.080 --> 00:00:08.120]  最後兩節一起讀好嗎
[00:00:08.120 --> 00:00:09.520]  「到了半夜」
[00:00:09.520 --> 00:00:12.940]  「也無話返一及其十二章節」
[00:00:12.940 --> 00:00:15.460]  「就自從做無作的法老」
[00:00:15.460 --> 00:00:17.620]  「直到彼到做不作的法老」
[00:00:17.620 --> 00:00:19.840]  「也就此一兩章節」
[00:00:19.840 --> 00:00:24.140]  「以及一切投生的生畜盡都殺了」
[00:00:24.140 --> 00:00:27.900]  「法老和一切神僕並挨及眾人」
[00:00:27.900 --> 00:00:29.780]  「夜間都起來了」
[00:00:29.780 --> 00:00:32.360]  「在埃及有大哀嚎」
[00:00:32.360 --> 00:00:36.200]  「無一家不死一個人的」
[00:00:36.200 --> 00:00:38.180]  整段經文三十節
[00:00:38.180 --> 00:00:41.780]  如果你看回頭十二章一到三十節
[00:00:41.780 --> 00:00:46.060]  其實在十一章已經宣告了會
[00:00:46.060 --> 00:00:47.700]  接下來是殺長子的
[00:00:47.700 --> 00:00:52.820]  由宣告殺長子到真正長子被殺
[00:00:52.820 --> 00:00:56.220]  中間的一個段落就是剛才那一段經文
[00:00:56.220 --> 00:00:58.540]  一到十四節其實它說了
[00:00:58.540 --> 00:01:03.260]  「如月節」的定例是上帝和摩西亞倫說的
[00:01:03.260 --> 00:01:04.460]  三個重點
[00:01:04.460 --> 00:01:05.260]  第一
[00:01:05.260 --> 00:01:13.020]  他說你要將出埃及這個月定為一年之首
[00:01:13.020 --> 00:01:16.140]  是新一年的開始
[00:01:16.140 --> 00:01:17.180]  第二
[00:01:17.180 --> 00:01:21.500]  要宰殺一隻一歲沒有殘疾的公羊
[00:01:21.500 --> 00:01:23.260]  綿羊或山羊都可以
[00:01:23.260 --> 00:01:27.020]  要用火燒和無教餅和無酵餅
[00:01:27.020 --> 00:01:28.620]  和虎杖一起吃
[00:01:28.620 --> 00:01:30.540]  接著你要換好衣服穿好鞋子
[00:01:30.540 --> 00:01:32.140]  趕緊地吃
[00:01:32.140 --> 00:01:35.300]  預備隨時要起床
[00:01:35.300 --> 00:01:36.460]  第三
[00:01:36.460 --> 00:01:39.300]  要用宰羊流出來的血
[00:01:39.300 --> 00:01:43.100]  塗在門框和門眉上
[00:01:43.100 --> 00:01:46.420]  而且你不可以那晚出屋
[00:01:46.420 --> 00:01:50.140]  接著他再說了另一個節日
[00:01:50.140 --> 00:01:52.660]  是無酵節
[00:01:52.660 --> 00:01:53.580]  兩個重點
[00:01:53.580 --> 00:01:57.580]  第一是世世代代都要遵行這個定例
[00:01:57.580 --> 00:01:59.100]  有七天的節日
[00:01:59.100 --> 00:02:00.220]  頭兩天
[00:02:00.220 --> 00:02:02.420]  頭一天和最後一天
[00:02:02.420 --> 00:02:05.020]  兩個要有聖會不可以做功
[00:02:05.020 --> 00:02:07.820]  接著整個節日要將酵
[00:02:07.820 --> 00:02:10.380]  從每一個屋企除掉
[00:02:10.380 --> 00:02:15.580]  七天內都要吃無酵的餅
[00:02:15.580 --> 00:02:17.020]  說了兩個節日之後
[00:02:17.020 --> 00:02:18.340]  第廿一節到廿八節
[00:02:18.340 --> 00:02:20.780]  就是摩西召了以色列人的長老來
[00:02:20.780 --> 00:02:21.460]  跟他說
[00:02:21.460 --> 00:02:23.700]  上帝跟我說什麼我就跟你們說
[00:02:23.700 --> 00:02:26.020]  接著經文就說
[00:02:26.020 --> 00:02:27.660]  上帝跟摩西說什麼
[00:02:27.660 --> 00:02:28.580]  摩西跟他們說
[00:02:28.580 --> 00:02:33.460]  以色列的百姓就照著去遵行
[00:02:33.460 --> 00:02:36.380]  不過不知是蝙蝠的問題還是怎樣呢
[00:02:36.380 --> 00:02:41.380]  你留意他沒有特別說到是無酵節的內容
[00:02:41.380 --> 00:02:44.580]  只在說他們那晚
[00:02:44.580 --> 00:02:49.700]  將血塗在門眉上等等
[00:02:49.700 --> 00:02:51.540]  這個位置挺有趣的
[00:02:51.540 --> 00:02:52.900]  讀到這些位置
[00:02:52.900 --> 00:02:54.260]  上帝有時跟我們說的
[00:02:54.260 --> 00:02:56.180]  我們有時做的
[00:02:56.180 --> 00:02:58.700]  總是偏偏錯過了一些東西
[00:02:58.700 --> 00:02:59.900]  可能是可能不是
[00:02:59.900 --> 00:03:02.460]  不過聖經沒有說不一定是
[00:03:02.460 --> 00:03:04.020]  最後那兩節
[00:03:04.020 --> 00:03:07.020]  就是說神在半夜的裡面
[00:03:07.020 --> 00:03:11.220]  將所有的長子
[00:03:11.220 --> 00:03:14.020]  無論是高高在上發怒的兒子
