
[00:00:00.000 --> 00:00:02.680]  好,各位電影姐妹,早晨
[00:00:02.680 --> 00:00:08.680]  讓我們一起為自己能夠在港道裏邊聽到上帝的說話一起祈禱吧
[00:00:08.680 --> 00:00:14.080]  長官力量和智慧的天父
[00:00:14.080 --> 00:00:17.000]  多謝你昔日派耶穌基督來到世上
[00:00:17.000 --> 00:00:19.880]  為我們的罪釘死十字架上
[00:00:19.880 --> 00:00:24.200]  在世上看來,十字架是一種無力和愚蠢
[00:00:24.200 --> 00:00:26.880]  但你竟然就是透過這樣的刑具
[00:00:26.880 --> 00:00:29.880]  向世界展示你的力量和智慧
[00:00:29.880 --> 00:00:33.280]  並且讓我們這一群既無力又愚蠢的罪人
[00:00:33.280 --> 00:00:37.280]  能夠在耶穌基督裏面享有你的一切
[00:00:37.280 --> 00:00:40.680]  主,幫助我們今天藉著經文和港道
[00:00:40.680 --> 00:00:43.480]  能夠明白這位十架上的基督
[00:00:43.480 --> 00:00:46.280]  就是你的力量,你的智慧
[00:00:46.280 --> 00:00:48.880]  以致我們能夠放下對世俗的追崇
[00:00:48.880 --> 00:00:51.280]  全心全意地去靠著你
[00:00:51.280 --> 00:00:54.280]  直至基督回來審判世界的一天
[00:00:54.280 --> 00:00:56.280]  祈禱加託,奉主名求
[00:00:56.280 --> 00:00:58.280]  阿穆
[00:00:58.280 --> 00:01:00.280]  今天的講題是
[00:01:00.280 --> 00:01:02.280]  十架上的基督
[00:01:02.280 --> 00:01:04.280]  上帝的力量和智慧
[00:01:04.280 --> 00:01:06.280]  說起力量和智慧
[00:01:06.280 --> 00:01:08.280]  不知道你們心中有沒有一套
[00:01:08.280 --> 00:01:10.280]  很喜歡的作品
[00:01:10.280 --> 00:01:12.280]  以鬥智鬥力作為題材呢?
[00:01:12.280 --> 00:01:14.280]  我自己就很喜歡一套
[00:01:14.280 --> 00:01:16.280]  叫做《死亡筆記》的動畫
[00:01:16.280 --> 00:01:19.280]  故事講述一個天才高中生
[00:01:19.280 --> 00:01:21.280]  他某一天撿到一本從天而降的
[00:01:21.280 --> 00:01:23.280]  《死亡筆記》之後
[00:01:23.280 --> 00:01:26.280]  他就想到不如我利用筆記的力量
[00:01:26.280 --> 00:01:29.280]  去清除社會上的罪犯
[00:01:29.280 --> 00:01:31.280]  美其名呢
[00:01:31.280 --> 00:01:33.280]  是想為社會除害
[00:01:33.280 --> 00:01:35.280]  實際上呢
[00:01:35.280 --> 00:01:37.280]  他只是想利用他自己的智慧
[00:01:37.280 --> 00:01:40.280]  去得到壓制對手的快感
[00:01:40.280 --> 00:01:42.280]  不過沒多久之後
[00:01:42.280 --> 00:01:44.280]  他就遇上他人生的宿敵
[00:01:44.280 --> 00:01:46.280]  天才偵探L
[00:01:46.280 --> 00:01:49.280]  自此他和這位L就展開了一場
[00:01:49.280 --> 00:01:52.280]  鬥智鬥力的生死搏鬥
[00:01:53.280 --> 00:01:56.280]  其實力量和智慧之爭
[00:01:56.280 --> 00:02:00.280]  又何止發生在虛構故事裡面呢
[00:02:00.280 --> 00:02:02.280]  在現實生活中
[00:02:02.280 --> 00:02:04.280]  我們總是會遇到一些
[00:02:04.280 --> 00:02:06.280]  人和人之間的鬥爭
[00:02:06.280 --> 00:02:09.280]  甚至連基督徒都不例外
[00:02:09.280 --> 00:02:11.280]  有時
[00:02:11.280 --> 00:02:14.280]  鬥爭是源於這個世界對基督徒的憎恨
[00:02:14.280 --> 00:02:16.280]  最明顯的例子
[00:02:16.280 --> 00:02:18.280]  莫過於在歷史裡面
[00:02:18.280 --> 00:02:20.280]  或者在現實生活之中
[00:02:20.280 --> 00:02:22.280]  世上一些的政權
[00:02:22.280 --> 00:02:24.280]  是怎樣用自己的公權力
[00:02:24.280 --> 00:02:26.280]  去壓迫我們的教會
[00:02:26.280 --> 00:02:28.280]  也有些時候
[00:02:28.280 --> 00:02:31.280]  鬥爭是源於我們弟兄姊妹自己
[00:02:31.280 --> 00:02:34.280]  正如媒體偶然都會報導
[00:02:34.280 --> 00:02:37.280]  有些教會領袖因為自己個人的偏見
[00:02:37.280 --> 00:02:39.280]  或者利益
[00:02:39.280 --> 00:02:43.280]  不惜利用世俗的智慧和權力
[00:02:43.280 --> 00:02:46.280]  來逼走那些和自己意見不一的人
[00:02:46.280 --> 00:02:48.280]  破壞了教會的合一之餘
[00:02:48.280 --> 00:02:51.280]  甚至導致教會的分裂
[00:02:51.280 --> 00:02:53.280]  在今天的經文裡面
[00:02:53.280 --> 00:02:55.280]  我們將會看到
[00:02:55.280 --> 00:02:57.280]  哥林多教會是怎樣去為了
[00:02:57.280 --> 00:02:59.280]  追崇世俗的智慧和能力
[00:02:59.280 --> 00:03:03.280]  令自己落入了一場派系的鬥爭
[00:03:03.280 --> 00:03:05.280]  我們又會看到
[00:03:05.280 --> 00:03:08.280]  保羅怎樣藉著十字界福音
[00:03:08.280 --> 00:03:12.280]  去回應教會對於力量和智慧的迷思
[00:03:12.280 --> 00:03:14.280]  首先
[00:03:14.280 --> 00:03:16.280]  哥林多前書一至四章
[00:03:16.280 --> 00:03:18.280]  其實是一個大段落
[00:03:18.280 --> 00:03:20.280]  當中保羅要處理的
[00:03:20.280 --> 00:03:23.280]  是哥林多教會分化的問題
[00:03:23.280 --> 00:03:25.280]  而這一場的紛爭裡面
[00:03:25.280 --> 00:03:27.280]  又牽涉了四個派別
[00:03:27.280 --> 00:03:29.280]  分別就是保羅派
[00:03:29.280 --> 00:03:31.280]  亞波羅派
[00:03:31.280 --> 00:03:33.280]  基法派
[00:03:33.280 --> 00:03:35.280]  和基督派
[00:03:35.280 --> 00:03:36.280]  總體來說
[00:03:36.280 --> 00:03:38.280]  我們會以為這裡所說的
[00:03:38.280 --> 00:03:41.280]  是一些教內的神學爭議
[00:03:41.280 --> 00:03:43.280]  不過只要我們參照整個
[00:03:43.280 --> 00:03:45.280]  一至四章的脈絡
[00:03:45.280 --> 00:03:47.280]  和侍奴行轉十五章
[00:03:47.280 --> 00:03:49.280]  彼得後書三章等等的經文
[00:03:49.280 --> 00:03:51.280]  我們就會知道
[00:03:51.280 --> 00:03:53.280]  這幾位教會領袖之間
[00:03:53.280 --> 00:03:57.280]  似乎是沒有什麼重大的神學分歧
[00:03:57.280 --> 00:03:58.280]  與此同時
[00:03:58.280 --> 00:04:00.280]  透過保羅的顯辭用字
[00:04:00.280 --> 00:04:03.280]  我們就可以發現當中的端倪
[00:04:03.280 --> 00:04:04.280]  第一
[00:04:04.280 --> 00:04:06.280]  在一至四章裡面
[00:04:06.280 --> 00:04:07.280]  大能和軟弱
[00:04:07.280 --> 00:04:10.280]  是一個不斷重複出現的主題
[00:04:10.280 --> 00:04:12.280]  這一點就讓我們看到
[00:04:12.280 --> 00:04:14.280]  哥林多教會的分化
