
[00:00:00.000 --> 00:00:04.080]  我們開始的時候做一個祈禱
[00:00:04.080 --> 00:00:05.380]  我們的天父我們感謝你
[00:00:05.380 --> 00:00:07.900]  讓我們在這個週三的晚上
[00:00:07.900 --> 00:00:11.360]  有機會一起在高利堂的十九樓
[00:00:11.360 --> 00:00:21.900]  一個我們希望在日後會成為一個敬拜的地方
[00:00:21.900 --> 00:00:25.500]  成為一個建立基督群體的地方
[00:00:25.500 --> 00:00:33.200]  成為一個有道可聽、有祈禱、萬國祈禱的電影的地方
[00:00:33.200 --> 00:00:36.400]  求主你幫助我們在今晚來到的時候
[00:00:36.400 --> 00:00:42.400]  無論我們忙了一整天、身體疲倦等等
[00:00:42.400 --> 00:00:48.400]  都求主你給我們一個更新的能力
[00:00:48.400 --> 00:00:57.400]  叫我們在未來的一個多小時可以專心、安靜地去聽你的道
[00:00:57.400 --> 00:00:59.400]  特別為我自己祈禱
[00:00:59.400 --> 00:01:08.400]  每次要去搞一些audiovisual混亂的時候
[00:01:08.400 --> 00:01:10.900]  自己心裏面都有些波動
[00:01:10.900 --> 00:01:14.900]  求主你幫助我可以安靜地、可以很清晰地
[00:01:14.900 --> 00:01:20.900]  將你的話語呈現在我們的弟兄姊妹面前
[00:01:20.900 --> 00:01:22.900]  祝福我們一切的時間
[00:01:22.900 --> 00:01:26.900]  祈禱是奉主耶穌基督的名禱
[00:01:26.900 --> 00:01:32.900]  再次歡迎大家來到我們這個路德記的禎獨
[00:01:32.900 --> 00:01:36.900]  我們有七個星期一起
[00:01:36.900 --> 00:01:39.400]  我用了很多powerpoint很多人都知道
[00:01:39.400 --> 00:01:42.400]  你不需要拍照也不需要抄
[00:01:42.400 --> 00:01:45.400]  你可以拍這個網站
[00:01:45.400 --> 00:01:49.400]  tiny.cc/roof123
[00:01:49.400 --> 00:01:53.400]  你就可以在那裏找到我的powerpoint
[00:01:53.400 --> 00:01:55.400]  所有東西你都可以去
[00:01:55.400 --> 00:01:57.400]  這是google drive的folder
[00:01:57.400 --> 00:02:01.400]  如果你去那裏你可以找到所有powerpoint來看
[00:02:01.400 --> 00:02:04.400]  也可以懶人的選擇
[00:02:04.400 --> 00:02:07.400]  直接上true kitchen tv
[00:02:07.400 --> 00:02:10.400]  true kitchen tv是一個youtube channel
[00:02:10.400 --> 00:02:15.400]  我會錄製這個講座的slide
[00:02:15.400 --> 00:02:17.400]  我的聲音就會在那裏
[00:02:17.400 --> 00:02:20.400]  你就可以回去聽
[00:02:20.400 --> 00:02:21.400]  不是powerpoint
