
[00:00:00.000 --> 00:00:03.000]  (主席)今日講題是「喜行與安營」
[00:00:03.000 --> 00:00:06.000]  是文掃記第十章
[00:00:06.000 --> 00:00:11.000]  我不知道大家有沒有喜歡去日本旅行
[00:00:11.000 --> 00:00:14.000]  我們和家人都喜歡的
[00:00:14.000 --> 00:00:18.000]  上個月尾我適逢兒子放假去了幾天
[00:00:18.000 --> 00:00:21.000]  日本有些很有趣的文化
[00:00:21.000 --> 00:00:23.000]  我不知道你們有沒有體驗過
[00:00:23.000 --> 00:00:26.000]  我懂日文的不得幾句
[00:00:26.000 --> 00:00:38.000]  和大家一樣「阿諾」、「歐嗨喲」、「撒優那啦」、「阿利嘎多」
[00:00:38.000 --> 00:00:39.000]  就是這幾樣
[00:00:39.000 --> 00:00:41.000]  但每次去到日本
[00:00:41.000 --> 00:00:45.000]  常常我覺得日本人都覺得我們懂日文
[00:00:45.000 --> 00:00:48.000]  會講很長的東西
[00:00:48.000 --> 00:00:49.000]  我記得今次也是
[00:00:49.000 --> 00:00:52.000]  一去到其中一個酒店
[00:00:52.000 --> 00:00:54.000]  很好的接待,很有禮貌
[00:00:54.000 --> 00:00:56.000]  「皆さん、よこそ」
[00:00:56.000 --> 00:00:58.000]  我當然不知道他在說什麼
[00:00:58.000 --> 00:00:59.000]  我只是亂說
[00:00:59.000 --> 00:01:05.000]  他繼續說「今夜、よこそ」
[00:01:05.000 --> 00:01:09.000]  我就很有禮貌地扮明
[00:01:09.000 --> 00:01:13.000]  他當然知道我不明白
[00:01:13.000 --> 00:01:14.000]  接著他講到重點
[00:01:14.000 --> 00:01:16.000]  重點是「Welcome」
[00:01:16.000 --> 00:01:18.000]  突然聽到我明白的東西
[00:01:18.000 --> 00:01:20.000]  接著他再說一句「Dinner」
[00:01:20.000 --> 00:01:22.000]  我明白了,剛剛肚子餓
[00:01:22.000 --> 00:01:25.000]  接著他又繼續說日文
[00:01:25.000 --> 00:01:30.000]  很有趣「よこそ」、「のう」、「しんかん」
[00:01:30.000 --> 00:01:32.000]  我當然不知道他說什麼
