
[00:00:00.000 --> 00:00:02.000]  各位聽聽節目,平安!
[00:00:02.000 --> 00:00:06.000]  正如主席所說,今天的題目是土地公義
[00:00:06.000 --> 00:00:13.000]  土地公義是教會安排逆流抉擇系列的最後一個題目
[00:00:13.000 --> 00:00:18.000]  過去已經說了11個題目,今次是最後一次,12個
[00:00:18.000 --> 00:00:26.000]  其中包括公共空間,性別公義,我上次說的是基因工程
[00:00:26.000 --> 00:00:30.000]  今天跟大家說的是土地公義
[00:00:30.000 --> 00:00:33.000]  土地公義,不知道大家想到什麼呢?
[00:00:33.000 --> 00:00:36.000]  想到土地這兩個字
[00:00:36.000 --> 00:00:41.000]  通常我們特別是香港人,一想到土地就想到住的地方
[00:00:41.000 --> 00:00:47.000]  因為香港地少人多,而且屋價貴到不得了
[00:00:47.000 --> 00:01:01.000]  其實很多人都因為房屋而要工作,兩人要上班
[00:01:01.000 --> 00:01:05.000]  受房價影響生活
[00:01:05.000 --> 00:01:10.000]  但其實土地不只是居住這麼簡單
[00:01:10.000 --> 00:01:15.000]  土地的重要性其實有幾樣比居住更加重要
[00:01:15.000 --> 00:01:21.000]  包括氧氣的供應,沒有氧氣就無法呼吸,無法生存
[00:01:21.000 --> 00:01:24.000]  植物的生長,糧食,水的儲存
[00:01:24.000 --> 00:01:26.000]  我稍後會繼續說
[00:01:26.000 --> 00:01:28.000]  為什麼這麼重要呢?
[00:01:28.000 --> 00:01:34.000]  其實所謂土地最重要的一層叫做上層土,top soil
[00:01:34.000 --> 00:01:37.000]  top soil只有一呎左右,一呎到後
[00:01:37.000 --> 00:01:44.000]  但一呎的土地就供應了整個世界的糧食和氧氣
[00:01:44.000 --> 00:01:50.000]  大家看到下面那一層叫做top soil
[00:01:50.000 --> 00:01:56.000]  top soil雖然是泥土,但沒有東西可以生長
[00:01:56.000 --> 00:02:02.000]  top soil是多久才可以形成呢?是500年
[00:02:02.000 --> 00:02:08.000]  如果top soil沒有了,根本就沒有了
[00:02:08.000 --> 00:02:15.000]  為什麼土地供應了整個世界的氧氣呢?
[00:02:15.000 --> 00:02:17.000]  大家都知道有光合作用
[00:02:17.000 --> 00:02:22.000]  當一棵植物的葉受太陽照射
[00:02:22.000 --> 00:02:28.000]  經過光合作用將空氣中的二氧化碳化為氧氣
[00:02:28.000 --> 00:02:31.000]  我們才有氧氣可以呼吸
[00:02:31.000 --> 00:02:39.000]  如果沒有土地,就沒有植物,就沒有氧氣,很簡單
[00:02:39.000 --> 00:02:49.000]  大家都知道亞馬遜森林是全世界最大的森林,有很多樹
[00:02:49.000 --> 00:02:55.000]  裡面供應了整個世界的氧氣20%
[00:02:55.000 --> 00:03:01.000]  所以它有一個叫做lonesome planet,就是地球的廢之稱
[00:03:01.000 --> 00:03:14.000]  不單止是這個森林,其實在印尼和非洲很多森林都在供應地球的氧氣
[00:03:14.000 --> 00:03:21.000]  如果有一天這些森林不存在的時候,我們在哪裡呼吸呢?
[00:03:21.000 --> 00:03:26.000]  所以這是一個很嚴重的問題
[00:03:26.000 --> 00:03:33.000]  另外,水,不要想水這麼簡單,水從哪裡來呢?
[00:03:33.000 --> 00:03:39.000]  其實地球的水大部分是從海裡來的,97%
[00:03:39.000 --> 00:03:42.000]  淡水只佔了3%
[00:03:42.000 --> 00:03:46.000]  在這3%裡面,大部分的水我們都不能用
[00:03:46.000 --> 00:03:51.000]  因為有些在冰川裡佔了差不多70%
[00:03:51.000 --> 00:03:56.000]  另外那三成就在地下水,地下水都很難拿的
[00:03:56.000 --> 00:04:01.000]  其餘只剩下1%的淡水我們可以用
[00:04:01.000 --> 00:04:05.000]  淡水從哪裡來呢?就是在我們的湖裡,在河裡
[00:04:05.000 --> 00:04:09.000]  如果你沒有地的話,就沒有湖,又沒有河
[00:04:09.000 --> 00:04:16.000]  所以地對於儲存的水是非常重要的
[00:04:16.000 --> 00:04:21.000]  舉個例子,貝加爾湖,不知道有沒有人去過
[00:04:21.000 --> 00:04:29.000]  貝加爾湖是在蒙古以北一點的一個湖
[00:04:29.000 --> 00:04:32.000]  那個湖面積來說不是很大
[00:04:32.000 --> 00:04:37.000]  這個貝加爾的名字其實意思是大量的水
[00:04:37.000 --> 00:04:45.000]  它的儲水量是整個世界、全球、河川和湖的兩成
[00:04:45.000 --> 00:04:49.000]  你想一下,這個湖其實很美的
[00:04:49.000 --> 00:04:56.000]  我看了一些圖片,基本上你在上面看到的,看到100米深的
[00:04:56.000 --> 00:05:01.000]  很清,是一個很美的地方
[00:05:01.000 --> 00:05:10.000]  在大概五、六十年前,當蘇聯,因為這個地方是屬於蘇聯的
[00:05:10.000 --> 00:05:14.000]  那時的蘇聯,現在的俄羅斯,喀什
[00:05:14.000 --> 00:05:20.000]  那些水,透過河流入湖裡
[00:05:20.000 --> 00:05:29.000]  現在已經清了,你想一下,如果有一天這個湖的水被污染
[00:05:29.000 --> 00:05:34.000]  基本上地球的五分之一的水就沒有了,不可以用
[00:05:34.000 --> 00:05:36.000]  所以是非常非常重要
[00:05:36.000 --> 00:05:42.000]  所以我們怎樣去對待我們的土地是很重要的
[00:05:42.000 --> 00:05:50.000]  所以這個跟我們的土地公義有直接關係
[00:05:50.000 --> 00:05:54.000]  在聖經裡面,有一段經文只有七字
[00:05:54.000 --> 00:06:01.000]  講述神對他的子民,就說應該怎樣對待這個土地
[00:06:01.000 --> 00:06:05.000]  就在利美記第25章第一到第七節
[00:06:05.000 --> 00:06:08.000]  一起讀,字比較小,我一起讀
[00:06:08.000 --> 00:06:14.000]  耶和華在西冷山對摩西說,你豈如以色列人說
[00:06:14.000 --> 00:06:20.000]  你們到了我所賜你們那地的時候,地就要向耶和華授安息
[00:06:20.000 --> 00:06:27.000]  六年要耕種田地,也要修理葡萄園,收藏地的出產
[00:06:27.000 --> 00:06:32.000]  第七年要守聖安息,就是向耶和華授的安息
[00:06:32.000 --> 00:06:36.000]  不可耕種田地,不可修理葡萄園
[00:06:36.000 --> 00:06:39.000]  遺落智障的莊稼不可修改
[00:06:39.000 --> 00:06:43.000]  沒有修理的葡萄樹,也不可摘取葡萄
[00:06:43.000 --> 00:06:55.000]  這年地要守聖安息,地在安息年所出的,要給你的僕人,婢女,故宮人,並寄居的外人當食物
[00:06:55.000 --> 00:07:02.000]  這年的土產要給你的生畜和地上周收當食物
[00:07:13.000 --> 00:07:19.000]  希望我們能夠看到你的心意,和我們的生命能夠回應你的話語
[00:07:19.000 --> 00:07:23.000]  很感恩,是奉主耶穌基督的命求
[00:07:23.000 --> 00:07:30.000]  今日的經文在利美記,我首先將利美記的一些背景和大家講一講
[00:07:30.000 --> 00:07:34.000]  利美記真正的名字叫神呼叫
[00:07:34.000 --> 00:07:38.000]  為什麼呢?因為在利美記第一章第一字的時候是這麼說的
[00:07:38.000 --> 00:07:46.000]  耶和華從回眸中呼叫摩西,這個呼叫其實對猶太人來說是神呼叫
[00:07:46.000 --> 00:07:50.000]  寫的地點在西南抗耶的回眸
[00:07:50.000 --> 00:07:55.000]  目的就是讓以色列人知道怎樣過神聖的生活
[00:07:55.000 --> 00:08:00.000]  約節就是我是把你們從埃及地領出來的耶和華
[00:08:00.000 --> 00:08:05.000]  要作你們的神,所以你們要聖潔,因為我是聖潔的
[00:08:05.000 --> 00:08:12.000]  其實後面這一句你們要聖潔,因為我是聖潔就是整本書的主題
[00:08:12.000 --> 00:08:22.000]  利美記有27章,頭10章是說祭司所獻祭的條例
