
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹主奈何平安
[00:00:02.000 --> 00:00:04.000]  如果我問你
[00:00:04.000 --> 00:00:06.000]  你還記不記得你
[00:00:06.000 --> 00:00:08.000]  決志信主那一刻
[00:00:08.000 --> 00:00:10.000]  是什麼驅使你作出一個
[00:00:10.000 --> 00:00:12.000]  這麼重要的決定
[00:00:12.000 --> 00:00:14.000]  在生命裏面作出一個
[00:00:14.000 --> 00:00:16.000]  這麼重要的一步呢
[00:00:16.000 --> 00:00:20.000]  我想基本上
[00:00:20.000 --> 00:00:22.000]  我問很多的決志的人
[00:00:22.000 --> 00:00:24.000]  他們都覺得就是
[00:00:24.000 --> 00:00:26.000]  其中一個很重要的原因就是
[00:00:26.000 --> 00:00:28.000]  因為我們都會
[00:00:28.000 --> 00:00:32.000]  承認耶穌基督會賜下救恩給我們
[00:00:32.000 --> 00:00:34.000]  我們承認祂是我們的救贖主
[00:00:34.000 --> 00:00:36.000]  我們可以在祂面前
[00:00:36.000 --> 00:00:38.000]  去承認我們是罪人
[00:00:38.000 --> 00:00:40.000]  我們也都需要
[00:00:40.000 --> 00:00:42.000]  耶穌基督的救贖
[00:00:42.000 --> 00:00:44.000]  是不是
[00:00:44.000 --> 00:00:46.000]  是
[00:00:46.000 --> 00:00:48.000]  很清楚地說
[00:00:48.000 --> 00:00:50.000]  沒錯,承認自己有罪
[00:00:50.000 --> 00:00:52.000]  是很重要的
[00:00:52.000 --> 00:00:54.000]  承認自己有罪,認罪
[00:00:54.000 --> 00:00:56.000]  並且求赦免
[00:00:56.000 --> 00:00:58.000]  我們這個信仰裏面
[00:00:58.000 --> 00:01:00.000]  很重要的內容
[00:01:00.000 --> 00:01:02.000]  所以你看到我們的三福隊
[00:01:02.000 --> 00:01:04.000]  啟發課程都強調這一點
[00:01:04.000 --> 00:01:06.000]  因為先讓人知道自己有罪
[00:01:06.000 --> 00:01:08.000]  才能夠覺得
[00:01:08.000 --> 00:01:10.000]  需要去接受耶穌基督
[00:01:10.000 --> 00:01:12.000]  我相信
[00:01:12.000 --> 00:01:14.000]  這個也是保羅覺得
[00:01:14.000 --> 00:01:16.000]  很重要的一個內容
[00:01:16.000 --> 00:01:18.000]  所以他在羅馬書第七章的
[00:01:18.000 --> 00:01:20.000]  焦點就是講到
[00:01:20.000 --> 00:01:22.000]  律法和
[00:01:22.000 --> 00:01:24.000]  律法與罪之間的關係
[00:01:24.000 --> 00:01:26.000]  或者我們一起打開
[00:01:26.000 --> 00:01:28.000]  這段經文,羅馬書第七章
[00:01:28.000 --> 00:01:30.000]  在教會聖經
[00:01:30.000 --> 00:01:32.000]  212頁
[00:01:32.000 --> 00:01:36.000]  剛才偉業傳道
[00:01:36.000 --> 00:01:38.000]  已經為大家讀出了
[00:01:38.000 --> 00:01:40.000]  這整段經文的
[00:01:40.000 --> 00:01:42.000]  後面的幾節
[00:01:42.000 --> 00:01:44.000]  我今天沒有時間和大家逐節去讀
[00:01:44.000 --> 00:01:46.000]  去看,但是我都鼓勵你打開
[00:01:46.000 --> 00:01:48.000]  然後我在螢幕上
[00:01:48.000 --> 00:01:50.000]  會引用很多其他不同的
[00:01:50.000 --> 00:01:52.000]  譯本和大家看這段經文
[00:01:52.000 --> 00:01:54.000]  在舊約的時代
[00:01:54.000 --> 00:01:56.000]  上帝
[00:01:56.000 --> 00:01:58.000]  將以色列人在埃及救出來
[00:01:58.000 --> 00:02:00.000]  然後親自在西奈山上
[00:02:00.000 --> 00:02:02.000]  頒佈了律法
[00:02:02.000 --> 00:02:04.000]  是上帝的旨意
[00:02:04.000 --> 00:02:06.000]  向以色列人啟示
[00:02:06.000 --> 00:02:08.000]  為的就是
[00:02:08.000 --> 00:02:10.000]  要讓以色列人有法可依
[00:02:10.000 --> 00:02:12.000]  讓他們知罪
[00:02:12.000 --> 00:02:14.000]  並且律法是讓上帝的子民
[00:02:14.000 --> 00:02:16.000]  在上帝的
[00:02:16.000 --> 00:02:18.000]  生活的規範裡面
[00:02:18.000 --> 00:02:20.000]  以致他們行事為人
[00:02:20.000 --> 00:02:22.000]  所做出來的
[00:02:22.000 --> 00:02:24.000]  比其他
[00:02:24.000 --> 00:02:26.000]  熟悉的人是有不同的
[00:02:26.000 --> 00:02:28.000]  讓他們成為聖潔的國民
[00:02:28.000 --> 00:02:30.000]  作萬族的榜樣
[00:02:30.000 --> 00:02:32.000]  律法是要
[00:02:32.000 --> 00:02:34.000]  顯明罪,是指出罪
[00:02:34.000 --> 00:02:36.000]  所以羅密書第七章
[00:02:36.000 --> 00:02:38.000]  第七節那裡說,詩七章
[00:02:38.000 --> 00:02:40.000]  正是律法顯明了我的罪
[00:02:40.000 --> 00:02:42.000]  要不是律法說不可貪心
[00:02:42.000 --> 00:02:44.000]  我就絕不會知道
[00:02:44.000 --> 00:02:46.000]  貪心是不對的
[00:02:46.000 --> 00:02:48.000]  大家都會
