
[00:00:00.000 --> 00:00:02.000]  各位兄弟姐妹午安
[00:00:02.000 --> 00:00:05.000]  很高興又回到大家當中
[00:00:05.000 --> 00:00:07.000]  跟大家分享整個說話
[00:00:07.000 --> 00:00:09.000]  我記得施文傳道找我的時候
[00:00:09.000 --> 00:00:11.000]  他說Henry傳道你快點給我題目
[00:00:11.000 --> 00:00:14.000]  因為他說要早點安排
[00:00:14.000 --> 00:00:18.000]  我祈禱的時候就想起《猶大書》
[00:00:18.000 --> 00:00:21.000]  想起《猶大書》就很簡單
[00:00:21.000 --> 00:00:26.000]  就是一來這本書夠亂
[00:00:26.000 --> 00:00:28.000]  就是你看的時候
[00:00:28.000 --> 00:00:30.000]  你一看就覺得
[00:00:30.000 --> 00:00:33.000]  十字八節看起來好像有很多混亂的東西
[00:00:33.000 --> 00:00:36.000]  另外一個原因就是夠短
[00:00:36.000 --> 00:00:40.000]  《猶大書》是整本聖經當中
[00:00:40.000 --> 00:00:42.000]  第三段的書信
[00:00:42.000 --> 00:00:44.000]  只有二十五節經文
[00:00:44.000 --> 00:00:46.000]  第二段是約翰三書
[00:00:46.000 --> 00:00:48.000]  有十五節
[00:00:48.000 --> 00:00:50.000]  最短就是約翰二書
[00:00:50.000 --> 00:00:51.000]  有十三節
[00:00:51.000 --> 00:00:54.000]  《猶大書》的作者是耶穌的弟弟
[00:00:54.000 --> 00:00:56.000]  猶大
[00:00:56.000 --> 00:00:58.000]  猶大很有趣
[00:00:58.000 --> 00:00:59.000]  他哥哥在世的時候
[00:00:59.000 --> 00:01:01.000]  他不是很願意相信他哥哥是彌賽
[00:01:01.000 --> 00:01:03.000]  但是當耶穌離世之後
[00:01:03.000 --> 00:01:04.000]  很多人相信
[00:01:04.000 --> 00:01:05.000]  他就信了主
[00:01:05.000 --> 00:01:07.000]  他寫信給一群人
[00:01:07.000 --> 00:01:08.000]  這群人是什麼人呢?
[00:01:08.000 --> 00:01:10.000]  這群人很清楚地說
[00:01:10.000 --> 00:01:12.000]  就是那些已經脫離了舊約的地位
[00:01:12.000 --> 00:01:14.000]  就是已經離開了舊約
[00:01:14.000 --> 00:01:16.000]  猶太教的信仰
[00:01:16.000 --> 00:01:19.000]  而進入了一個新人的地位
[00:01:19.000 --> 00:01:21.000]  就是相信耶穌是救主
[00:01:21.000 --> 00:01:24.000]  一個新生的生命的人
[00:01:24.000 --> 00:01:27.000]  而這群人是擁有永生的基督徒
[00:01:27.000 --> 00:01:30.000]  請給我一個重點
[00:01:30.000 --> 00:01:38.000]  在猶大寫這本書的書信開始
[00:01:38.000 --> 00:01:40.000]  在第四節是這麼說的
[00:01:40.000 --> 00:01:42.000]  他寫這本書的目的
[00:01:42.000 --> 00:01:46.000]  是要為從前一次交付聖徒的真道
[00:01:46.000 --> 00:01:49.000]  竭力地爭辯
[00:01:49.000 --> 00:01:51.000]  他寫這本書
[00:01:51.000 --> 00:01:54.000]  很想在當時一個很混亂的世代裡面
[00:01:54.000 --> 00:01:58.000]  向每一個已經相信耶穌基督的人
[00:01:58.000 --> 00:02:03.000]  我們要竭力地持守這個信仰
[00:02:03.000 --> 00:02:06.000]  竭力地遵守聖經的教導
[00:02:06.000 --> 00:02:10.000]  原來竭力這兩個字是一個很特別的字眼
[00:02:10.000 --> 00:02:16.000]  竭力在當時希臘人的運動比賽裡面
[00:02:16.000 --> 00:02:18.000]  是描述一個運動員
[00:02:18.000 --> 00:02:21.000]  他用盡他身體裡面每一條肌肉
[00:02:21.000 --> 00:02:24.000]  每一條神經線
[00:02:24.000 --> 00:02:27.000]  以致他用盡全身的力量
[00:02:27.000 --> 00:02:31.000]  希望能夠贏得比賽
[00:02:31.000 --> 00:02:34.000]  所謂竭力為真道爭辯的意思是
[00:02:34.000 --> 00:02:37.000]  他是提議每一個基督徒
[00:02:37.000 --> 00:02:39.000]  用盡你的氣力
[00:02:39.000 --> 00:02:42.000]  用盡你所有在神裡面的知識
[00:02:42.000 --> 00:02:44.000]  用盡你一切的力量
[00:02:44.000 --> 00:02:47.000]  在這個混亂的世代當中
[00:02:47.000 --> 00:02:52.000]  持守神給我們的信仰
[00:02:52.000 --> 00:02:53.000]  聖經提醒我們
[00:02:53.000 --> 00:02:56.000]  讓我們不僅在這個混亂的世代裡面
[00:02:56.000 --> 00:02:58.000]  持守神給我們認得的救恩
[00:02:58.000 --> 00:03:00.000]  而是我們要盡一切的力量
[00:03:00.000 --> 00:03:02.000]  在這個輕看輕視
[00:03:02.000 --> 00:03:04.000]  甚至基督教信仰
[00:03:04.000 --> 00:03:08.000]  不肖藐視的態度的社會當中
[00:03:08.000 --> 00:03:10.000]  讓我們繼續高舉這個信仰的內涵
[00:03:10.000 --> 00:03:13.000]  顯明耶穌基督是各位獨一的主
[00:03:13.000 --> 00:03:14.000]  其實很簡單
[00:03:14.000 --> 00:03:16.000]  猶大的意思是讓我們不要退縮
[00:03:16.000 --> 00:03:18.000]  無論在多艱難
[00:03:18.000 --> 00:03:20.000]  多困難的環境當中
[00:03:20.000 --> 00:03:22.000]  讓我們不要退後
[00:03:22.000 --> 00:03:23.000]  讓我們不要躲起來
[00:03:23.000 --> 00:03:24.000]  讓我們不要藏起信仰
[00:03:24.000 --> 00:03:26.000]  反而在一個混亂的世代當中
[00:03:26.000 --> 00:03:27.000]  我更加要站出來
[00:03:27.000 --> 00:03:30.000]  將我的信仰顯示出來
[00:03:30.000 --> 00:03:31.000]  在他的寫作裡面
[00:03:31.000 --> 00:03:32.000]  很有趣的
[00:03:32.000 --> 00:03:34.000]  猶大跟我們看很多書信是很不同的
[00:03:34.000 --> 00:03:35.000]  保羅的書信
