
[00:00:00.000 --> 00:00:03.000]  今早我們來看一個題目
[00:00:03.000 --> 00:00:06.000]  就是從三位記上十六章
[00:00:06.000 --> 00:00:10.000]  我們思想一下關乎大衛的一段記載
[00:00:10.000 --> 00:00:12.000]  來跟我們的關係
[00:00:12.000 --> 00:00:16.000]  這個題目叫做「發動神給你的潛能」
[00:00:16.000 --> 00:00:21.000]  大家還覺得自己有潛能嗎?
[00:00:21.000 --> 00:00:24.000]  覺得自己還有潛能嗎?
[00:00:24.000 --> 00:00:27.000]  你說我都七老八十了
[00:00:27.000 --> 00:00:32.000]  五六五六十歲
[00:00:32.000 --> 00:00:35.000]  七老八十都不少
[00:00:35.000 --> 00:00:39.000]  你說還有什麼潛能呢?
[00:00:39.000 --> 00:00:41.000]  有沒有?
[00:00:41.000 --> 00:00:43.000]  有啊
[00:00:43.000 --> 00:00:45.000]  你告訴自己有
[00:00:45.000 --> 00:00:49.000]  千萬不要覺得自己沒有潛能
[00:00:49.000 --> 00:00:52.000]  因為潛能不是從你那裡來的
[00:00:52.000 --> 00:00:53.000]  是從上帝那裡來的
[00:00:53.000 --> 00:00:58.000]  多謝 多謝 不好意思
[00:00:58.000 --> 00:01:02.000]  事實上有一個雜誌
[00:01:02.000 --> 00:01:03.000]  Scientific America
[00:01:03.000 --> 00:01:06.000]  即是科學的美國
[00:01:06.000 --> 00:01:07.000]  翻譯成
[00:01:07.000 --> 00:01:12.000]  它認為年長者的認知的技能
[00:01:12.000 --> 00:01:16.000]  不一定按著年日會衰退
[00:01:16.000 --> 00:01:19.000]  事實上我們的腦慢慢會差了一點
[00:01:19.000 --> 00:01:21.000]  會衰退
[00:01:21.000 --> 00:01:24.000]  它說就好像我們做體能一樣
[00:01:24.000 --> 00:01:25.000]  我們都會衰退
[00:01:25.000 --> 00:01:27.000]  但如果你保持運動
[00:01:27.000 --> 00:01:30.000]  保持做機能訓練
[00:01:30.000 --> 00:01:32.000]  它是會保持
[00:01:32.000 --> 00:01:34.000]  而且是會有進展的
[00:01:34.000 --> 00:01:37.000]  所以說我們如果用腦多一點
[00:01:37.000 --> 00:01:41.000]  用不用腦的?
[00:01:41.000 --> 00:01:43.000]  你認知的技能
[00:01:43.000 --> 00:01:44.000]  就會保持著
