
[00:00:00.000 --> 00:00:03.000]  好 弟兄姐妹們平安
[00:00:03.000 --> 00:00:06.000]  怎麼都坐得那麼遠
[00:00:06.000 --> 00:00:09.000]  都知道前面有COVID都不敢過來
[00:00:09.000 --> 00:00:11.000]  是不是啊 大家怕得
[00:00:11.000 --> 00:00:14.000]  你看到不得了 是不是
[00:00:14.000 --> 00:00:19.000]  OK 我很感謝趙牧師給我這個機會
[00:00:19.000 --> 00:00:23.000]  讓我有機會分享神的話
[00:00:23.000 --> 00:00:25.000]  這裡有沒有國語人啊
[00:00:25.000 --> 00:00:28.000]  沒有啊 為什麼要翻譯的
[00:00:28.000 --> 00:00:31.000]  啊 這麼麻煩
[00:00:31.000 --> 00:00:34.000]  今天是父親節
[00:00:34.000 --> 00:00:40.000]  我選這一篇經文可能大家都很熟悉
[00:00:40.000 --> 00:00:44.000]  以色列人的虛碼
[00:00:44.000 --> 00:00:46.000]  到今天
[00:00:46.000 --> 00:00:54.000]  以色列人每晚每天都要讀這段經文
[00:00:54.000 --> 00:00:56.000]  讀給誰聽
[00:00:56.000 --> 00:00:58.000]  讀給他的孩子聽
[00:00:58.000 --> 00:01:01.000]  今天我們看今天的社會
[00:01:01.000 --> 00:01:03.000]  我們看今天的社會
[00:01:03.000 --> 00:01:10.000]  從兒童 少年 青年 成年 老年
[00:01:10.000 --> 00:01:13.000]  生命每次在轉折
[00:01:13.000 --> 00:01:15.000]  身份在轉折
[00:01:15.000 --> 00:01:21.000]  從兒子到可能做丈夫 妻子
[00:01:21.000 --> 00:01:24.000]  做公公 做婆婆
[00:01:24.000 --> 00:01:28.000]  在整個轉折當中
[00:01:28.000 --> 00:01:31.000]  神有話對我們說
[00:01:31.000 --> 00:01:34.000]  我們怎麼對待神的話
[00:01:34.000 --> 00:01:38.000]  我們都永遠不會想像
[00:01:38.000 --> 00:01:42.000]  以為所有的東西我們現在有的
[00:01:42.000 --> 00:01:44.000]  都是屬於我的
[00:01:44.000 --> 00:01:47.000]  都會屬於自己的
[00:01:47.000 --> 00:01:48.000]  錯了
[00:01:48.000 --> 00:01:52.000]  如果神把你生命棄息
[00:01:52.000 --> 00:01:54.000]  我的生命棄息
[00:01:54.000 --> 00:01:59.000]  把你現在有的屋子 車子 妻子 孩子
[00:01:59.000 --> 00:02:02.000]  全部拿走
[00:02:02.000 --> 00:02:05.000]  你我沒有的選擇
[00:02:05.000 --> 00:02:07.000]  我們做一個禱告
[00:02:07.000 --> 00:02:11.000]  恩主感謝你賜下你的話語
[00:02:11.000 --> 00:02:15.000]  成為我們腳前的燈路上的光
[00:02:15.000 --> 00:02:18.000]  願你的話被傳開的時候
[00:02:18.000 --> 00:02:21.000]  你的百姓得益處
[00:02:21.000 --> 00:02:24.000]  你的名得高舉得榮耀
[00:02:24.000 --> 00:02:28.000]  奉主耶穌基督得聖的名
[00:02:28.000 --> 00:02:29.000]  阿們
[00:02:29.000 --> 00:02:32.000]  我想我們坐飛機的時候
[00:02:32.000 --> 00:02:35.000]  國內也好 國際也好
[00:02:35.000 --> 00:02:38.000]  飛機還沒有起飛時
[00:02:38.000 --> 00:02:40.000]  一定要做什麼
[00:02:40.000 --> 00:02:43.000]  一個安全視頻對不對
