
[00:00:00.000 --> 00:00:03.000]  我們一起思想聖經之前,大家再一齊同心祈禱
[00:00:03.000 --> 00:00:11.000]  我們的主,我們的神
[00:00:11.000 --> 00:00:15.000]  我們知道,若不是從天上賜的
[00:00:15.000 --> 00:00:17.000]  人就不能得什麼
[00:00:17.000 --> 00:00:22.000]  我們今天能夠有美好的地方來敬拜祢
[00:00:22.000 --> 00:00:24.000]  主是祢的恩惠
[00:00:24.000 --> 00:00:28.000]  主我們更加知道祢比我們有健康
[00:00:29.000 --> 00:00:30.000]  祢讓我們有得救的生命
[00:00:30.000 --> 00:00:33.000]  能夠到祢的面前敬拜祢
[00:00:33.000 --> 00:00:36.000]  主更加是祢自己的恩惠
[00:00:36.000 --> 00:00:40.000]  主我們帶著感謝的心來獻上我們的敬拜
[00:00:40.000 --> 00:00:42.000]  因為祢佩得
[00:00:42.000 --> 00:00:46.000]  主祢賜生命,又賜下憐憫
[00:00:46.000 --> 00:00:49.000]  讓我們在祢裡面可以歡喜快樂
[00:00:49.000 --> 00:00:52.000]  過我們每一天的生活
[00:00:52.000 --> 00:00:56.000]  主我們祈禱,求祢讓我們更加留意
[00:00:57.000 --> 00:01:00.000]  也不會忘記祢給我們一切的恩惠
[00:01:00.000 --> 00:01:05.000]  讓我們生活當中尚存感恩來跟隨祢
[00:01:05.000 --> 00:01:09.000]  主如今我們感謝祢賜下祢自己聖經的真理
[00:01:09.000 --> 00:01:14.000]  是永恆的道,是人生命的力量
[00:01:14.000 --> 00:01:18.000]  如今我們到祢的面前求主賜下恩賢
[00:01:18.000 --> 00:01:22.000]  讓我們眾人在祢的面前再次蒙受恩惠
[00:01:22.000 --> 00:01:26.000]  我們仰望祈禱,奉耶穌基督聖名求
[00:01:27.000 --> 00:01:32.000]  我們就潛回聖經,進行一書第一章的經文
[00:01:32.000 --> 00:01:43.000]  大家會記得我們在今年,在今個季度開始的時候
[00:01:43.000 --> 00:01:46.000]  我們崇拜講道有一個新的主題
[00:01:46.000 --> 00:01:48.000]  這個新的主題有四個字
[00:01:48.000 --> 00:01:51.000]  大家不知道會不會還記得
[00:01:51.000 --> 00:01:55.000]  四個字裡面講到福音人生
[00:01:56.000 --> 00:01:59.000]  福音人生也講到我們整個的生命
[00:01:59.000 --> 00:02:03.000]  因為領受神給我們的福音,生命改變
