
[00:00:00.000 --> 00:00:02.000]  丁姐妹,平安!
[00:00:02.000 --> 00:00:09.000]  剛才透過第一首詩歌和詩班的獻詩,
[00:00:09.000 --> 00:00:14.000]  不知道大家有沒有感覺到主何等的榮耀,
[00:00:14.000 --> 00:00:16.000]  以及何等的佩德,
[00:00:16.000 --> 00:00:20.000]  我們將榮耀重贊歸給祂。
[00:00:20.000 --> 00:00:24.000]  其實大家一齊參加教會的崇拜,
[00:00:24.000 --> 00:00:30.000]  你可能感覺到是一些禮行的聚會,
[00:00:30.000 --> 00:00:32.000]  但是其實每一次,
[00:00:32.000 --> 00:00:34.000]  如果大家稍微預備,
[00:00:34.000 --> 00:00:38.000]  或者自己的心裏面用禱告投入敬拜,
[00:00:38.000 --> 00:00:43.000]  我相信會得著的比我們所想像的會更多。
[00:00:43.000 --> 00:00:45.000]  今年在這一刻,
[00:00:45.000 --> 00:00:48.000]  我們不宣家和過往一樣,
[00:00:48.000 --> 00:00:54.000]  為大家舉辦社關主日,
[00:00:54.000 --> 00:00:58.000]  其實就是要大家關心社會,
[00:00:58.000 --> 00:01:02.000]  或者關懷一些有需要的人。
[00:01:02.000 --> 00:01:07.000]  但是其實我們一齊去學習的時候,
[00:01:07.000 --> 00:01:10.000]  不宣每一次舉行社關主日,
[00:01:10.000 --> 00:01:13.000]  有些丁姐妹可能會感覺到,
[00:01:13.000 --> 00:01:18.000]  教會都是叫我們落善好施,慷慨的解囊,
[00:01:18.000 --> 00:01:22.000]  就好像每年都有一些籌款活動,
[00:01:22.000 --> 00:01:26.000]  可能只是叫我們來周祭那些貧窮人,
[00:01:26.000 --> 00:01:28.000]  去買支旗,
[00:01:28.000 --> 00:01:32.000]  或者是打個電話去捐款。
[00:01:32.000 --> 00:01:34.000]  最近這一兩個星期,
[00:01:34.000 --> 00:01:39.000]  如果大家留意到其實很多的災害的事,
[00:01:39.000 --> 00:01:44.000]  在國內仍然是洪水氾濫。
[00:01:44.000 --> 00:01:48.000]  我們想起自己所做的事真的很有限,
[00:01:48.000 --> 00:01:53.000]  我們都是要學習來慷慨解囊,
[00:01:53.000 --> 00:01:57.000]  但是當我們今天教會舉行社關主日的時候,
[00:01:57.000 --> 00:01:59.000]  我們彼此的勉勵,
[00:01:59.000 --> 00:02:05.000]  丁姐妹豈能指示一般性的社福士工呢?
[00:02:05.000 --> 00:02:07.000]  剛才在敬拜的時候,
[00:02:07.000 --> 00:02:10.000]  我們看到神何等的榮耀,
[00:02:10.000 --> 00:02:12.000]  祂的指頭造天地,
[00:02:12.000 --> 00:02:14.000]  我們的人很渺小,
[00:02:14.000 --> 00:02:16.000]  但是神康顧我們,
[00:02:16.000 --> 00:02:19.000]  讓我們能夠去知道,
[00:02:19.000 --> 00:02:22.000]  我們在祂的面前是尊貴的。
[00:02:22.000 --> 00:02:24.000]  當我們唱Hallelujah的時候,
[00:02:24.000 --> 00:02:29.000]  我們看見神是閱讀我們同心的敬拜,
[00:02:29.000 --> 00:02:34.000]  我們跟著基督的福音去廣傳福音。
[00:02:34.000 --> 00:02:36.000]  我們很盼望,
[00:02:36.000 --> 00:02:38.000]  從拜到這一刻的時候,
[00:02:38.000 --> 00:02:42.000]  大家可以眼光再闊一點,
[00:02:42.000 --> 00:02:46.000]  但是我們的內心有更深的深度,
[00:02:46.000 --> 00:02:49.000]  就是我們不是舉行社關主日,
[00:02:49.000 --> 00:02:52.000]  只是做一般的社福士工。
[00:02:52.000 --> 00:02:57.000]  我們很盼望能夠看見神對教會,
[00:02:57.000 --> 00:02:59.000]  祂怎樣使用我們,
[00:02:59.000 --> 00:03:00.000]  差遣我們。
[00:03:00.000 --> 00:03:06.000]  沒錯,我們社關的士工是給一杯涼水,
[00:03:06.000 --> 00:03:08.000]  陪伴那些被囚的人,
[00:03:08.000 --> 00:03:11.000]  或者我們說很困難綁著,
[00:03:11.000 --> 00:03:14.000]  被抑鬱症綁著,
[00:03:14.000 --> 00:03:16.000]  或者我們被很多東西綁著,
[00:03:16.000 --> 00:03:18.000]  被家庭的纏累著,
[00:03:18.000 --> 00:03:20.000]  那些好像被囚的人一樣,
[00:03:20.000 --> 00:03:23.000]  但是我們去關心他們的時候,
[00:03:23.000 --> 00:03:26.000]  我們更加要進一步,
[00:03:26.000 --> 00:03:28.000]  來做神要我們做的事。
[00:03:28.000 --> 00:03:32.000]  今天我們選擇《馬可福音》這段經文,
