
[00:00:00.000 --> 00:00:03.000]  字幕由Amara.org社区提供
[00:00:30.000 --> 00:00:32.000]  市面變成一罩難求
[00:00:32.000 --> 00:00:35.000]  而有些商戶又乘機坐地起價
[00:00:35.000 --> 00:00:38.000]  隨著時間,疫情不但在香港
[00:00:38.000 --> 00:00:42.000]  亦漸漸出現在全球多個國家
[00:00:42.000 --> 00:00:44.000]  疫情傳播的途徑
[00:00:44.000 --> 00:00:48.000]  又令很多專家費盡心思去尋找
[00:00:48.000 --> 00:00:51.000]  雖然每一個人都希望疫情快點過去
[00:00:51.000 --> 00:00:56.000]  但無人能夠預測到疫情究竟何時會停
[00:00:56.000 --> 00:01:00.000]  你會否體會到人的渺小和無力呢?
[00:01:00.000 --> 00:01:03.000]  出埃及記三十三章十九節
[00:01:03.000 --> 00:01:04.000]  經文這樣說
[00:01:04.000 --> 00:01:08.000]  耶和華說:我要顯示我一切的美善
[00:01:08.000 --> 00:01:10.000]  在你面前經過
[00:01:10.000 --> 00:01:13.000]  並要在你面前宣告耶和華的名
[00:01:13.000 --> 00:01:15.000]  我要恩待誰就恩待誰
[00:01:15.000 --> 00:01:18.000]  要憐憫誰就憐憫誰
[00:01:18.000 --> 00:01:20.000]  經文不單止告訴我們
[00:01:20.000 --> 00:01:22.000]  上帝沒有恩典和憐憫
[00:01:22.000 --> 00:01:23.000]  更提醒我們
[00:01:23.000 --> 00:01:26.000]  上帝要恩待誰就恩待誰
[00:01:26.000 --> 00:01:29.000]  這完全是按照上帝自己的心意
[00:01:29.000 --> 00:01:33.000]  我們對上帝的認識實在是很少很少
[00:01:33.000 --> 00:01:36.000]  更不要妄想我們要操控上帝
[00:01:36.000 --> 00:01:38.000]  經文提醒我們
[00:01:38.000 --> 00:01:42.000]  上帝的道路是沒有恩典和憐憫的道路
[00:01:42.000 --> 00:01:45.000]  但是隨著上帝自己的心願
[00:01:45.000 --> 00:01:47.000]  來施予恩典和憐憫
[00:01:47.000 --> 00:01:49.000]  而不是按照我們的心願
[00:01:49.000 --> 00:01:52.000]  但我們要深信上帝是恩待和憐憫人
[00:01:52.000 --> 00:01:55.000]  祂會帶著我們前行
[00:01:55.000 --> 00:01:59.000]  我們只需要以感恩的心來跟隨祂就可以了
