
[00:00:00.000 --> 00:00:02.360]  今日同大家講嘅題目《宅路未曾》
[00:00:02.360 --> 00:00:05.480]  我相信你知我想講嘅邊套戲係咪
[00:00:05.480 --> 00:00:08.080]  咁呢我今日揀選嘅經文呢就只同人轉
[00:00:08.080 --> 00:00:10.440]  咦原來咁難睇喎其實係咪好細隻字
[00:00:10.440 --> 00:00:13.200]  二章四十三節去到三章十二節
[00:00:13.200 --> 00:00:15.600]  咁就係一個段落
[00:00:15.600 --> 00:00:17.760]  對其他人嚟講可能呢個呢唔係一個段落
[00:00:17.760 --> 00:00:19.000]  應該係兩個段落嚟㗎喎
[00:00:19.000 --> 00:00:21.720]  一個呢係關於佢哋繁物公用呀
[00:00:21.720 --> 00:00:23.080]  好多人信耶穌呀
[00:00:23.080 --> 00:00:25.640]  上帝得過人數天天加珍畀佢哋呀
[00:00:25.640 --> 00:00:27.400]  第二個段落呢就關於呢
[00:00:27.400 --> 00:00:31.280]  畢得、約翰呀佢哋喺聖殿門口呢
[00:00:31.280 --> 00:00:34.720]  就係叫一個腿嘅人起嚟
[00:00:34.720 --> 00:00:36.640]  金和銀呢我都冇喇
[00:00:36.640 --> 00:00:39.840]  我只可以奉主嘅名叫你起嚟行走㗎啫咁樣
[00:00:39.840 --> 00:00:44.000]  咁我就將佢呢放埋係今日同大家分享嘅訊息
[00:00:44.000 --> 00:00:47.560]  今日會可能就好似今日個powerpoint一樣
[00:00:47.560 --> 00:00:49.920]  powerpoint好unique㗎靚唔靚呀
[00:00:49.920 --> 00:00:52.320]  ok俾啲反應呀ok今日要多啲反應
[00:00:52.320 --> 00:00:55.080]  如果唔係你會好快黑眼瞓呀ok
[00:00:55.080 --> 00:00:59.480]  用AI做㗎係啦嘩幾先進係咪ok
[00:00:59.480 --> 00:01:01.480]  canva可以㗎啦ok
[00:01:01.480 --> 00:01:05.320]  咁你有免費嘅canva就可以用AI做㗎喇係
[00:01:05.320 --> 00:01:07.560]  好咁呀考下大家眼力
[00:01:07.560 --> 00:01:14.720]  呢個色咁就睇下究竟睇唔睇到啲字喇
[00:01:14.720 --> 00:01:17.160]  嘩ok
[00:01:17.160 --> 00:01:19.760]  喇靚
[00:01:19.760 --> 00:01:21.200]  靚呢就靚
[00:01:21.200 --> 00:01:22.600]  睇呢就難睇㗎
[00:01:22.600 --> 00:01:24.240]  可唔可以個reverb細啲呀ok
[00:01:24.240 --> 00:01:27.000]  我覺得我好似去咗演唱會咁ok
[00:01:27.000 --> 00:01:29.880]  眾人都心存敬畏
[00:01:29.880 --> 00:01:32.920]  使徒們又行咗許多歧視神蹟
[00:01:32.920 --> 00:01:35.960]  信嘅人都聚在一處繁物共融
[00:01:35.960 --> 00:01:38.280]  又賣咗田產又賣咗家業
[00:01:38.280 --> 00:01:40.840]  照每一個人所需要嘅分畀佢哋
[00:01:40.840 --> 00:01:45.280]  佢哋天天都同心合意地喺聖殿裏面敬拜
[00:01:45.280 --> 00:01:47.040]  且在家中抹餅
[00:01:47.040 --> 00:01:51.120]  存著歡喜嘅坦誠嘅心用飯讚美神
[00:01:51.120 --> 00:01:53.240]  得全體百姓嘅喜愛
[00:01:53.240 --> 00:01:56.320]  主張得救嘅人數天天加畀佢哋
[00:01:56.320 --> 00:01:57.560]  聽過喇可
[00:01:57.560 --> 00:02:00.520]  係有啲印象我再讀多次等你有少少
[00:02:00.520 --> 00:02:02.880]  記得陣間會講啲咩啫
[00:02:02.880 --> 00:02:06.040]  下晝三點鐘禱告嘅時候
[00:02:06.040 --> 00:02:09.440]  佢哋呢以色列人呢就有兩個時段祈禱
