
[00:00:00.000 --> 00:00:03.400]  首先想問大家一個問題
[00:00:03.400 --> 00:00:07.680]  你對神的信心有多大呢?
[00:00:07.680 --> 00:00:10.200]  有多大?
[00:00:10.200 --> 00:00:12.120]  很難回答吧?
[00:00:12.120 --> 00:00:14.520]  因為我們不知道用甚麼去衡量
[00:00:14.520 --> 00:00:16.720]  用甚麼去準繩
[00:00:16.720 --> 00:00:18.080]  究竟有多大呢?
[00:00:18.080 --> 00:00:21.520]  是一個數量 是一個面積
[00:00:21.520 --> 00:00:25.440]  信心有多大呢?
[00:00:25.440 --> 00:00:27.200]  我自己有時也會想問自己
[00:00:27.200 --> 00:00:29.680]  究竟我對神的信心有多大
[00:00:29.680 --> 00:00:32.680]  有時我也覺得不錯
[00:00:32.680 --> 00:00:37.360]  因為小時候有個經歷
[00:00:37.360 --> 00:00:39.880]  讓我知道這位神是很真實
[00:00:39.880 --> 00:00:41.440]  是很可信
[00:00:41.440 --> 00:00:47.240]  隨時隨在都會幫助和看顧我
[00:00:47.240 --> 00:00:49.800]  記得在八九歲的時候
[00:00:49.800 --> 00:00:53.840]  我家裏發生一個小的意外
[00:00:53.840 --> 00:00:56.040]  我家裏有一個閣樓
[00:00:56.040 --> 00:00:59.080]  大概八九呎高
[00:00:59.080 --> 00:01:04.920]  我小時候很喜歡在閣樓的入口位置
[00:01:04.920 --> 00:01:06.720]  躺在那個位置
[00:01:06.720 --> 00:01:09.080]  躺在那個位置之後
[00:01:09.080 --> 00:01:13.440]  就看斜望下面的電視機
[00:01:13.440 --> 00:01:15.520]  這樣看電視是很好看的
[00:01:15.520 --> 00:01:16.480]  很舒服的
[00:01:16.480 --> 00:01:18.160]  邊睡邊看
[00:01:18.160 --> 00:01:23.200]  但那次睡著了
[00:01:23.200 --> 00:01:26.040]  原來整個人從上面跌下來
[00:01:26.040 --> 00:01:29.360]  跌下來的時候我還是朦朦朧朧的
[00:01:29.360 --> 00:01:30.560]  好像做夢一樣
[00:01:30.560 --> 00:01:33.000]  我一下到地上的時候就醒了
[00:01:33.000 --> 00:01:33.720]  知道了
[00:01:33.720 --> 00:01:37.640]  但我感覺好像有個人把我抱在地上
[00:01:37.640 --> 00:01:40.440]  輕輕放下的情況
[00:01:40.440 --> 00:01:43.720]  完全一些受傷或者痛
[00:01:43.720 --> 00:01:46.160]  都沒有一種感覺
[00:01:46.160 --> 00:01:48.360]  我醒了之後
[00:01:48.360 --> 00:01:50.200]  我都知道自己跌下來了
[00:01:50.200 --> 00:01:52.400]  一定不是自己慢慢走下來的
[00:01:52.400 --> 00:01:56.320]  但我馬上就去廚房找我媽媽
[00:01:56.320 --> 00:01:57.400]  跟我媽媽說
