
[00:00:00.000 --> 00:00:04.000]  請姐妹們平安,我們一齊祈禱
[00:00:04.000 --> 00:00:12.000]  我們感謝妳自己的恩典,賜給我們有祝妳的清神,可以在這裡聚集見拜祿
[00:00:12.000 --> 00:00:19.000]  我們求聖靈幫助我們,開啟我們心靈的眼睛,看到屬靈的事物
[00:00:19.000 --> 00:00:22.000]  奉耶穌基督的名祈禱,阿們
[00:00:24.000 --> 00:00:32.000]  我們在五到七月的時候已經看了一些哥倫多教學,看了一至四章
[00:00:32.000 --> 00:00:40.000]  不過隔了一段時間,讓我稍微重溫一下這本書的背景
[00:00:40.000 --> 00:00:49.000]  哥倫多教會是保留在第二次宣教旅途中建立的一間教會
[00:00:49.000 --> 00:00:55.000]  他曾經在那裏工作了差不多有一年半的時間
[00:00:55.000 --> 00:01:04.000]  但是當保羅離開之後,我們可以想像得到一間新建立,沒有多久的教會
[00:01:04.000 --> 00:01:09.000]  然後又沒有甚麼受過訓練的牧者在那裏帶領
[00:01:09.000 --> 00:01:14.000]  就很容易會產生不同的問題
[00:01:14.000 --> 00:01:17.000]  包括聖經的解釋和應用
[00:01:17.000 --> 00:01:20.000]  教會崇拜的程序
[00:01:20.000 --> 00:01:23.000]  聖靈的恩賜
[00:01:23.000 --> 00:01:27.000]  甚至是道德的問題應該怎樣處理
[00:01:27.000 --> 00:01:31.000]  或者教會的紀律問題應該怎樣處理
[00:01:31.000 --> 00:01:40.000]  在哥倫多前書,保羅回答了很多這類在哥倫多教會出現的問題
[00:01:40.000 --> 00:01:43.000]  但是哥倫多後書就有點不同
[00:01:43.000 --> 00:01:52.000]  這本書的主要背景是由於有些信奉猶太教的信徒到哥倫多
[00:01:52.000 --> 00:01:56.000]  他們在教會裏面批評保羅
[00:01:56.000 --> 00:02:02.000]  甚至質疑保羅的使徒的身份
[00:02:02.000 --> 00:02:06.000]  所以保羅就寫了這封信
[00:02:06.000 --> 00:02:09.000]  向哥倫多教會的信徒解釋一番
[00:02:09.000 --> 00:02:15.000]  當然在未寫這封信之前他曾經派過他的學生門徒
[00:02:15.000 --> 00:02:20.000]  提多、提摩太去那裏幫助教會
[00:02:20.000 --> 00:02:26.000]  或者很多弟兄姊妹都知道保羅在未信主之前
[00:02:26.000 --> 00:02:30.000]  是一位非常熱心的猶太教徒
[00:02:30.000 --> 00:02:34.000]  他曾經向大祭司拿到授權
[00:02:34.000 --> 00:02:42.000]  要去不同的地方抓信耶穌基督徒回到耶路撒冷受懲罰
[00:02:42.000 --> 00:02:47.000]  但是當主耶穌呼召了保羅之後
[00:02:47.000 --> 00:02:50.000]  他整個人都變了
[00:02:50.000 --> 00:02:53.000]  他好像完全是一個不同的人
[00:02:53.000 --> 00:02:55.000]  他成為了一個新人
[00:02:55.000 --> 00:02:58.000]  他有了新的眼界
[00:02:58.000 --> 00:03:04.000]  他就不再做以前所做的事,而是做新的事
[00:03:04.000 --> 00:03:09.000]  成為了一位海外宣教士
[00:03:09.000 --> 00:03:12.000]  在今天這一段經文裏面
[00:03:12.000 --> 00:03:15.000]  出現最多的一個詞
[00:03:15.000 --> 00:03:19.000]  我發覺就是第一身眾數代名詞
[00:03:19.000 --> 00:03:21.000]  「我們」
