
[00:00:00.000 --> 00:00:04.000]  在聖誕前夕,我選擇了一段經文
[00:00:04.000 --> 00:00:09.000]  《路加福音》一章26至38節
[00:00:09.000 --> 00:00:12.000]  來和大家分享
[00:00:12.000 --> 00:00:15.000]  經文的主題,或者今天的講題是
[00:00:15.000 --> 00:00:20.000]  「是窮途末路,還是心恩連連」
[00:00:20.000 --> 00:00:25.000]  我想在今天這個香港時間
[00:00:25.000 --> 00:00:28.000]  無論是年青人,或者年紀大的
[00:00:28.000 --> 00:00:31.000]  都要面對很多不同的挑戰和問題
[00:00:31.000 --> 00:00:40.000]  有些人會覺得很無奈,很沒有盼望
[00:00:40.000 --> 00:00:44.000]  有些人在生活裏面每日忙碌
[00:00:44.000 --> 00:00:47.000]  為自己的前途打滾
[00:00:47.000 --> 00:00:52.000]  但我們信主的人,究竟怎樣去過我們的生活
[00:00:52.000 --> 00:00:58.000]  怎樣在這個聖誕前夕迎接我們的主耶穌
[00:00:58.000 --> 00:01:03.000]  所以想在今天的經文裏面和大家分享
[00:01:03.000 --> 00:01:07.000]  亦都希望大家能夠好好記住
[00:01:07.000 --> 00:01:10.000]  短短的一段經文
[00:01:10.000 --> 00:01:14.000]  今天的主角是瑪利亞
[00:01:14.000 --> 00:01:18.000]  在《路加福音》裏面
[00:01:18.000 --> 00:01:23.000]  我們似乎都很歡喜快樂,主誕生了
[00:01:23.000 --> 00:01:27.000]  但對於瑪利亞來說,究竟主耶穌的誕生
[00:01:27.000 --> 00:01:30.000]  是否一件這麼歡喜快樂的事呢?
[00:01:30.000 --> 00:01:33.000]  在經文28、29節裏面說
[00:01:33.000 --> 00:01:41.000]  「天使進去,對她說:蒙大恩的女子,我問你安,主和你同在了」
[00:01:41.000 --> 00:01:44.000]  瑪利亞聽到這句說話
[00:01:44.000 --> 00:01:49.000]  並不是像我們這樣,太好了,主和我同在
[00:01:49.000 --> 00:01:54.000]  而是瑪利亞因為這句說話就很驚慌
[00:01:54.000 --> 00:01:56.000]  為甚麼驚慌呢?
[00:01:56.000 --> 00:02:00.000]  主和你同在不是很得無比嗎?
[00:02:00.000 --> 00:02:03.000]  不過如果你翻查新約
[00:02:03.000 --> 00:02:09.000]  有多少人聽過,又或者親自聽上帝跟他說過
[00:02:09.000 --> 00:02:11.000]  主和你同在呢?
[00:02:11.000 --> 00:02:14.000]  原來我看是只有兩個
[00:02:14.000 --> 00:02:22.000]  一個就是瑪利亞,一個就是保羅他自己
[00:02:22.000 --> 00:02:27.000]  而在新約裏面,除了新約之外
[00:02:27.000 --> 00:02:32.000]  在舊約,主和你同在只是出現過六次
[00:02:32.000 --> 00:02:37.000]  其中三次都是跟大衛王說的
[00:02:37.000 --> 00:02:44.000]  其餘那些都是跟先知說出這個說話
[00:02:44.000 --> 00:02:50.000]  主和你同在是跟以色列的祖先
[00:02:50.000 --> 00:02:55.000]  以色列的君王,以色列的先知說的
[00:02:55.000 --> 00:03:01.000]  當瑪利亞從小到大聽到貝頌這些經文的時候
[00:03:01.000 --> 00:03:07.000]  今日竟然天使親自跟他說主和我同在
[00:03:07.000 --> 00:03:11.000]  我又不是君王,也不是屬於祖先
[00:03:11.000 --> 00:03:14.000]  我只是一個卑微的少女
[00:03:14.000 --> 00:03:19.000]  我怎可以承受這番說話呢?
[00:03:19.000 --> 00:03:24.000]  所以當瑪利亞聽到的時候,她很震驚
[00:03:24.000 --> 00:03:28.000]  因為她知道天使說完這句說話之後
[00:03:28.000 --> 00:03:35.000]  應該將有很重要的事情臨到她身上
[00:03:35.000 --> 00:03:40.000]  事情的發展的確真是一件很重大
[00:03:40.000 --> 00:03:42.000]  驚天地泣鬼神的事
[00:03:42.000 --> 00:03:45.000]  亦都是從來未發生過的事
[00:03:45.000 --> 00:03:48.000]  他們的文化不可以接納的事
[00:03:48.000 --> 00:03:50.000]  就是三十一節那裏說
[00:03:50.000 --> 00:03:54.000]  你要懷孕生子
[00:03:54.000 --> 00:03:56.000]  瑪利亞就對天使說
[00:03:56.000 --> 00:04:02.000]  我沒有出嫁,怎可能有這件事呢?
[00:04:02.000 --> 00:04:05.000]  懷孕生子其實是一件很開心的事
[00:04:05.000 --> 00:04:11.000]  但今日如果你的女兒突然跟你說
[00:04:11.000 --> 00:04:14.000]  媽媽,我有了
[00:04:14.000 --> 00:04:19.000]  而你的女兒只是十多二十歲,未結婚
[00:04:19.000 --> 00:04:22.000]  她還跟你說
