
[00:00:00.000 --> 00:00:03.580]  菩薩姐妹讓我聽神道的預先揚眉先同心禱告
[00:00:03.580 --> 00:00:08.100]  因此我們聽到之前先同心禱告
[00:00:08.100 --> 00:00:12.060]  慈悲的天父 多謝祢讓我們能夠再次回到祢的說話面前
[00:00:12.060 --> 00:00:14.560]  一同去細心研讀
[00:00:14.560 --> 00:00:17.860]  求天父 祢給我們一個聆聽主導的心
[00:00:17.860 --> 00:00:23.340]  好想我們都能夠將聽盡的道理化諸於行動
[00:00:23.340 --> 00:00:26.160]  成為我們生命的一部份
[00:00:26.160 --> 00:00:30.500]  並且讓我們心意更深 更長遠處理
[00:00:30.500 --> 00:00:32.360]  懇求祢幫助我們
[00:00:32.360 --> 00:00:35.760]  我們親愛的天父 感謝祢給我們再次有這個機會
[00:00:35.760 --> 00:00:39.520]  能夠打開祢的說話 來到讀祢的話語
[00:00:39.520 --> 00:00:43.600]  能夠來到使我們有更新變化的機會
[00:00:43.600 --> 00:00:47.540]  我們再次懇求祢 幫助我們透過心靈
[00:00:47.540 --> 00:00:50.100]  使我們能夠把聽盡的道理
[00:00:50.100 --> 00:00:54.560]  又能夠真真實實 絕實地在我們生命當中
[00:00:54.560 --> 00:00:56.600]  能夠付諸實現
[00:00:56.600 --> 00:00:59.500]  我們禱告 封主耶穌的名臣
[00:00:59.500 --> 00:01:01.500]  Amen
[00:01:24.560 --> 00:01:30.020]  希望大家能夠更深刻體會和認識
[00:01:30.020 --> 00:01:31.940]  經文是詳細十六章的十六節
[00:01:31.940 --> 00:01:35.040]  我們先會看第十六節至十四節的一部份
[00:01:35.040 --> 00:01:38.440]  我們先看十六章的十六節至二十四節的一部份
[00:01:38.440 --> 00:01:41.500]  在回到這段經文之前
[00:01:41.500 --> 00:01:43.340]  在回到這段經文之前
[00:01:43.340 --> 00:01:49.440]  最近我不斷地在思想人生的一個體會
[00:01:49.440 --> 00:01:53.180]  我最近一直在思考人生的一個體會
[00:01:53.180 --> 00:01:58.380]  就是做也死 不做也死
[00:01:58.380 --> 00:02:00.800]  做也死 不做也死
[00:02:00.800 --> 00:02:03.660]  無論是在工作的場合裏面
[00:02:03.660 --> 00:02:05.420]  無論是在工作的場合裏面
[00:02:05.420 --> 00:02:08.980]  或者是在平日的生活 一些細節的生活當中
[00:02:08.980 --> 00:02:11.340]  還是在平常的日常生活當中
[00:02:11.340 --> 00:02:13.680]  甚至尤其是我們做基督徒
[00:02:13.680 --> 00:02:15.280]  特別是我們作為基督徒
[00:02:15.280 --> 00:02:19.060]  當我們要秉持聖經的真理而行的時候
[00:02:19.060 --> 00:02:22.140]  當我們要秉持聖經的真理而行的時候
[00:02:22.140 --> 00:02:24.260]  我們就經常遇見這個情況
[00:02:24.260 --> 00:02:26.240]  我們經常遇見這樣的情況
[00:02:26.240 --> 00:02:30.520]  特別是當我們對一些事情有很透徹的動識
[00:02:30.520 --> 00:02:33.180]  特別是當我們對一些事情有很透徹的動識
[00:02:33.180 --> 00:02:37.180]  明知做一些事情的結果會是這樣
[00:02:37.180 --> 00:02:39.780]  明知做一些事情的結果會是這樣
[00:02:39.780 --> 00:02:42.260]  但是如果我們不去做好它
[00:02:42.260 --> 00:02:43.900]  如果我們不好做好它
[00:02:43.900 --> 00:02:45.620]  我們又會失職
[00:02:45.620 --> 00:02:46.920]  我們會失職
[00:02:46.920 --> 00:02:48.820]  但是如果我們做
[00:02:48.820 --> 00:02:50.140]  如果我們認真去做
[00:02:50.140 --> 00:02:52.700]  又有一些人去批評我們做的時候
[00:02:52.700 --> 00:02:54.100]  阻礙著他們
[00:02:54.100 --> 00:02:55.580]  影響到他們的利益
[00:02:55.580 --> 00:03:00.660]  我們會阻止他們影響他們的利益
[00:03:00.660 --> 00:03:04.340]  於是我們就落在一種矛盾的局面
