
[00:00:00.000 --> 00:00:02.720]  我們剛才所讀的經文當中提到
[00:00:02.720 --> 00:00:05.360]  我們怎樣討神喜月去侍奉呢
[00:00:05.360 --> 00:00:09.680]  我們就會繼續從希伯來書去看
[00:00:09.680 --> 00:00:11.880]  今天是最後一個講題
[00:00:11.880 --> 00:00:13.120]  是希伯來書
[00:00:13.120 --> 00:00:14.680]  我們從這個講題當中
[00:00:14.680 --> 00:00:17.360]  從一月開始講到現在
[00:00:17.360 --> 00:00:18.200]  第十二課
[00:00:18.200 --> 00:00:19.800]  我希望藉著今天的經文
[00:00:19.800 --> 00:00:21.320]  可以成為大家的鼓勵
[00:00:21.320 --> 00:00:24.200]  我們希伯來書一直帶出的訊息
[00:00:24.200 --> 00:00:26.600]  都是有一個警告在當中
[00:00:26.600 --> 00:00:30.520]  當中夾含了五個警告
[00:00:30.520 --> 00:00:31.400]  是關於福音
[00:00:31.400 --> 00:00:32.640]  我們怎樣去面對福音
[00:00:32.640 --> 00:00:37.720]  因為當時的猶太人的基督徒
[00:00:37.720 --> 00:00:39.840]  他們是受到很大的掙扎
[00:00:39.840 --> 00:00:42.240]  因為他們是被逼迫
[00:00:42.240 --> 00:00:45.680]  他們的生活跟隨基督是不容易的事
[00:00:45.680 --> 00:00:51.920]  他們會有掙扎是否會回到以前的猶太教
[00:00:51.920 --> 00:00:55.800]  他對福音的真諦的堅持
[00:00:55.800 --> 00:00:57.280]  作者是提醒他們
[00:00:57.280 --> 00:00:59.480]  一定要堅持福音的真諦
[00:00:59.480 --> 00:01:01.640]  究竟福音是甚麼
[00:01:01.640 --> 00:01:04.800]  很多時候我們去探訪的時候
[00:01:04.800 --> 00:01:06.880]  就算我們當中的基督徒都說
[00:01:06.880 --> 00:01:09.160]  福音不是福音是好消息
[00:01:09.160 --> 00:01:10.360]  那即是甚麼
[00:01:10.360 --> 00:01:13.720]  即是你怎樣傳福音時是傳甚麼
[00:01:13.720 --> 00:01:15.640]  我們傳福音時是傳
[00:01:15.640 --> 00:01:17.680]  我們要認定神
[00:01:17.680 --> 00:01:20.240]  我們父神預備了一份很好的禮物給我們
[00:01:20.240 --> 00:01:22.760]  但因為罪的緣故我們拿不到
[00:01:22.760 --> 00:01:25.320]  我們只有藉著諸耶穌基督
[00:01:25.320 --> 00:01:28.400]  這條道路唯一的方法唯一的真神
[00:01:28.400 --> 00:01:30.080]  我們能夠拿到這份禮物
[00:01:30.080 --> 00:01:31.440]  所以我們要做出一個選擇
[00:01:31.440 --> 00:01:32.880]  當時這幫猶太人
[00:01:32.880 --> 00:01:34.720]  猶太人就做了一個選擇
