
[00:00:00.000 --> 00:00:02.000]  好 各位姐妹平安
[00:00:02.000 --> 00:00:07.660]  要在一個不太平安的世代裡面說平安
[00:00:07.660 --> 00:00:10.520]  其實真的不是一件容易的事情
[00:00:10.520 --> 00:00:13.320]  不曉得你有沒有這種的感受
[00:00:13.320 --> 00:00:15.700]  當我們看到周遭的環境的時候
[00:00:15.700 --> 00:00:18.200]  你很難心裡面有平安
[00:00:18.200 --> 00:00:19.400]  不過我告訴你
[00:00:19.400 --> 00:00:21.860]  如果你是看環境的話呢
[00:00:21.860 --> 00:00:24.200]  你很難會有真正的平安
[00:00:24.200 --> 00:00:27.260]  我記得曾經在一次講到的時候
[00:00:27.260 --> 00:00:29.260]  我舉過一個例子
[00:00:29.260 --> 00:00:31.700]  講過有一個的畫家
[00:00:31.700 --> 00:00:37.500]  他畫了兩幅的畫來表達什麼是平安
[00:00:37.500 --> 00:00:41.900]  第一幅他是畫了一個很安詳的畫面
[00:00:41.900 --> 00:00:43.160]  風平浪靜的
[00:00:43.160 --> 00:00:44.900]  然後有花有小鳥
[00:00:44.900 --> 00:00:46.860]  然後還有山有水
[00:00:46.860 --> 00:00:48.060]  都是很平靜的
[00:00:48.060 --> 00:00:49.400]  他想表達平安
[00:00:49.400 --> 00:00:52.900]  那另一幅的畫是很大的對比
[00:00:52.900 --> 00:00:54.960]  那個是暴風雨的場面
[00:00:54.960 --> 00:00:58.000]  但是在暴風雨下面有一棵樹
[00:00:58.000 --> 00:00:59.920]  樹上有一個鳥巢
[00:00:59.920 --> 00:01:03.300]  鳥巢裡面有一隻鳥
[00:01:03.300 --> 00:01:06.900]  一隻鳥下面還有一個小小的小鳥
[00:01:06.900 --> 00:01:10.400]  那這個暴風雨的畫面裡面
[00:01:10.400 --> 00:01:11.860]  這個小小的小鳥
[00:01:11.860 --> 00:01:14.200]  就在那個大鳥的翅膀底下
[00:01:14.200 --> 00:01:16.760]  他很安寧的睡著了
[00:01:16.760 --> 00:01:20.100]  那你覺得哪一個才是真正的平安的畫面呢
[00:01:20.100 --> 00:01:24.200]  前面的那個還是後面的那個
[00:01:28.120 --> 00:01:33.000]  其實真正的平安不是看外在的環境
[00:01:33.000 --> 00:01:36.600]  外在的環境你看也許會狂風暴雨
[00:01:36.600 --> 00:01:40.600]  但是真正的平安是出自於你的內心
[00:01:40.600 --> 00:01:44.800]  所以盼望我們在座的每位弟兄姐妹
[00:01:44.800 --> 00:01:47.820]  我們在組裡面我們會有真正的平安
[00:01:47.820 --> 00:01:51.200]  當我們定精在組身上的時候
[00:01:51.200 --> 00:01:53.920]  我們就會享受得到
[00:01:53.920 --> 00:01:57.460]  也能很真切的體會到那份的平安
[00:01:57.460 --> 00:02:00.600]  那今天要跟大家去分享一個題目叫做
[00:02:00.600 --> 00:02:03.400]  做光明之子
[00:02:03.400 --> 00:02:07.700]  我們每一個基督徒都是光明之子
[00:02:07.700 --> 00:02:09.700]  因為耶穌基督拯救我們
[00:02:09.700 --> 00:02:12.600]  讓我們能夠出黑暗入光明
[00:02:12.600 --> 00:02:15.000]  把我們從黑暗裡面拯救出來
[00:02:15.000 --> 00:02:17.500]  現在我們是在光明裡面
[00:02:17.500 --> 00:02:19.300]  當我們定精在耶穌身上
[00:02:19.300 --> 00:02:21.360]  當我們在光明裡面的時候
[00:02:21.360 --> 00:02:26.960]  我們會更能感受得到那份的平安
[00:02:26.960 --> 00:02:30.520]  我們先來看一下今天的經文
[00:02:30.520 --> 00:02:35.460]  在以夫所書
[00:02:35.460 --> 00:02:38.200]  五章的六到十四節
[00:02:38.200 --> 00:02:40.900]  我們先來一起念一下這段的經文
[00:02:40.900 --> 00:02:42.760]  一二起
[00:02:42.760 --> 00:02:46.160]  不要被人虛浮的話欺哄
[00:02:46.160 --> 00:02:51.760]  因這些事神的憤怒必臨到那悖逆之子
[00:02:51.760 --> 00:02:55.100]  所以你們不要與他們同夥
[00:02:55.100 --> 00:02:57.800]  從前你們是暗昧的
[00:02:57.800 --> 00:03:01.360]  但如今在主裡面是光明的
[00:03:01.360 --> 00:03:05.460]  行事為人就當像光明的子女
[00:03:05.460 --> 00:03:07.760]  光明所結的果汁
[00:03:07.760 --> 00:03:11.760]  就是一切良善公益誠實
[00:03:11.760 --> 00:03:16.220]  總要察驗何為主所喜悅的事
[00:03:16.220 --> 00:03:18.920]  那暗昧無益的事
[00:03:18.920 --> 00:03:20.760]  不要與人同行
[00:03:20.760 --> 00:03:23.720]  倒要責備行這事的人
[00:03:23.720 --> 00:03:26.660]  因為他們暗中所行的
