
[00:00:00.000 --> 00:00:04.860]  好 今天的題目是"去舊迎新"
[00:00:04.860 --> 00:00:11.400]  這句話當然在新年的時候相信大家聽得最多
[00:00:11.400 --> 00:00:14.080]  新曆新年剛剛過了
[00:00:14.080 --> 00:00:18.720]  農曆新年就要來了 大家知不知道?
[00:00:18.720 --> 00:00:21.400]  大家很安靜
[00:00:21.400 --> 00:00:24.580]  昨天梁牧師坐在那裏問我
[00:00:24.580 --> 00:00:27.840]  他說:是嗎?何時是農曆新年?
[00:00:27.840 --> 00:00:34.200]  大家好像不知不覺新的一年農曆新年又來到了
[00:00:34.200 --> 00:00:38.660]  原來不夠兩星期就是農曆新年了
[00:00:38.660 --> 00:00:44.620]  可能很多人過年都會想將一些舊的東西丟掉
[00:00:44.620 --> 00:00:47.440]  換一些新的東西
[00:00:47.440 --> 00:00:49.600]  不過在疫情之下
[00:00:49.600 --> 00:00:54.120]  我想大家出去辦年貨的心情都不同了
[00:00:54.120 --> 00:00:57.600]  去舊迎新的心情都不同了
[00:00:57.600 --> 00:01:03.160]  所以那些熱鬧的氣氛似乎今年就不太能看到了
[00:01:03.160 --> 00:01:06.040]  不過無論怎樣
[00:01:06.040 --> 00:01:09.660]  原來有些東西舊了我們都是想換的
[00:01:09.660 --> 00:01:11.280]  爲什麼想換呢?
[00:01:11.280 --> 00:01:16.880]  因爲它舊了 爛了 壞了
[00:01:16.880 --> 00:01:21.540]  或者過時了 我不喜歡了
[00:01:21.540 --> 00:01:25.720]  但是這些被我們將會丟掉的東西
[00:01:25.720 --> 00:01:29.100]  其實都曾經被我們重視過的
[00:01:29.100 --> 00:01:33.840]  你都曾經很喜歡過它 很重用它
[00:01:33.840 --> 00:01:40.360]  最近香港的電視廣播就全面數碼化了
[00:01:40.360 --> 00:01:48.300]  不過大家還記不記得這些俗稱大牛龜的電視機呢?
[00:01:48.300 --> 00:01:51.240]  我還記得十幾年前
[00:01:51.240 --> 00:01:57.800]  當時剛剛很多人就開始幻想這個薄身的電視
[00:01:57.800 --> 00:02:02.280]  當然這是2020年的模特
[00:02:02.280 --> 00:02:06.880]  但是當時有一次 卡卡執事就去我家探望我
[00:02:06.880 --> 00:02:08.920]  當時我家很小的
[00:02:08.920 --> 00:02:10.920]  她一進屋就笑了
[00:02:10.920 --> 00:02:15.720]  你家這麼小 放一部大牛龜電視在這裏做什麼呀?
[00:02:15.720 --> 00:02:19.440]  沒有地方 阻礙着地方
[00:02:19.440 --> 00:02:21.120]  我就回答她
[00:02:21.120 --> 00:02:24.920]  Sony 電視是好東西
[00:02:24.920 --> 00:02:27.800]  好東西不捨得丟掉
[00:02:27.800 --> 00:02:31.600]  然後我又想起電腦
[00:02:31.600 --> 00:02:36.900]  不知道大家有多少人用過這種類型的IBM PC?
[00:02:36.900 --> 00:02:38.400]  在場的有沒有?
[00:02:38.400 --> 00:02:40.920]  有的舉手來看看 都有
[00:02:40.920 --> 00:02:44.560]  昨天一堆手舉起 我們的同工
[00:02:44.560 --> 00:02:47.240]  昨天多些同工坐在這裏
[00:02:47.240 --> 00:02:49.360]  我都挺驚訝的
[00:02:49.360 --> 00:02:53.680]  當年這種IBM電腦已經是很先進的了
[00:02:53.680 --> 00:02:55.440]  很有型的了
[00:02:55.440 --> 00:02:58.040]  給多一款給你們看
[00:02:58.040 --> 00:02:59.600]  認不認得這款是什麼?
[00:02:59.600 --> 00:03:01.720]  那個logo就小了一點
[00:03:01.720 --> 00:03:04.600]  不過是蘋果來的
[00:03:04.600 --> 00:03:07.520]  蘋果的Macintosh有沒有人聽過?
[00:03:07.520 --> 00:03:10.960]  有啊 這部蘋果電腦來的
[00:03:10.960 --> 00:03:15.440]  當然 今天就變成這些了 是不是?
[00:03:15.440 --> 00:03:18.560]  說了電視 說了電腦
[00:03:18.560 --> 00:03:20.400]  你猜我還想說什麼呢?
[00:03:20.400 --> 00:03:22.400]  當然是電話啦
[00:03:22.400 --> 00:03:25.520]  大家有多少人用過這種電話?
[00:03:25.520 --> 00:03:28.480]  是啊 我以前煲電話粥 讀書的時候
[00:03:28.480 --> 00:03:31.880]  和同學煲電話粥都是這種電話的
[00:03:31.880 --> 00:03:33.600]  不過時代的進步
[00:03:33.600 --> 00:03:36.280]  1G 2G 3G 4G
[00:03:36.280 --> 00:03:39.200]  現在當然就是5G啦
[00:03:39.200 --> 00:03:40.920]  我經常說阿真堂厲害一點
[00:03:40.920 --> 00:03:44.520]  阿真堂2014年開始我們已經走5G了 是不是?
[00:03:44.520 --> 00:03:47.880]  所以我們很先進的 實際上
[00:03:47.880 --> 00:03:53.400]  是啊 真的沒有舊有哪有新呢?
[00:03:53.400 --> 00:03:57.280]  不過這些現在似乎舊了的東西
[00:03:57.280 --> 00:04:02.880]  都曾經在我們的生活上寫下很重要的一頁
[00:04:02.880 --> 00:04:06.720]  影響着我們每個人的日常生活
[00:04:06.720 --> 00:04:12.880]  也都爲今天更先進的科技揭開了重要的一步
[00:04:12.880 --> 00:04:15.880]  物質的生活是這樣
[00:04:15.880 --> 00:04:19.600]  原來我們的信仰和侍奉生命
[00:04:19.600 --> 00:04:23.000]  都曾經經過一個很重要的階段
[00:04:23.000 --> 00:04:27.720]  而我們進入另一個更加重要的階段
[00:04:27.720 --> 00:04:31.120]  今天我繼續和大家講哥倫多後書
