
[00:00:00.000 --> 00:00:04.700]  信了耶穌有一段時間的弟兄姊妹一定讀過這兩節經文
[00:00:04.700 --> 00:00:05.900]  很熟的了
[00:00:05.900 --> 00:00:07.500]  不過我們都要讀一讀
[00:00:07.500 --> 00:00:09.100]  就是今天講到的主題
[00:00:09.100 --> 00:00:13.100]  《羅馬書》十二章一到第二節
[00:00:13.100 --> 00:00:14.200]  一二三
[00:00:14.200 --> 00:00:16.300]  所以弟兄們
[00:00:16.300 --> 00:00:19.000]  我以神的慈悲勸你們
[00:00:19.000 --> 00:00:20.800]  將身體獻上
[00:00:20.800 --> 00:00:22.300]  當作活祭
[00:00:22.300 --> 00:00:23.600]  是聖潔的
[00:00:23.600 --> 00:00:25.500]  是神所喜悅的
[00:00:25.500 --> 00:00:27.400]  你們如此侍奉
[00:00:27.400 --> 00:00:29.500]  乃是理所當然的
[00:00:29.500 --> 00:00:31.900]  不要效法這個世界
[00:00:31.900 --> 00:00:34.700]  只要心意更新而變化
[00:00:34.700 --> 00:00:38.100]  叫你們察驗何謂神的善良
[00:00:38.100 --> 00:00:41.100]  純全可喜悅的旨意
[00:00:41.100 --> 00:00:43.300]  接著想跟大家讀這個版本
[00:00:43.300 --> 00:00:45.900]  是我很喜歡的作者唐無華
[00:00:45.900 --> 00:00:46.900]  Martha Dawn
[00:00:46.900 --> 00:00:48.800]  她自己翻譯的版本
[00:00:48.800 --> 00:00:49.500]  我們一起讀
[00:00:49.500 --> 00:00:50.600]  一二三
[00:00:50.600 --> 00:00:52.900]  所以弟兄姊妹
[00:00:52.900 --> 00:00:56.000]  我因著神的慈悲勸你們
[00:00:56.000 --> 00:00:57.700]  將身體獻上
[00:00:57.700 --> 00:00:59.500]  作為一個祭物
[00:00:59.500 --> 00:01:00.600]  是活的
[00:01:00.600 --> 00:01:01.700]  聖潔的
[00:01:01.700 --> 00:01:03.700]  並討神喜悅的
[00:01:03.700 --> 00:01:07.000]  那就是你們屬靈的敬拜
[00:01:07.000 --> 00:01:09.900]  不要與這個世代同化
[00:01:09.900 --> 00:01:12.700]  卻要藉著更新你們的心
[00:01:12.700 --> 00:01:16.700]  而維持在被轉化的過程中
[00:01:16.700 --> 00:01:19.100]  如此你們就能夠
[00:01:19.100 --> 00:01:20.900]  察驗和認同
[00:01:20.900 --> 00:01:23.100]  什麼是神的旨意
[00:01:23.100 --> 00:01:28.100]  他那美好的可喜悅的完美的旨意
[00:01:28.100 --> 00:01:31.500]  其實她翻譯得再清楚一點
[00:01:31.500 --> 00:01:33.700]  在這裡我們會問
[00:01:33.700 --> 00:01:35.300]  信了耶穌又如何
[00:01:35.300 --> 00:01:37.700]  人生的路可以怎樣走下去
[00:01:37.700 --> 00:01:39.100]  今天用三點
[00:01:39.100 --> 00:01:40.100]  都很容易記
[00:01:40.100 --> 00:01:41.500]  叫G-O-D
[00:01:41.500 --> 00:01:43.300]  集中的焦點在上帝那裡
[00:01:43.300 --> 00:01:44.700]  跟大家分享
[00:01:44.700 --> 00:01:46.300]  G-Grace
[00:01:46.300 --> 00:01:47.900]  神的恩典
[00:01:47.900 --> 00:01:49.500]  O-Obligation
[00:01:49.500 --> 00:01:50.900]  神的要求
[00:01:50.900 --> 00:01:52.500]  D-Desire
[00:01:52.500 --> 00:01:53.900]  上帝的心意
[00:01:53.900 --> 00:01:55.100]  第一點
[00:01:55.100 --> 00:01:55.900]  Grace
[00:01:55.900 --> 00:01:57.500]  上帝的恩典
[00:01:57.500 --> 00:01:58.100]  這裡說
[00:01:58.100 --> 00:01:59.700]  所以弟兄們
[00:01:59.700 --> 00:02:02.300]  我以神的慈悲勸你們
[00:02:02.300 --> 00:02:03.300]  因為只有兩節
[00:02:03.300 --> 00:02:05.500]  所以會逐個逐個詞解
[00:02:05.500 --> 00:02:06.300]  第一
[00:02:06.300 --> 00:02:08.900]  什麼叫所以一定要明白
[00:02:08.900 --> 00:02:10.700]  上面一定發生了很多事情
[00:02:10.700 --> 00:02:12.100]  有上文有下理
[00:02:12.100 --> 00:02:13.100]  有些解經家說
[00:02:13.100 --> 00:02:17.300]  上文應該是羅馬書第一章到第十一章
[00:02:17.300 --> 00:02:19.500]  羅馬書第一章到第十一章
[00:02:19.500 --> 00:02:21.300]  是純粹theology
[00:02:21.300 --> 00:02:22.500]  很多神學
[00:02:22.500 --> 00:02:24.300]  很多勉強的東西
[00:02:24.300 --> 00:02:26.500]  但是十二章一直到十六章
[00:02:26.500 --> 00:02:28.700]  就叫做work of theology
[00:02:28.700 --> 00:02:29.900]  我想是他作的
[00:02:29.900 --> 00:02:32.100]  就是行道學
[00:02:32.100 --> 00:02:33.900]  有一個牧師叫Charles Wendel
[00:02:33.900 --> 00:02:35.500]  他說如果看羅馬書要明白
[00:02:35.500 --> 00:02:37.100]  那些所以要看明白
[00:02:37.100 --> 00:02:39.100]  羅馬書有三個所以
[00:02:39.100 --> 00:02:39.900]  第一個
[00:02:39.900 --> 00:02:40.700]  中文沒有的
[00:02:40.700 --> 00:02:41.700]  英文才出的
[00:02:41.700 --> 00:02:43.100]  第五章第一節
[00:02:43.100 --> 00:02:44.100]  他說
[00:02:44.100 --> 00:02:47.100]  Therefore having been justified by faith
[00:02:47.100 --> 00:02:48.700]  我們因信清義
[00:02:48.700 --> 00:02:50.900]  因此我們是同上帝和好
[00:02:50.900 --> 00:02:52.300]  第八章第一節
[00:02:52.300 --> 00:02:55.100]  Therefore there is now no condemnation
[00:02:55.100 --> 00:02:57.700]  for those who are in Christ Jesus
[00:02:57.700 --> 00:02:58.700]  在基督裡面的
[00:02:58.700 --> 00:03:00.100]  就不再定罪
[00:03:00.100 --> 00:03:01.300]  就是說你信了耶穌
[00:03:01.300 --> 00:03:02.900]  和上帝和好
[00:03:02.900 --> 00:03:04.700]  沒有人再定你的罪了
