
[00:00:00.000 --> 00:00:01.000]  大英姊妹午安
[00:00:01.000 --> 00:00:06.000]  我相信可能不少大英姊妹喜歡行山
[00:00:06.000 --> 00:00:09.000]  有些人在搖頭
[00:00:09.000 --> 00:00:10.000]  太熱了
[00:00:10.000 --> 00:00:17.000]  可能過去幾年在疫情當中
[00:00:17.000 --> 00:00:21.000]  有部分人沒有什麼地方去
[00:00:21.000 --> 00:00:24.000]  又怕感染
[00:00:24.000 --> 00:00:27.000]  所以新聞都說
[00:00:27.000 --> 00:00:29.000]  真的多了人出去行山
[00:00:30.000 --> 00:00:34.000]  可能因為行山的人太多了
[00:00:34.000 --> 00:00:39.000]  所以有一些熱門的行山路線
[00:00:39.000 --> 00:00:40.000]  迫得不得了
[00:00:40.000 --> 00:00:42.000]  這麼迫
[00:00:42.000 --> 00:00:46.000]  心想比較少機會被蛇咬
[00:00:46.000 --> 00:00:48.000]  因為人多
[00:00:48.000 --> 00:00:50.000]  我不知道
[00:00:50.000 --> 00:00:52.000]  大家有沒有聽過
[00:00:52.000 --> 00:00:55.000]  如果是被蛇咬要怎麼做?
[00:00:55.000 --> 00:00:57.000]  要怎麼做?
[00:01:00.000 --> 00:01:04.000]  電視劇說放血
[00:01:04.000 --> 00:01:07.000]  吸了毒液
[00:01:07.000 --> 00:01:09.000]  不行
[00:01:09.000 --> 00:01:11.000]  危險
[00:01:11.000 --> 00:01:15.000]  傷口會發炎
[00:01:15.000 --> 00:01:17.000]  還咬
[00:01:17.000 --> 00:01:22.000]  所以要有對的方法去處理
[00:01:22.000 --> 00:01:29.000]  按照香港的漁護署所說
[00:01:29.000 --> 00:01:32.000]  香港大概有52種的蛇
[00:01:32.000 --> 00:01:35.000]  有14種有毒的
[00:01:35.000 --> 00:01:39.000]  如果我們知道被咬
[00:01:39.000 --> 00:01:42.000]  咬我們的蛇是有毒的
[00:01:42.000 --> 00:01:44.000]  就真的要快快處理
[00:01:44.000 --> 00:01:50.000]  可能你聽過要注射解毒的血清
