
[00:00:00.000 --> 00:00:03.000]  剛才我們教母同工現實的時候
[00:00:03.000 --> 00:00:05.000]  我一直看他們
[00:00:05.000 --> 00:00:07.000]  我希望他們也看我
[00:00:07.000 --> 00:00:14.000]  但是他們都很認真很專心的在看我
[00:00:14.000 --> 00:00:18.000]  雖然唱這首歌好像是有點
[00:00:18.000 --> 00:00:19.000]  怎麼講
[00:00:19.000 --> 00:00:22.000]  有點好像是比較嚴肅
[00:00:22.000 --> 00:00:25.000]  可是我們侍奉神
[00:00:25.000 --> 00:00:28.000]  卻知道說在困難的中間
[00:00:28.000 --> 00:00:30.000]  在逼迫的中間
[00:00:30.000 --> 00:00:31.000]  在患難的中間
[00:00:31.000 --> 00:00:35.000]  我們仍然是歡喜快樂的
[00:00:35.000 --> 00:00:38.000]  一年雖然有許多的難處
[00:00:38.000 --> 00:00:40.000]  但是我們回頭看的時候
[00:00:40.000 --> 00:00:44.000]  我們仍然要用感恩來畫上句點
[00:00:44.000 --> 00:00:49.000]  詩篇六十五篇是一首感恩的詩
[00:00:49.000 --> 00:00:56.000]  這一首詩是大衛在他晚年的時候所寫的
[00:00:56.000 --> 00:00:59.000]  我想我們對大衛都很熟悉
[00:00:59.000 --> 00:01:00.000]  大衛的一生
[00:01:00.000 --> 00:01:02.000]  其實他這邊不是
[00:01:02.000 --> 00:01:04.000]  雖然他後面講到說
[00:01:04.000 --> 00:01:10.000]  你以恩典為連稅的冠冕
[00:01:10.000 --> 00:01:12.000]  我們常常用這一句話
[00:01:12.000 --> 00:01:15.000]  來作為這一年的一個結論
[00:01:15.000 --> 00:01:17.000]  可是事實上大衛在寫這個的時候
[00:01:17.000 --> 00:01:20.000]  他不單單只是對那一年
[00:01:20.000 --> 00:01:23.000]  他對他的一生來做了一個回顧
[00:01:23.000 --> 00:01:27.000]  他發出了這樣子的一個感恩的詩篇
[00:01:27.000 --> 00:01:30.000]  這個詩篇一共有十三節
[00:01:30.000 --> 00:01:33.000]  但是裡面分成三段
[00:01:33.000 --> 00:01:36.000]  我們一起來看他感謝什麼
[00:01:36.000 --> 00:01:40.000]  我們一起來看
[00:01:40.000 --> 00:01:42.000]  大衛第一節到第四節
[00:01:42.000 --> 00:01:45.000]  我們再一起來念好嗎
[00:01:45.000 --> 00:01:49.000]  所以你這時候需要有聖經了
[00:01:49.000 --> 00:01:53.000]  我們上面不provide
[00:01:53.000 --> 00:01:55.000]  這個不是詩篇的六十五篇
[00:01:55.000 --> 00:01:57.000]  請你看一下你的聖經好不好
[00:01:57.000 --> 00:01:59.000]  詩篇六十五篇
[00:01:59.000 --> 00:02:02.000]  我們第一節到第四節
[00:02:02.000 --> 00:02:03.000]  我們再一起來念一下好不好
[00:02:03.000 --> 00:02:05.000]  來 預備 請
[00:02:05.000 --> 00:02:09.000]  神啊 喜安的人都等候讚美你
[00:02:09.000 --> 00:02:14.000]  所許的願也要向你償還
[00:02:14.000 --> 00:02:16.000]  聽禱告的主啊
[00:02:16.000 --> 00:02:19.000]  還有血氣的都要來救你
[00:02:19.000 --> 00:02:21.000]  罪孽勝了我
[00:02:21.000 --> 00:02:23.000]  至於我們的過犯
[00:02:23.000 --> 00:02:26.000]  你都要赦免
[00:02:26.000 --> 00:02:29.000]  你所檢選使他親近你
[00:02:29.000 --> 00:02:33.000]  住在你院中的
[00:02:33.000 --> 00:02:35.000]  我們必因你居所
[00:02:35.000 --> 00:02:40.000]  你聖殿的美福知足了
[00:02:40.000 --> 00:02:42.000]  所以大衛在這一段
