
[00:00:00.000 --> 00:00:01.280]  丁靜妹,早晨!
[00:00:01.280 --> 00:00:04.500]  感恩今天又可以跟大家一起
[00:00:04.500 --> 00:00:08.740]  在主日的早晨裡,我們去分享神的話
[00:00:08.740 --> 00:00:11.380]  今天想跟大家分享的訊息是
[00:00:11.380 --> 00:00:14.340]  說到主是會用愛祂的人
[00:00:14.340 --> 00:00:16.180]  讓我們一起同心吐槽
[00:00:16.180 --> 00:00:21.040]  主耶穌,主耶穌,願祢的聖靈今天就在我們的中間
[00:00:21.040 --> 00:00:22.620]  來帶傳給我們
[00:00:22.620 --> 00:00:27.920]  讓我們在早晨的時候,不單止得見祢的面
[00:00:28.300 --> 00:00:31.220]  不單止得見祢的榮美
[00:00:31.220 --> 00:00:35.980]  更加讓我們能夠在祢的愛裡面
[00:00:35.980 --> 00:00:38.880]  被祢的愛擁抱
[00:00:38.880 --> 00:00:41.280]  被祢的愛環繞
[00:00:41.280 --> 00:00:46.980]  又讓我們知道,祢真的會用每一個愛祢的人
[00:00:46.980 --> 00:00:51.740]  主啊,祢的信實不變,祢的應許不變
[00:00:51.740 --> 00:00:56.100]  主,讓我們能夠每一個丁靜妹來到祢面前的時候
[00:00:56.100 --> 00:01:02.420]  我們都能夠得到信心、得到盼望、得到鼓勵、得到愛
[00:01:02.420 --> 00:01:05.280]  主啊,我們就在祢的面前
[00:01:05.280 --> 00:01:08.520]  我們渴求祢的話
[00:01:08.520 --> 00:01:13.440]  我們等候祢親自來對我們說話
[00:01:13.440 --> 00:01:16.620]  親愛的聖靈啊,你也是真理的聖靈
[00:01:16.620 --> 00:01:20.980]  求你今天就將神的話放在我們眾人的心裡面
[00:01:20.980 --> 00:01:24.740]  又求你親自來使用僕人、使用孩子
[00:01:24.740 --> 00:01:27.420]  能夠說出神的話
[00:01:27.420 --> 00:01:29.420]  要說的就說
[00:01:29.420 --> 00:01:34.020]  不當說的,就請你來禁止我去說
[00:01:34.020 --> 00:01:36.020]  主,幫助我、使用我
[00:01:36.020 --> 00:01:39.980]  主,願我們都能夠眾弟兄姊妹來到你面前
[00:01:39.980 --> 00:01:41.620]  我們是同感一鈴的
[00:01:41.620 --> 00:01:44.920]  我們要領受的就是神的話
[00:01:44.920 --> 00:01:46.920]  主啊,幫助我們
[00:01:46.920 --> 00:01:49.540]  我們不斷地呼求你,我們祈禱靠耶穌的名
[00:01:49.540 --> 00:01:50.580]  阿們
[00:01:51.460 --> 00:01:55.380]  好,剛才謝謝西苗傳導
[00:01:55.380 --> 00:01:58.260]  跟我們一起讀出神的話
[00:01:58.260 --> 00:02:01.820]  其實今天我們有三段經文要看的
[00:02:01.820 --> 00:02:07.340]  剛才那段經文是在《路加福音》的五章一到十一節
[00:02:07.340 --> 00:02:09.420]  五章一到十一節
[00:02:09.420 --> 00:02:14.860]  這裡是說到主是會呼召罪人來跟隨祂的
[00:02:14.860 --> 00:02:17.940]  主是會呼召罪人來跟隨祂的
[00:02:17.940 --> 00:02:19.140]  我們看看
[00:02:19.140 --> 00:02:20.420]  剛才我們讀了經文
[00:02:20.420 --> 00:02:22.420]  可以分為有三個段落
[00:02:22.420 --> 00:02:24.820]  一到三節
[00:02:24.820 --> 00:02:27.540]  耶穌站在格尼薩勒湖
[00:02:27.540 --> 00:02:30.620]  其實格尼薩勒湖在哪裏呢?
[00:02:30.620 --> 00:02:32.940]  其實就是我們很熟悉的加利利海
[00:02:32.940 --> 00:02:35.260]  就是加利利海
[00:02:35.260 --> 00:02:38.420]  有時候聖經會叫做格尼薩勒湖
[00:02:38.420 --> 00:02:40.180]  有時候會叫做加利利海
[00:02:40.180 --> 00:02:42.060]  其實都是同一個地方
[00:02:42.060 --> 00:02:44.660]  聖經裏面通常有兩個地方
[00:02:44.660 --> 00:02:46.140]  一個就是死海
[00:02:46.140 --> 00:02:48.660]  死海就是用來拍照的
[00:02:48.660 --> 00:02:51.020]  今天去旅遊、去打卡的地方
[00:02:51.020 --> 00:02:53.580]  但是耶穌通常活動的地方
[00:02:53.580 --> 00:02:55.300]  就是在耶路撒冷
[00:02:55.300 --> 00:02:57.820]  又或者是在加利利海
[00:02:57.820 --> 00:03:00.620]  或者這個叫做格尼薩勒湖的地方
[00:03:00.620 --> 00:03:08.260]  耶穌在那裏走遊
[00:03:08.260 --> 00:03:10.500]  眾人都用祭壇
[00:03:10.500 --> 00:03:14.940]  有很多人都來找祂
[00:03:14.940 --> 00:03:17.300]  找祂要聽神的道
[00:03:18.860 --> 00:03:20.780]  找祂要聽神的道
[00:03:20.780 --> 00:03:24.060]  看到那些人其實他們很渴望
[00:03:24.060 --> 00:03:26.060]  是想聽到神的話
[00:03:26.060 --> 00:03:29.700]  他們的心不滿足
[00:03:29.700 --> 00:03:31.700]  所以他們要找耶穌
[00:03:31.700 --> 00:03:32.900]  而很有趣的
