
[00:00:00.000 --> 00:00:03.000]  今天和大家繼續思想這個
[00:00:03.000 --> 00:00:05.000]  啟示局七個教會
[00:00:05.000 --> 00:00:09.000]  繼續思想到這個已忽鎖的教會
[00:00:09.000 --> 00:00:11.000]  其實我先前都和大家提過
[00:00:11.000 --> 00:00:13.000]  已忽鎖的教會呢
[00:00:13.000 --> 00:00:15.000]  在七個教會裏面來說呢
[00:00:15.000 --> 00:00:17.000]  我們資料是最多的
[00:00:17.000 --> 00:00:19.000]  資料為甚麼會最多呢
[00:00:19.000 --> 00:00:21.000]  我們有已忽鎖書
[00:00:21.000 --> 00:00:22.000]  是不是
[00:00:22.000 --> 00:00:24.000]  那已忽鎖書呢
[00:00:24.000 --> 00:00:27.000]  就是寫給已忽鎖這個教會的
[00:00:27.000 --> 00:00:29.000]  那除此之外呢
[00:00:29.000 --> 00:00:31.000]  在很多的聖經裏面
[00:00:31.000 --> 00:00:33.000]  譬如《史徒行傳》
[00:00:33.000 --> 00:00:36.000]  《史徒行傳》保羅的行程呢
[00:00:36.000 --> 00:00:40.000]  他也是提及到已忽鎖這個教會
[00:00:40.000 --> 00:00:43.000]  甚至到用相當之多的篇幅
[00:00:43.000 --> 00:00:46.000]  去講這個已忽鎖這個教會
[00:00:46.000 --> 00:00:48.000]  所以我們對已忽鎖這個教會
[00:00:48.000 --> 00:00:52.000]  是真的知道很多的東西
[00:00:52.000 --> 00:00:53.000]  不但如此
[00:00:53.000 --> 00:00:55.000]  就算在聖經以外
[00:00:55.000 --> 00:00:58.000]  在一些我們叫做初期的教父
[00:00:58.000 --> 00:01:01.000]  教父不要想就是那一種
[00:01:01.000 --> 00:01:06.000]  拿著機關槍在打人的那種教父
[00:01:06.000 --> 00:01:08.000]  都是神父
[00:01:08.000 --> 00:01:10.000]  不過那時候初期的教父呢
[00:01:10.000 --> 00:01:13.000]  他們是被人們尊重
[00:01:13.000 --> 00:01:14.000]  稱他們為教父
[00:01:14.000 --> 00:01:16.000]  因為他們在信仰上
[00:01:16.000 --> 00:01:18.000]  他們在真理上
[00:01:18.000 --> 00:01:23.000]  他們是很欣賞他們對神的心
[00:01:23.000 --> 00:01:25.000]  還有他們有很多的寫作
[00:01:25.000 --> 00:01:26.000]  他們的寫作呢
[00:01:26.000 --> 00:01:30.000]  都有提及到已忽鎖的教會
[00:01:30.000 --> 00:01:31.000]  一些負責人
[00:01:31.000 --> 00:01:33.000]  那些聖經都未必有提到的人
[00:01:33.000 --> 00:01:36.000]  他都會說在已忽鎖這個教會裏面
[00:01:36.000 --> 00:01:39.000]  當歷史進行的時候
[00:01:39.000 --> 00:01:42.000]  他們有時叫做主教
[00:01:42.000 --> 00:01:46.000]  或者是當時的監督
[00:01:46.000 --> 00:01:47.000]  都有提及到
[00:01:47.000 --> 00:01:49.000]  他們會有些是有殉道
[00:01:49.000 --> 00:01:53.000]  或者是他們有怎樣的情況
[00:01:53.000 --> 00:01:56.000]  今天繼續和大家去看這個
[00:01:56.000 --> 00:01:58.000]  已忽鎖七教會的第一個教會
[00:01:58.000 --> 00:02:00.000]  是已忽鎖的教會
[00:02:00.000 --> 00:02:02.000]  因為都隔了一段時間
[00:02:02.000 --> 00:02:05.000]  我只是少少去提一道
[00:02:05.000 --> 00:02:08.000]  就是在之前的廣道大綱裏面有過的
[00:02:08.000 --> 00:02:09.000]  你們這裏沒有的
[00:02:09.000 --> 00:02:10.000]  就是說甚麼呢
[00:02:10.000 --> 00:02:11.000]  就是已忽鎖這個教會呢
[00:02:11.000 --> 00:02:14.000]  是有最好的神的僕人在當中
[00:02:14.000 --> 00:02:16.000]  是先後有忠心的
[00:02:16.000 --> 00:02:19.000]  伯基拉阿居拉的一對夫婦
