
[00:00:00.000 --> 00:00:08.000]  各位弟兄姐妹平安 新年快樂
[00:00:08.000 --> 00:00:10.000]  當你游泳的時候
[00:00:10.000 --> 00:00:14.000]  突然之間有一個很大的浪衝過來
[00:00:14.000 --> 00:00:16.000]  你沒有辦法控制自己
[00:00:16.000 --> 00:00:20.000]  你就跟著浪 被浪一直衝出去
[00:00:20.000 --> 00:00:22.000]  你發覺越衝越遠
[00:00:22.000 --> 00:00:24.000]  越是你開始很慌張
[00:00:24.000 --> 00:00:26.000]  就在這個時候
[00:00:26.000 --> 00:00:30.000]  你就心裏面想 有什麼可以捉實呢
[00:00:30.000 --> 00:00:32.000]  那你四周圍望
[00:00:32.000 --> 00:00:34.000]  發覺附近都沒有東西
[00:00:34.000 --> 00:00:36.000]  當你再游的時候
[00:00:36.000 --> 00:00:39.000]  你就發覺前面有一根樹枝
[00:00:39.000 --> 00:00:41.000]  越是你很快游過去
[00:00:41.000 --> 00:00:43.000]  就抱著那根樹枝
[00:00:43.000 --> 00:00:46.000]  讓你可以稍為歇息一下
[00:00:46.000 --> 00:00:48.000]  原來當我們游泳
[00:00:48.000 --> 00:00:50.000]  遇到大風浪的時候
[00:00:50.000 --> 00:00:53.000]  我們很需要救生圈
[00:00:53.000 --> 00:00:56.000]  所以當你抓住那根樹枝的時候
[00:00:56.000 --> 00:01:00.000]  就當它是救生圈一樣
[00:01:00.000 --> 00:01:03.000]  當我們進入2024年的時候
[00:01:03.000 --> 00:01:07.000]  我們的心情可能都會有些矛盾
[00:01:07.000 --> 00:01:10.000]  一方面我們很想
[00:01:10.000 --> 00:01:14.000]  新的一年是會更好
[00:01:14.000 --> 00:01:17.000]  很多人都說 哎呀 新的一年
[00:01:17.000 --> 00:01:19.000]  我們開著新的一頁
[00:01:19.000 --> 00:01:21.000]  我們又有新的立志
[00:01:21.000 --> 00:01:24.000]  我們更加有新的心願
[00:01:24.000 --> 00:01:26.000]  所以我們好像一切
[00:01:26.000 --> 00:01:30.000]  都可以是從新開始一樣
[00:01:30.000 --> 00:01:32.000]  但另外一方面
[00:01:32.000 --> 00:01:35.000]  進入2024年
[00:01:35.000 --> 00:01:39.000]  其實有很多的不確定
[00:01:39.000 --> 00:01:41.000]  uncertainty
[00:01:41.000 --> 00:01:44.000]  我們不知道這一年會怎樣
[00:01:44.000 --> 00:01:47.000]  沒錯 我們想經濟越來越好
[00:01:47.000 --> 00:01:49.000]  但是不是會更好呢
[00:01:49.000 --> 00:01:52.000]  我們很想社會更加繁榮
[00:01:52.000 --> 00:01:55.000]  但是不是會更繁榮呢
[00:01:55.000 --> 00:01:59.000]  我很想很坦白跟大家說
[00:01:59.000 --> 00:02:04.000]  根據耶穌在橄欖山上的預言
[00:02:04.000 --> 00:02:08.000]  有關祂回來的時候會是怎樣呢
[00:02:08.000 --> 00:02:11.000]  耶穌就用了一個比喻
[00:02:11.000 --> 00:02:14.000]  祂說好像一個產難的婦人
[00:02:14.000 --> 00:02:17.000]  當她的婦人要生產的時候
[00:02:17.000 --> 00:02:22.000]  她的鎮痛是會越來越密
[00:02:22.000 --> 00:02:25.000]  而且那種痛的程度
[00:02:25.000 --> 00:02:28.000]  是會越來越大
[00:02:28.000 --> 00:02:30.000]  我都問我太太
[00:02:30.000 --> 00:02:32.000]  妳生妳的女兒的時候
[00:02:32.000 --> 00:02:33.000]  那種痛是怎樣
[00:02:33.000 --> 00:02:36.000]  她說沒有試過那麼痛的
[00:02:36.000 --> 00:02:40.000]  說當越接近的嬰兒要出來的時候
[00:02:40.000 --> 00:02:43.000]  可能妳在那個代產室裡面
[00:02:43.000 --> 00:02:46.000]  那些護士教妳怎樣用力
[00:02:46.000 --> 00:02:49.000]  以致妳的嬰兒可以出來
[00:02:49.000 --> 00:02:51.000]  哇 那種痛
[00:02:51.000 --> 00:02:54.000]  我想只有做過媽媽的人
[00:02:54.000 --> 00:02:59.000]  才可以形容那種陣痛是怎樣
[00:02:59.000 --> 00:03:01.000]  所以如果根據耶穌所說的
[00:03:01.000 --> 00:03:04.000]  祂回來的日子更近的時候
[00:03:04.000 --> 00:03:06.000]  我只敢說
