
[00:00:00.000 --> 00:00:04.140]  今天我們會講 楊富鑫第20章
[00:00:04.140 --> 00:00:07.520]  大家先請打開 楊富鑫第20章
[00:00:07.520 --> 00:00:10.520]  19到23節
[00:00:10.520 --> 00:00:14.180]  這幾天看新聞
[00:00:14.180 --> 00:00:17.780]  很少見到
[00:00:17.780 --> 00:00:21.780]  美國總統奧巴馬手足無措的樣子
[00:00:21.780 --> 00:00:23.780]  大家記不記得
[00:00:23.780 --> 00:00:25.780]  就是因為復活節
[00:00:25.780 --> 00:00:29.780]  他們根據美國的傳統
[00:00:29.780 --> 00:00:33.780]  美國總統要跟小朋友講復活節的故事
[00:00:33.780 --> 00:00:38.780]  不過無論他在美國權力有多大
[00:00:38.780 --> 00:00:41.780]  沒有小朋友聽他講
[00:00:41.780 --> 00:00:44.780]  大家都掛著尖叫
[00:00:44.780 --> 00:00:46.780]  因為一隻蜜蜂飛過
[00:00:46.780 --> 00:00:49.780]  因為一隻蜜蜂飛過
[00:00:49.780 --> 00:00:52.780]  嘩 全場的小朋友都在尖叫 不受控制
[00:00:52.780 --> 00:00:55.780]  無論奧巴馬怎樣講多少話
[00:00:55.780 --> 00:00:57.780]  叫他們安靜 叫他們不用怕
[00:00:57.780 --> 00:00:59.780]  都沒有用
[00:00:59.780 --> 00:01:01.780]  因為小朋友真的很害怕
[00:01:01.780 --> 00:01:03.780]  一害怕的時候
[00:01:03.780 --> 00:01:05.780]  人一害怕的時候
[00:01:05.780 --> 00:01:07.780]  就被情緒籠罩著
[00:01:07.780 --> 00:01:09.780]  無論多少人告訴他不需要害怕
[00:01:09.780 --> 00:01:11.780]  他都會繼續害怕
[00:01:11.780 --> 00:01:13.780]  小朋友都會繼續尖叫
[00:01:13.780 --> 00:01:15.780]  原來恐懼就是這樣
[00:01:15.780 --> 00:01:17.780]  一害怕的時候
[00:01:17.780 --> 00:01:19.780]  手騰腳震
[00:01:19.780 --> 00:01:21.780]  不能自控
