
[00:00:00.000 --> 00:00:03.160]  各位第四堂的弟兄姊妹平安
[00:00:03.160 --> 00:00:06.920]  這季我們看希伯來書
[00:00:06.920 --> 00:00:11.080]  可能對部份弟兄姊妹來說是比較深
[00:00:11.080 --> 00:00:15.400]  裏面有很多舊約的事蹟
[00:00:15.400 --> 00:00:16.720]  為甚麼呢?
[00:00:16.720 --> 00:00:19.520]  因為我們知道希伯來書的作者
[00:00:19.520 --> 00:00:25.040]  他寫這本書針對的是當時一班受逼迫
[00:00:25.040 --> 00:00:29.400]  受善念中裏面的猶太信徒
[00:00:29.400 --> 00:00:32.560]  猶太信徒屬於舊約
[00:00:32.560 --> 00:00:36.920]  所以最好鼓勵這班弟兄姊妹的
[00:00:36.920 --> 00:00:41.840]  就是用他們熟悉的經典舊約聖經
[00:00:41.840 --> 00:00:45.920]  所以明白為甚麼希伯來書經常引用舊約
[00:00:45.920 --> 00:00:48.440]  特別他將舊約很多的事蹟
[00:00:48.440 --> 00:00:51.960]  和現在他們信了耶穌之後去比較
[00:00:51.960 --> 00:00:56.880]  所以在經文裏面你找了很多更美
[00:00:56.880 --> 00:01:01.640]  更美的盼望、更美的約、更美的應許
[00:01:01.640 --> 00:01:07.160]  更美的祭物、更美的產業、更美的家鄉
[00:01:07.160 --> 00:01:12.120]  比較一下原來信耶穌是比你之前信的好
[00:01:12.120 --> 00:01:13.920]  不要回頭
[00:01:13.920 --> 00:01:18.480]  這就是希伯來書作者很想勉勵當時信徒
[00:01:18.480 --> 00:01:28.680]  面對困難、迫迫、甚至是放棄信仰的挑戰
[00:01:28.680 --> 00:01:30.800]  不要放棄
[00:01:30.800 --> 00:01:33.000]  看回我們的主耶穌基督
[00:01:33.000 --> 00:01:37.200]  希伯來書作者用很多不同的角度
[00:01:37.200 --> 00:01:39.960]  去勉勵當時的信徒
[00:01:39.960 --> 00:01:41.600]  雖然比較深一點
[00:01:41.600 --> 00:01:45.000]  但是一有兩句金句你會背
[00:01:45.000 --> 00:01:48.120]  不過可能你不知道是希伯來書說的
[00:01:48.120 --> 00:01:50.520]  你會不會背十一章第一節?
[00:01:50.520 --> 00:01:51.560]  會的
[00:01:51.560 --> 00:01:52.640]  信是甚麼?
[00:01:52.640 --> 00:01:56.040]  就是我們所望之時的實底
[00:01:56.040 --> 00:01:57.760]  是未見之時的確具
[00:01:57.760 --> 00:02:00.840]  這個和學本的翻譯你不太明白甚麼是實底
[00:02:00.840 --> 00:02:02.320]  所以新譯本告訴你
[00:02:02.320 --> 00:02:04.320]  盼望一時的把握
[00:02:04.320 --> 00:02:05.480]  清楚一點
[00:02:05.480 --> 00:02:08.400]  是還沒有看見時的明證
[00:02:08.400 --> 00:02:10.440]  這句大家都會寫金句
[00:02:10.440 --> 00:02:12.320]  第二句希伯來書大家都熟悉的
[00:02:12.320 --> 00:02:14.360]  十二章一節
[00:02:14.360 --> 00:02:18.320]  我們既有許多見證人好似甚麼
[00:02:18.320 --> 00:02:20.000]  雲彩圍住我們
[00:02:20.000 --> 00:02:22.240]  就當放下各種重擔
[00:02:22.240 --> 00:02:24.800]  脫去容易纏累我們的罪
[00:02:24.800 --> 00:02:26.160]  這個都是我們熟悉
[00:02:26.160 --> 00:02:29.320]  不過今天的經文不是說這兩段
[00:02:29.320 --> 00:02:33.720]  就是說這兩節經文的中間
[00:02:33.720 --> 00:02:35.760]  這很重要
[00:02:35.760 --> 00:02:38.000]  承先繼後
[00:02:38.000 --> 00:02:40.960]  信心盼望
[00:02:40.960 --> 00:02:44.040]  今天的經文就將這兩件事放在一起
[00:02:44.040 --> 00:02:46.600]  信心盼望
[00:02:46.600 --> 00:02:49.360]  放在第十一章很有意思
[00:02:49.360 --> 00:02:52.280]  因為上面說了很多
[00:02:52.280 --> 00:02:54.880]  去鼓勵弟兄姊妹明白
[00:02:54.880 --> 00:02:57.520]  耶穌基督真是最寶貴
[00:02:57.520 --> 00:02:58.920]  但是去到最後
[00:02:58.920 --> 00:03:00.760]  只有一個關鍵
[00:03:00.760 --> 00:03:02.520]  你信不信
[00:03:02.520 --> 00:03:03.360]  是不是
[00:03:03.360 --> 00:03:06.280]  你上面有多少證據都好
[00:03:06.280 --> 00:03:07.440]  沒有用的
[00:03:07.440 --> 00:03:08.880]  你不信就不信
[00:03:08.880 --> 00:03:12.240]  今天我們跟人傳福音有沒有遇過
[00:03:12.240 --> 00:03:14.920]  你跟他講聖耶穌
[00:03:14.920 --> 00:03:17.440]  他通常會有些東西反駁你
[00:03:17.440 --> 00:03:18.320]  是好事
[00:03:18.320 --> 00:03:20.400]  他不反駁就說你信我不用信
[00:03:20.400 --> 00:03:22.040]  這些是最難搞的
[00:03:22.040 --> 00:03:25.280]  他肯跟你反駁是好事
[00:03:25.280 --> 00:03:26.400]  證明耶穌復活
[00:03:26.400 --> 00:03:28.080]  證明你大把書抄
[00:03:28.080 --> 00:03:29.480]  證明聖經是真實
[00:03:29.480 --> 00:03:31.240]  你有很多參考
[00:03:31.240 --> 00:03:32.640]  講到最後信不信
[00:03:32.640 --> 00:03:34.880]  都是不信
[00:03:34.880 --> 00:03:38.120]  反而我們大部份都是這樣
[00:03:38.120 --> 00:03:39.960]  都不是很通
[00:03:39.960 --> 00:03:41.000]  就去信
[00:03:41.000 --> 00:03:42.760]  你自己是吧
[00:03:42.760 --> 00:03:44.840]  有很多事情都解決不了
[00:03:44.840 --> 00:03:47.280]  信心就是這裡奇妙
[00:03:47.280 --> 00:03:51.360]  不是要有把握
[00:03:51.360 --> 00:03:52.880]  有明證
[00:03:52.880 --> 00:03:54.680]  就是那一步
[00:03:54.680 --> 00:03:56.560]  好奇妙的經驗
[00:03:56.560 --> 00:03:59.440]  聖經在希伯來宣這裡
[00:03:59.440 --> 00:04:03.360]  去教導我們信心的功課
[00:04:03.360 --> 00:04:04.600]  好重要
[00:04:04.600 --> 00:04:06.240]  我們一起學習
[00:04:06.240 --> 00:04:07.560]  我們看經文之前
[00:04:07.560 --> 00:04:09.880]  大家一起有個禱告
[00:04:09.880 --> 00:04:11.400]  七養主多謝你
[00:04:11.400 --> 00:04:14.280]  信心的功課看似是困難
[00:04:14.280 --> 00:04:17.000]  但其實耶穌基督你的見證
[00:04:17.000 --> 00:04:17.880]  你的話語
[00:04:17.880 --> 00:04:19.080]  你的應許
[00:04:19.080 --> 00:04:22.480]  其實是足夠讓我們可以以信心回應
[00:04:22.480 --> 00:04:23.800]  歷代的信徒
[00:04:23.800 --> 00:04:25.040]  正正就是這樣
[00:04:25.040 --> 00:04:26.280]  回應神的愛
[00:04:26.280 --> 00:04:27.360]  回應耶穌基督
[00:04:27.360 --> 00:04:28.400]  你的救恩
[00:04:28.400 --> 00:04:30.720]  好勇敢地去行前一步
[00:04:30.720 --> 00:04:33.440]  就是行神祢所指示
[00:04:33.440 --> 00:04:36.280]  祢所帶領我們的人生方向
[00:04:36.280 --> 00:04:38.640]  今天我們面對任何挑戰
[00:04:38.640 --> 00:04:39.400]  前路
[00:04:39.400 --> 00:04:40.880]  即使是迷茫
[00:04:40.880 --> 00:04:43.160]  我們仍然有這個寶貝
[00:04:43.160 --> 00:04:44.600]  就是信心
[00:04:44.600 --> 00:04:46.080]  是你裏面的信心
[00:04:46.080 --> 00:04:47.200]  有時幫助我們
[00:04:47.200 --> 00:04:50.240]  明白希伯來書這段很寶貴的經文
[00:04:50.240 --> 00:04:52.360]  讓我們可以將信心
[00:04:52.360 --> 00:04:53.640]  在我們生活裏面
[00:04:53.640 --> 00:04:56.080]  成為一個更美的見證
[00:04:56.080 --> 00:04:56.800]  多謝主
[00:04:56.800 --> 00:04:58.360]  聽我們這樣的祈禱交託
[00:04:58.360 --> 00:05:00.280]  奉耶穌基督的聖名祈求
[00:05:00.280 --> 00:05:06.160]  信心的功課是甚麼呢
[00:05:06.160 --> 00:05:07.360]  希伯來書的作者
[00:05:07.360 --> 00:05:10.960]  就用很多不同的舊約人物
[00:05:10.960 --> 00:05:12.200]  所以這裏挑戰我們
[00:05:12.200 --> 00:05:15.600]  看我們的舊約是否熟悉
[00:05:15.600 --> 00:05:18.640]  第十七節到三十一節
[00:05:18.640 --> 00:05:20.800]  我將它分成四個段落
[00:05:20.800 --> 00:05:25.280]  每一個段落都是講信心一個的方向
[00:05:25.280 --> 00:05:30.720]  我們去了解舊約人物或事件
[00:05:30.720 --> 00:05:32.320]  亦都幫助我們了解
[00:05:32.320 --> 00:05:34.680]  信心怎樣可以實踐
[00:05:34.680 --> 00:05:38.240]  第一方面 十七到十九節
[00:05:38.240 --> 00:05:40.200]  講到阿伯拉罕
[00:05:40.200 --> 00:05:41.280]  應該熟悉了吧
[00:05:41.280 --> 00:05:43.280]  阿伯拉罕做了很多很多事
[00:05:43.280 --> 00:05:44.560]  不過你都不太記得
