
[00:00:00.000 --> 00:00:03.200]  天父我感謝祢,因為祢讓我們有上帝祢的說話
[00:00:03.200 --> 00:00:09.000]  而且上帝祢的說話在二千年來一直都沒有變過
[00:00:09.000 --> 00:00:12.200]  而且很信實地跟我們講說話
[00:00:12.200 --> 00:00:17.800]  所以主人求祢今天同樣地將這一段經文都放在我們每一個人的心裏面
[00:00:17.800 --> 00:00:20.600]  以致到我們真的好聽到上帝祢的話語
[00:00:20.600 --> 00:00:23.200]  我們好聽到上帝祢給我們的盼望
[00:00:23.200 --> 00:00:25.200]  主人就讓我們在生命裏面
[00:00:25.200 --> 00:00:28.200]  欣著上帝祢的話語有更新有改變
[00:00:28.200 --> 00:00:31.200]  就來看我們禱告奉主耶穌多少名臣
[00:00:59.200 --> 00:01:05.200]  但是這個無可挑剔的人一直就做了律法的標準
[00:01:05.200 --> 00:01:09.200]  但有一件事令到他很遺憾的就是沒有孩子
[00:01:09.200 --> 00:01:13.200]  沒有孩子因為伊麗莎白不能生育
[00:01:13.200 --> 00:01:19.200]  而且因為她不能生育對他們來說其實是一個羞恥
[00:01:19.200 --> 00:01:23.200]  這個羞恥在他們兩夫婦來說
[00:01:23.200 --> 00:01:28.200]  他們可能覺得如果大家知道的話
[00:01:28.200 --> 00:01:32.200]  其實不能生育都可以成為一個夫婦關係決裂的原因
[00:01:32.200 --> 00:01:36.200]  而在於當時古代的社會
[00:01:36.200 --> 00:01:41.200]  那個社會的壓力覺得沒有孩子其實是一個很大的羞恥
[00:01:41.200 --> 00:01:44.200]  而且是因為犯了罪所以上帝不賜福給你
[00:01:44.200 --> 00:01:46.200]  以致到你沒有孩子
[00:01:46.200 --> 00:01:51.200]  對他們來說沒有孩子是他生命裏面一根刺
[00:01:51.200 --> 00:01:55.200]  而且已經去到年老的時候
[00:01:55.200 --> 00:02:00.200]  他們可以說是去到一個不存在希望的階段
[00:02:00.200 --> 00:02:03.200]  但是在這個不存在希望的階段裏面
[00:02:03.200 --> 00:02:09.200]  他們又沒有失去侍奉的功課
[00:02:09.200 --> 00:02:11.200]  他做足一切所有的律例
[00:02:11.200 --> 00:02:14.200]  仍然在上帝面前祈禱敬拜
