
[00:00:00.000 --> 00:00:02.000]  和您在這裡打個招呼
[00:00:02.000 --> 00:00:04.000]  我們很感恩能夠一起去敬拜
[00:00:04.000 --> 00:00:08.000]  能夠一起去學習神的話語
[00:00:08.000 --> 00:00:09.000]  都是一個恩典
[00:00:09.000 --> 00:00:10.000]  我們同心禱告
[00:00:10.000 --> 00:00:14.000]  天父求您的說話去光照我們
[00:00:14.000 --> 00:00:15.000]  提醒我們
[00:00:15.000 --> 00:00:18.000]  以致我們的生命被您的話語去改變
[00:00:18.000 --> 00:00:20.000]  我們恭敬仰望等候您
[00:00:20.000 --> 00:00:22.000]  奉主名求
[00:00:22.000 --> 00:00:23.000]  阿門
[00:00:23.000 --> 00:00:28.000]  我小時候很喜歡看金庸的武俠小說
[00:00:29.000 --> 00:00:32.000]  有兩個角色是我很深印象
[00:00:32.000 --> 00:00:35.000]  第一個角色就是在《少敖江湖》裏面
[00:00:35.000 --> 00:00:37.000]  有一個人叫岳不群
[00:00:37.000 --> 00:00:41.000]  岳不群是華山派的掌門人
[00:00:41.000 --> 00:00:42.000]  武功高強
[00:00:42.000 --> 00:00:46.000]  他叫在正派的十大高手之一
[00:00:46.000 --> 00:00:51.000]  《少敖江湖》的主角就是令狐沖
[00:00:51.000 --> 00:00:53.000]  令狐沖的師父就是岳不群
[00:00:53.000 --> 00:00:55.000]  他養育他
[00:00:55.000 --> 00:00:56.000]  教他武功
[00:00:56.000 --> 00:00:58.000]  是他的恩師
[00:00:59.000 --> 00:01:02.000]  在這本書裏面形容岳不群
[00:01:02.000 --> 00:01:06.000]  他的形容出場是很震撼的
[00:01:06.000 --> 00:01:08.000]  他說面如灌玉
[00:01:08.000 --> 00:01:10.000]  一念正氣
[00:01:10.000 --> 00:01:13.000]  令人心中景仰之情
[00:01:13.000 --> 00:01:14.000]  猶豫而生
[00:01:14.000 --> 00:01:17.000]  岳不群是一代宗師
[00:01:17.000 --> 00:01:18.000]  他明辨是非
[00:01:18.000 --> 00:01:20.000]  滿口仁義道德
[00:01:20.000 --> 00:01:22.000]  所以在正派裏面
[00:01:22.000 --> 00:01:23.000]  在江湖裏面
[00:01:23.000 --> 00:01:26.000]  有一個綽號叫君子劍
[00:01:26.000 --> 00:01:27.000]  岳不群
[00:01:27.000 --> 00:01:30.000]  原來其實岳不群的為人
[00:01:30.000 --> 00:01:32.000]  是非常陰險
[00:01:32.000 --> 00:01:35.000]  和非常奸詐
[00:01:35.000 --> 00:01:37.000]  他為了拿武林秘笈
[00:01:37.000 --> 00:01:39.000]  叫辟邪劍譜
[00:01:39.000 --> 00:01:41.000]  他竟然去殺害
[00:01:41.000 --> 00:01:43.000]  去暗殺那些武林同道
[00:01:43.000 --> 00:01:47.000]  暗殺恆生派的定閒師太
[00:01:47.000 --> 00:01:48.000]  定日師太
[00:01:48.000 --> 00:01:51.000]  他為了權力
[00:01:51.000 --> 00:01:53.000]  他要將五岳劍派合一
[00:01:53.000 --> 00:01:55.000]  合併五岳劍派
[00:01:55.000 --> 00:01:58.000]  成為五岳劍派的新掌門
[00:01:58.000 --> 00:02:00.000]  成為武林盟主
[00:02:00.000 --> 00:02:02.000]  他無所不用其極
[00:02:02.000 --> 00:02:03.000]  害死他太太
[00:02:03.000 --> 00:02:04.000]  害死他的女兒
[00:02:04.000 --> 00:02:08.000]  所以岳不群這個所謂君子劍
[00:02:08.000 --> 00:02:10.000]  是一個偽君子
[00:02:10.000 --> 00:02:12.000]  他表裡不一
