
[00:00:00.000 --> 00:00:01.800]  各位大仙姐妹新年快樂
[00:00:01.800 --> 00:00:07.820]  我們到了新一年往往都會有些commitment
[00:00:07.820 --> 00:00:10.740]  我們有的會立志做一些事情
[00:00:10.740 --> 00:00:13.120]  其實在我們看到
[00:00:13.120 --> 00:00:16.160]  今年一開始的時候
[00:00:16.160 --> 00:00:18.340]  如果大家留意國際新聞
[00:00:18.340 --> 00:00:19.800]  都留意到
[00:00:19.800 --> 00:00:22.960]  第一個星期有飛機失事
[00:00:22.960 --> 00:00:27.000]  其實飛機的安全
[00:00:27.000 --> 00:00:30.580]  都是一個飛機旅遊行業的一個commitment
[00:00:30.580 --> 00:00:33.200]  如果看回一些報告
[00:00:33.200 --> 00:00:34.820]  一些新聞報告的時候
[00:00:34.820 --> 00:00:39.120]  就原來我們就算對上一次日本航空公司發生的意外
[00:00:39.120 --> 00:00:41.180]  很嚴重的40多年前的意外
[00:00:41.180 --> 00:00:44.060]  是很多人傷身
[00:00:44.060 --> 00:00:49.400]  但是今年的今次一月頭的那個禮拜的意外當中
[00:00:49.400 --> 00:00:51.240]  他們疏散得很快
[00:00:51.240 --> 00:00:53.980]  因為我們飛機行業那裡
[00:00:53.980 --> 00:00:56.440]  我自己以前都是做飛機友的研究
[00:00:56.440 --> 00:01:00.520]  當你飛機有燃燒的時候
[00:01:00.520 --> 00:01:03.640]  你給不夠氧氣空氣的時候
[00:01:03.640 --> 00:01:06.120]  就會那些氣味很臭
[00:01:06.120 --> 00:01:08.880]  大家都可能以前都用過火水
[00:01:08.880 --> 00:01:10.780]  以前70年代80年代
[00:01:10.780 --> 00:01:12.180]  家裡用火水爐
[00:01:12.180 --> 00:01:14.440]  如果不夠氧氣燒火水的時候
[00:01:14.440 --> 00:01:16.460]  不夠氣味很難聞
[00:01:16.460 --> 00:01:18.200]  但是我們看到原來
[00:01:18.200 --> 00:01:19.560]  看回一些新聞
[00:01:19.560 --> 00:01:21.560]  一些報告我們還不知道
[00:01:21.560 --> 00:01:24.440]  長程的意外報告還沒出
[00:01:24.440 --> 00:01:27.480]  但是我們看到原來這個飛機行業
[00:01:27.480 --> 00:01:29.700]  他們在幾十年間
[00:01:29.700 --> 00:01:32.220]  70年代開始至80年代開始
[00:01:32.220 --> 00:01:36.180]  他已經在這件飛機航空的旅程上面
[00:01:36.180 --> 00:01:38.220]  怎樣去疏散
[00:01:38.220 --> 00:01:40.140]  那些乘客
[00:01:40.140 --> 00:01:42.480]  他用了很短的時間疏散乘客
[00:01:42.480 --> 00:01:43.520]  怎樣去教導
[00:01:43.520 --> 00:01:45.000]  有意外的時候
[00:01:45.000 --> 00:01:46.520]  可不可以去收拾行李
[00:01:46.520 --> 00:01:49.160]  拿走自己最寶貴的東西
[00:01:49.160 --> 00:01:50.800]  帶走那些自己下機呢
[00:01:50.800 --> 00:01:51.440]  不會
[00:01:51.440 --> 00:01:53.880]  他用很短的時間疏散到
[00:01:53.880 --> 00:01:55.720]  我們看到原來
[00:01:55.720 --> 00:02:02.000]  當一個群組願意去做一個承諾
[00:02:02.000 --> 00:02:04.280]  去做一件事情的時候
[00:02:04.280 --> 00:02:08.800]  如果聽眾是受教的話
[00:02:08.800 --> 00:02:13.960]  後果的結果是會完全不同
[00:02:13.960 --> 00:02:20.080]  我們就藉著這次的聖經的話語當中
[00:02:20.080 --> 00:02:21.880]  去思考一個問題
[00:02:21.880 --> 00:02:24.000]  我們做門徒的
[00:02:24.000 --> 00:02:29.040]  在新年裡面應該做一些什麼的承諾
[00:02:29.040 --> 00:02:32.280]  應該要立志去做些什麼
[00:02:32.280 --> 00:02:34.920]  我們看聖經的話語當中
[00:02:34.920 --> 00:02:37.960]  馬可福音是很精彩的
[00:02:37.960 --> 00:02:41.040]  當我來到教會侍奉的時候
[00:02:41.040 --> 00:02:42.200]  我就問下牧師
[00:02:42.200 --> 00:02:46.880]  大家說到港島說什麼好
[00:02:46.880 --> 00:02:51.000]  我就提議說馬可福音或者羅馬書
[00:02:51.000 --> 00:02:55.840]  當時就決定了羅馬書
[00:02:55.840 --> 00:02:59.720]  現在我這期就跟大家說馬可福音的時候
[00:02:59.720 --> 00:03:02.360]  馬可福音就看到門徒
[00:03:02.360 --> 00:03:05.280]  怎樣去跟著耶穌的成長的時候
[00:03:05.280 --> 00:03:07.720]  他們所見所聞
[00:03:07.720 --> 00:03:08.880]  他們的回應
[00:03:08.880 --> 00:03:12.040]  去到針鋒相對
[00:03:12.040 --> 00:03:13.920]  上個主日我們看到十一章的時候
[00:03:13.920 --> 00:03:17.320]  都很責心的那個港島
[00:03:17.320 --> 00:03:26.360]  為什麼那些宗教領袖可以將崇拜變成本末倒置
[00:03:26.360 --> 00:03:29.040]  去敬拜自己呢
[00:03:29.040 --> 00:03:30.120]  這裡繼續下去
[00:03:30.120 --> 00:03:31.480]  十二章一開始的時候
[00:03:31.480 --> 00:03:34.280]  這個對話繼續跟民事法律賽人
[00:03:34.280 --> 00:03:37.840]  跟這些宗教領袖的對質繼續下去
[00:03:37.840 --> 00:03:40.320]  就說到有玄湖的比喻
[00:03:40.320 --> 00:03:43.960]  說到有看到婚姻
[00:03:43.960 --> 00:03:47.600]  或者是去到第二十八節的時候
[00:03:47.600 --> 00:03:51.600]  他就跟民事在那邊問辯論
[00:03:51.600 --> 00:03:55.280]  究竟民事就說你回答得好
[00:03:55.280 --> 00:03:58.200]  你之前跟他們的辯論答得好
[00:03:58.200 --> 00:04:03.280]  民事就問他
[00:04:03.280 --> 00:04:11.920]  問耶穌在誡命當中哪一條是第一要緊的事情
[00:04:11.920 --> 00:04:14.120]  他說耶穌就回答他了
[00:04:14.120 --> 00:04:15.400]  第一要緊的事情就是
[00:04:15.400 --> 00:04:17.160]  以色列說你要聽
[00:04:17.160 --> 00:04:21.120]  主我們的神是獨一的主
[00:04:21.120 --> 00:04:26.280]  你要盡心盡性盡意盡力愛主你的神
[00:04:26.280 --> 00:04:29.520]  其次就是要愛人如己
[00:04:29.520 --> 00:04:33.720]  再沒有比這兩條誡命更加大
[00:04:33.720 --> 00:04:36.120]  所以我們在新年的時候我們思考
[00:04:36.120 --> 00:04:39.240]  我們主耶穌基督祂自己的說話
[00:04:39.240 --> 00:04:42.640]  給我們最大的誡命就是這條
[00:04:42.640 --> 00:04:46.320]  盡心盡力愛我們的神
[00:04:46.320 --> 00:04:48.520]  其次就是愛人如己
[00:04:48.520 --> 00:04:50.160]  那你猜民事是否明白
[00:04:50.160 --> 00:04:51.880]  他說民事那位就說
[00:04:51.880 --> 00:04:53.960]  行 我知道
[00:04:53.960 --> 00:04:55.560]  經常都這樣說的
[00:04:55.560 --> 00:04:56.640]  聖經這麼熟悉
