
[00:00:00.000 --> 00:00:07.000]  我們分享的題目是「周六崇拜五週年的十年展望」
[00:00:07.000 --> 00:00:12.000]  如果大家有些人在我們當中有第一個崇拜到現在都在
[00:00:12.000 --> 00:00:14.000]  你會發現去到今年的十一月
[00:00:14.000 --> 00:00:18.000]  我們已經是五歲的生日
[00:00:18.000 --> 00:00:20.000]  五歲是一個很關鍵的時候
[00:00:20.000 --> 00:00:25.000]  即是做了五年你都知道其實我可以活下去的
[00:00:25.000 --> 00:00:31.000]  但是就在這樣的時候教會需要有一個方向
[00:00:31.000 --> 00:00:33.000]  或者我們自己一個崇拜的群體
[00:00:33.000 --> 00:00:36.000]  因為如果你沒有了一個方向感
[00:00:36.000 --> 00:00:38.000]  你就會說我們都有班人在這裏
[00:00:38.000 --> 00:00:40.000]  大家都幾次很熟絡
[00:00:40.000 --> 00:00:44.000]  經常都繞著一個地方在這裏轉
[00:00:44.000 --> 00:00:46.000]  你就欠缺了一個方向
[00:00:46.000 --> 00:00:49.000]  每間教會需要方向
[00:00:49.000 --> 00:00:52.000]  明年我們教會公理堂整體是140週年
[00:00:52.000 --> 00:00:54.000]  也都需要一個方向
[00:00:54.000 --> 00:00:56.000]  是很容易迷失
[00:00:56.000 --> 00:00:58.000]  我很喜歡這個logo
[00:00:58.000 --> 00:01:00.000]  這個logo是X29
[00:01:00.000 --> 00:01:03.000]  是美國的一個教會的機構
[00:01:03.000 --> 00:01:07.000]  X如果大家知道就是試圖行轉
[00:01:07.000 --> 00:01:13.000]  它的網絡機構叫做X29
[00:01:13.000 --> 00:01:15.000]  試圖行轉第29章
[00:01:15.000 --> 00:01:19.000]  大家知不知道試圖行轉第29章講什麼
[00:01:19.000 --> 00:01:22.000]  是沒有這一章的
[00:01:22.000 --> 00:01:24.000]  試圖行轉只有28章
[00:01:24.000 --> 00:01:27.000]  那為什麼這個機構叫試圖行轉第29章
[00:01:27.000 --> 00:01:29.000]  29章就是你和我的故事
[00:01:29.000 --> 00:01:33.000]  是我們在教會使命裏面的一個延續
[00:01:33.000 --> 00:01:35.000]  今天的教會有一個使命
[00:01:35.000 --> 00:01:39.000]  那個使命和剛才Samuel和我們分享的
[00:01:39.000 --> 00:01:42.000]  和在《新的聖經》裏面
[00:01:42.000 --> 00:01:44.000]  試圖行轉裏面的現象是一樣
[00:01:44.000 --> 00:01:47.000]  我們一定需要向前望
[00:01:47.000 --> 00:01:53.000]  我想用七個星期的時間和大家分享
[00:01:53.000 --> 00:01:55.000]  我們前面
[00:01:55.000 --> 00:01:58.000]  我們去展望十年
[00:01:58.000 --> 00:02:00.000]  十年之後的我們
[00:02:00.000 --> 00:02:03.000]  我們想會成為一個怎樣的教會
[00:02:03.000 --> 00:02:05.000]  今天是一個大圖畫式
[00:02:05.000 --> 00:02:07.000]  接著由下個星期開始
[00:02:07.000 --> 00:02:10.000]  每個星期我想找一個
[00:02:10.000 --> 00:02:14.000]  我們很重要的核心的一些事工
[00:02:14.000 --> 00:02:15.000]  接著去展望
[00:02:15.000 --> 00:02:17.000]  我們可不可以想像我們十年之後
[00:02:17.000 --> 00:02:20.000]  我們的事工會是一個怎樣的事工呢
[00:02:20.000 --> 00:02:22.000]  那我先讀一讀那些題目
