
[00:00:00.000 --> 00:00:07.000]  基督徒的靈命,我們經常覺得是逆水行舟
[00:00:07.000 --> 00:00:10.000]  逆水行舟即是甚麼意思?
[00:00:10.000 --> 00:00:14.000]  非進就則退
[00:00:14.000 --> 00:00:16.000]  基督徒的靈命其實是這樣的
[00:00:16.000 --> 00:00:19.000]  逆水行舟,非進則退
[00:00:19.000 --> 00:00:26.000]  我記得很多年前和朋友去玩獨木舟
[00:00:26.000 --> 00:00:29.000]  我忘了是西貢還是哪裡,玩獨木舟
[00:00:29.000 --> 00:00:33.000]  有人玩過獨木舟嗎?
[00:00:33.000 --> 00:00:40.000]  當時不太懂,想著乘風破浪逆流而上
[00:00:40.000 --> 00:00:42.000]  結果是怎樣呢?
[00:00:42.000 --> 00:00:46.000]  差點震得那裡開花了
[00:00:46.000 --> 00:00:48.000]  原來不是的
[00:00:48.000 --> 00:00:52.000]  玩獨木舟要乘風乘浪
[00:00:52.000 --> 00:00:55.000]  要按著波浪去爬
[00:00:55.000 --> 00:00:58.000]  否則會震得不停
[00:00:58.000 --> 00:01:01.000]  需要乘風乘浪
[00:01:01.000 --> 00:01:05.000]  逆流而上比較難
[00:01:05.000 --> 00:01:10.000]  很多時候控制得不好就會隨波逐流
[00:01:10.000 --> 00:01:12.000]  不知道飄到哪裡
[00:01:12.000 --> 00:01:14.000]  我那時候不知道飄到哪裡
[00:01:14.000 --> 00:01:17.000]  突然沒有了,很害怕
[00:01:17.000 --> 00:01:19.000]  不知道你有沒有試過
[00:01:19.000 --> 00:01:24.000]  在人生當中有時候會遇到波浪逆流
[00:01:24.000 --> 00:01:29.000]  到底你是會隨波逐流飄來飄去
[00:01:29.000 --> 00:01:33.000]  還是死撐地上呢?
[00:01:33.000 --> 00:01:35.000]  如果你要逆流而上
[00:01:35.000 --> 00:01:38.000]  有沒有人幫你逆流而上呢?
[00:01:38.000 --> 00:01:41.000]  還是你自己很辛苦地去做呢?
[00:01:41.000 --> 00:01:45.000]  這個我們生命當中很多時候都體驗得到
[00:01:45.000 --> 00:01:47.000]  不知道你們有沒有去過一個地方
[00:01:47.000 --> 00:01:50.000]  叫做白聖灘
[00:01:50.000 --> 00:01:52.000]  白聖灘有沒有人去過?
[00:01:52.000 --> 00:01:54.000]  馬尼拉的白聖灘
[00:01:54.000 --> 00:01:58.000]  馬尼拉的白聖灘叫做急流瀑布
[00:01:58.000 --> 00:02:01.000]  佛州還是梵州?
[00:02:01.000 --> 00:02:03.000]  有沒有人去過這裡?
[00:02:03.000 --> 00:02:06.000]  如果你去東南亞,去菲律賓就去過
[00:02:06.000 --> 00:02:11.000]  當然這段時間人們不太喜歡去菲律賓
[00:02:11.000 --> 00:02:13.000]  因為有些過去的歷史
[00:02:13.000 --> 00:02:15.000]  但以前真的很多人去
[00:02:15.000 --> 00:02:17.000]  去到菲律賓有一個很出名的景點
[00:02:17.000 --> 00:02:21.000]  這個白聖灘其實是一個山谷
[00:02:21.000 --> 00:02:24.000]  裡面有瀑布和潭
[00:02:24.000 --> 00:02:30.000]  其實是一個迂迴曲折的河道
[00:02:30.000 --> 00:02:32.000]  兩邊有些岩石
[00:02:32.000 --> 00:02:36.000]  我還記得那時候要上去這個
[00:02:36.000 --> 00:02:38.000]  它最後的景點其實是一個瀑布
[00:02:38.000 --> 00:02:39.000]  在山上
[00:02:39.000 --> 00:02:42.000]  所以在山上瀑布的時候就一直衝下來
[00:02:42.000 --> 00:02:47.000]  我們佛州就在下面的小船走上去
[00:02:47.000 --> 00:02:49.000]  走上去那個瀑布
[00:02:49.000 --> 00:02:53.000]  可以先回到之前那一張
[00:02:53.000 --> 00:02:57.000]  那時候我記得要上去那個瀑布
[00:02:57.000 --> 00:02:58.000]  我就坐在舟上
[00:02:58.000 --> 00:03:03.000]  有兩個大隻佬把舟推上去
[00:03:03.000 --> 00:03:06.000]  最初那隻小船都緩緩而上
[00:03:06.000 --> 00:03:09.000]  但去到一段時間那些激流很厲害
[00:03:09.000 --> 00:03:12.000]  基本上如果沒有人幫你
[00:03:12.000 --> 00:03:14.000]  你就衝下去了
[00:03:14.000 --> 00:03:15.000]  奇怪的時候
[00:03:15.000 --> 00:03:18.000]  為什麼會有兩個大隻佬在那裡
[00:03:18.000 --> 00:03:20.000]  又不是給我一支棒
