
[00:00:00.000 --> 00:00:01.560]  迎向挑戰
[00:00:01.560 --> 00:00:05.440]  我們今天channel是一個教會
[00:00:05.440 --> 00:00:07.800]  我們開始要慢慢去成立
[00:00:07.800 --> 00:00:09.800]  教會其實是甚麼呢?
[00:00:09.800 --> 00:00:12.500]  教會是一群人
[00:00:12.500 --> 00:00:15.000]  不是一個地方
[00:00:15.000 --> 00:00:17.700]  昨晚我們在傳教裏也說了一件事
[00:00:17.700 --> 00:00:19.400]  其實我們最重要的是甚麼呢?
[00:00:19.400 --> 00:00:22.000]  不是那個組織是怎樣
[00:00:22.000 --> 00:00:24.900]  最重要的是這群弟兄姊妹走在一起
[00:00:24.900 --> 00:00:26.900]  我們有同一個信仰
[00:00:27.700 --> 00:00:33.100]  因為我們大家都是在耶穌基督的救贖底下
[00:00:33.100 --> 00:00:35.300]  我們就成為了一間教會
[00:00:35.300 --> 00:00:37.700]  教會其實就是一群信徒
[00:00:37.700 --> 00:00:40.500]  但要建立一間教會的過程裏面
[00:00:40.500 --> 00:00:43.300]  我就嘗試和你們分享
[00:00:43.300 --> 00:00:44.900]  透過這個時代行傳裏面
[00:00:44.900 --> 00:00:48.100]  透過了六樣的挑戰在裏面
[00:00:48.100 --> 00:00:50.300]  六大樣的挑戰
[00:00:50.300 --> 00:00:53.300]  如果你記得每一次都有一個總的題目在裏面
[00:00:53.300 --> 00:00:56.700]  第一個題目就叫做等候聖靈
[00:00:56.700 --> 00:00:58.300]  第一個挑戰是甚麼呢?
[00:00:58.300 --> 00:01:00.500]  就很明顯地
[00:01:00.500 --> 00:01:04.300]  就是等候是一個難關
[00:01:04.300 --> 00:01:07.500]  因為每一次我們要等候上帝做事是很難
[00:01:07.500 --> 00:01:09.300]  這是第一次要學
[00:01:09.300 --> 00:01:10.300]  我不詳細解釋
[00:01:10.300 --> 00:01:12.700]  有機會你可以聽回講道裏面的細節
[00:01:12.700 --> 00:01:15.700]  第二個就是神跡天天有
[00:01:15.700 --> 00:01:16.700]  有一個問話在裏面
[00:01:16.700 --> 00:01:20.700]  即是說其實神每一天都在行神跡
[00:01:20.700 --> 00:01:23.900]  最大的問題就是在人的行為
[00:01:23.900 --> 00:01:25.500]  和我們認識上帝的時候
[00:01:25.500 --> 00:01:27.100]  我們不認識到祂清楚
[00:01:27.100 --> 00:01:28.700]  我們的心有時候是硬的
