
[00:00:00.000 --> 00:00:04.540]  在兩樣完全不同的範圍那裏
[00:00:04.540 --> 00:00:09.660]  它點破了我們人一直迷信的一樣東西
[00:00:09.660 --> 00:00:12.060]  我們應該做些什麼
[00:00:12.060 --> 00:00:13.560]  我們應該要
[00:00:13.560 --> 00:00:15.460]  怎樣來行
[00:00:15.460 --> 00:00:17.840]  然後我可以賺到
[00:00:17.840 --> 00:00:19.380]  我的永生
[00:00:19.380 --> 00:00:23.520]  完全就是那個年輕的官問的問題
[00:00:23.520 --> 00:00:25.940]  因爲年輕的官問了
[00:00:25.940 --> 00:00:29.440]  他沒了結案 沒了答案 他就走了
[00:00:29.440 --> 00:00:38.380]  而問出的問題並不比當時的年輕的官深入或者好得多
[00:00:38.380 --> 00:00:39.280]  完全不是
[00:00:39.280 --> 00:00:40.960]  問回同樣的問題
[00:00:40.960 --> 00:00:44.200]  而耶穌要藉着葡萄園的比喻說
[00:00:44.200 --> 00:00:48.960]  由頭到尾 由被揀到可以得到工資
[00:00:48.960 --> 00:00:51.460]  那個不是一個工價
[00:00:51.460 --> 00:00:56.960]  你不是因爲你做了13個小時所以你一定要得到這一錢
[00:00:57.800 --> 00:01:00.740]  你能夠被照入這個葡萄園
[00:01:00.740 --> 00:01:04.460]  完全就是一個恩典
[00:01:04.460 --> 00:01:09.620]  所以他說人 耶穌的回答
[00:01:09.620 --> 00:01:12.860]  人爲神做任何一樣東西
[00:01:12.860 --> 00:01:15.860]  他都知道的 現在知道得清清楚楚
[00:01:15.860 --> 00:01:20.820]  這個是他開始用第一第二點來回答彼得的原因
[00:01:20.820 --> 00:01:25.000]  就說你爲我放下所有的 你將來得到的百倍
[00:01:25.420 --> 00:01:27.900]  你今天爲我一起征戰的
[00:01:27.900 --> 00:01:29.900]  明天你和我一起就得到榮耀
[00:01:29.900 --> 00:01:33.480]  這個耶穌是先肯定了
[00:01:33.480 --> 00:01:39.400]  就是說一定上帝不會忘記
[00:01:39.400 --> 00:01:42.200]  但是他同樣強調的
[00:01:42.200 --> 00:01:47.700]  就是說今天你能夠爲上帝工作
[00:01:47.700 --> 00:01:50.240]  或者是捨棄
[00:01:50.240 --> 00:01:54.840]  因爲上帝先揀選了你
[00:01:54.840 --> 00:01:56.840]  你纔有這個機會
[00:01:56.840 --> 00:02:01.580]  而那個揀選是絕對白白的揀選
[00:02:01.580 --> 00:02:03.580]  一個free choice
[00:02:03.580 --> 00:02:07.560]  上帝對你的完全是自由的揀選
[00:02:07.560 --> 00:02:12.600]  我們都記得彼得曾經說過
[00:02:12.600 --> 00:02:16.960]  他說你們 唯有你們是被揀選的族類
[00:02:16.960 --> 00:02:22.380]  是有軍專的祭祀
[00:02:22.380 --> 00:02:24.740]  是聖潔的子民
[00:02:25.700 --> 00:02:27.700]  那個揀選就是行頭的
[00:02:27.700 --> 00:02:30.660]  什麼事會揀選 揀到我 揀到你
[00:02:30.660 --> 00:02:33.140]  你自己回去想一想
[00:02:33.140 --> 00:02:37.020]  回去算一算 回去嘗試點一下你的存貨
[00:02:37.020 --> 00:02:39.020]  take a stock
[00:02:39.020 --> 00:02:43.040]  有什麼地方你認爲你非要被揀選不可
[00:02:43.040 --> 00:02:46.620]  什麼地方你認爲
[00:02:46.620 --> 00:02:49.220]  上帝不揀選你就是他的損失
[00:02:49.220 --> 00:02:51.220]  你回去算一算看有沒有
[00:02:51.220 --> 00:02:53.220]  當你找不到 算不到的時候
[00:02:53.220 --> 00:02:55.220]  你知道唯一的答案就是
[00:02:55.220 --> 00:02:58.360]  沒錯 我們所有能夠蒙揀選
[00:02:58.360 --> 00:03:00.360]  只因爲
[00:03:00.360 --> 00:03:02.360]  他的恩典
[00:03:02.360 --> 00:03:05.660]  不是因爲我們那裏任何一個的條件
[00:03:05.660 --> 00:03:10.960]  這個正是彼得的問題一個最突壓的地方
[00:03:10.960 --> 00:03:12.960]  彼得的問題就是我們爲你
[00:03:12.960 --> 00:03:14.960]  犧牲了父母 兄弟 姐妹
[00:03:14.960 --> 00:03:18.960]  我們所有這麼多的東西
[00:03:18.960 --> 00:03:20.960]  就好像我現在
[00:03:20.960 --> 00:03:23.960]  就像存款存入那個銀行那樣
[00:03:23.960 --> 00:03:25.960]  存入那個天國銀行
[00:03:25.960 --> 00:03:27.960]  我現在存入了
[00:03:27.960 --> 00:03:29.960]  我想請問到時的利息是怎樣
[00:03:29.960 --> 00:03:32.960]  本金歸還的時候有些什麼
[00:03:32.960 --> 00:03:34.960]  我是不是可以憑着我這個存摺
[00:03:34.960 --> 00:03:36.960]  我這個善功的存摺
[00:03:36.960 --> 00:03:38.960]  慈善工作的存摺
[00:03:38.960 --> 00:03:42.960]  我可以進入天堂
[00:03:42.960 --> 00:03:44.960]  我可以在你上面那裏
[00:03:44.960 --> 00:03:46.960]  天國那裏
[00:03:46.960 --> 00:03:48.960]  謀取一些的職位
[00:03:48.960 --> 00:03:50.960]  一些的榮耀
[00:03:50.960 --> 00:03:52.960]  耶穌說
[00:03:52.960 --> 00:03:54.960]  你所有爲我放棄的
[00:03:54.960 --> 00:03:56.960]  我都知道
[00:03:56.960 --> 00:03:58.960]  我會百倍的給你
[00:03:58.960 --> 00:04:00.960]  但是你問的問題
[00:04:00.960 --> 00:04:02.960]  問錯了 你剛剛所反映的
[00:04:02.960 --> 00:04:04.960]  就是exactly
[00:04:04.960 --> 00:04:06.960]  好像那個年輕的觀衆一樣
[00:04:06.960 --> 00:04:08.960]  這個是爲什麼他用那個
[00:04:08.960 --> 00:04:10.960]  在前要在後
[00:04:10.960 --> 00:04:12.960]  在後要在前你回答的原因
[00:04:12.960 --> 00:04:14.960]  但是還有一樣東西更加重要
[00:04:14.960 --> 00:04:16.960]  還有一樣東西可能是
[00:04:16.960 --> 00:04:18.960]  整個比喻
[00:04:18.960 --> 00:04:20.960]  是這一點
[00:04:20.960 --> 00:04:22.960]  讓我們
[00:04:22.960 --> 00:04:24.960]  整個的瞭解是完全不同的
[00:04:24.960 --> 00:04:26.960]  如果說我們
[00:04:26.960 --> 00:04:28.960]  爲上帝所做的
[00:04:28.960 --> 00:04:30.960]  每樣我們都根根計較的
[00:04:30.960 --> 00:04:32.960]  就說我爲你放棄了這件事
[00:04:32.960 --> 00:04:34.960]  我剩下什麼呢
[00:04:34.960 --> 00:04:38.960]  那我們就好像
[00:04:38.960 --> 00:04:40.960]  一個家奴
[00:04:40.960 --> 00:04:42.960]  我們所做的
[00:04:42.960 --> 00:04:44.960]  就不像一個兒子
[00:04:44.960 --> 00:04:46.960]  在
[00:04:46.960 --> 00:04:48.960]  父家所做的
[00:04:48.960 --> 00:04:50.960]  那我知道
[00:04:50.960 --> 00:04:52.960]  在現代家庭我們慢慢很喜歡
[00:04:52.960 --> 00:04:54.960]  就學了外國
[00:04:54.960 --> 00:04:56.960]  一些的方法
[00:04:56.960 --> 00:04:58.960]  就是我們有一個表
[00:04:58.960 --> 00:05:00.960]  你做這些家務
[00:05:00.960 --> 00:05:02.960]  於是我就給你多少錢
[00:05:02.960 --> 00:05:04.960]  是不是
[00:05:04.960 --> 00:05:06.960]  我不是很sure這一種是
[00:05:06.960 --> 00:05:08.960]  很好的一種的家庭教育
[00:05:08.960 --> 00:05:10.960]  就是說你
[00:05:10.960 --> 00:05:12.960]  掃地五塊
[00:05:12.960 --> 00:05:14.960]  沖廁所
[00:05:14.960 --> 00:05:16.960]  明明他應該衝的
[00:05:16.960 --> 00:05:18.960]  那我們說由五號
[00:05:18.960 --> 00:05:20.960]  那我們將這些全部變成
[00:05:20.960 --> 00:05:22.960]  我們說讓他知道
[00:05:22.960 --> 00:05:24.960]  錢是要賺的
[00:05:24.960 --> 00:05:26.960]  但是從誰那裏賺回來
[00:05:26.960 --> 00:05:28.960]  就是從他自己的家
[00:05:28.960 --> 00:05:30.960]  他明明自己應該做的
[00:05:30.960 --> 00:05:32.960]  我們說掃牀
[00:05:32.960 --> 00:05:34.960]  那你睡的牀你要掃回來
[00:05:34.960 --> 00:05:36.960]  我們說由兩塊
[00:05:36.960 --> 00:05:38.960]  那這個在昔日
[00:05:38.960 --> 00:05:40.960]  或者甚至在今天
[00:05:40.960 --> 00:05:42.960]  是這樣計算的
[00:05:42.960 --> 00:05:44.960]  是不是
[00:05:44.960 --> 00:05:46.960]  你和我洗車
[00:05:46.960 --> 00:05:48.960]  每月多給二百塊
[00:05:48.960 --> 00:05:50.960]  你和我做這一樣
[00:05:50.960 --> 00:05:52.960]  我們又多多少
[00:05:52.960 --> 00:05:54.960]  那每樣論件
[00:05:54.960 --> 00:05:56.960]  案件論籌
[00:05:56.960 --> 00:05:58.960]  這些叫做
[00:05:58.960 --> 00:06:00.960]  是不是
[00:06:00.960 --> 00:06:02.960]  好像一個工人
[00:06:02.960 --> 00:06:04.960]  在工廠的生產間
[00:06:04.960 --> 00:06:06.960]  也都好像昔日的那些家務
[00:06:06.960 --> 00:06:08.960]  今天的費用
[00:06:08.960 --> 00:06:10.960]  這個正是
[00:06:10.960 --> 00:06:12.960]  上帝不想的
[00:06:12.960 --> 00:06:16.960]  他一直對我們是一個
[00:06:16.960 --> 00:06:18.960]  兒子
[00:06:18.960 --> 00:06:20.960]  一個親愛的兒子
[00:06:20.960 --> 00:06:22.960]  不是一個論件
[00:06:22.960 --> 00:06:24.960]  案件論籌的
[00:06:24.960 --> 00:06:26.960]  一個家務
[00:06:26.960 --> 00:06:30.960]  所以如果我們
[00:06:30.960 --> 00:06:32.960]  是按住那個報酬
[00:06:32.960 --> 00:06:34.960]  我將來可以得什麼
[00:06:34.960 --> 00:06:36.960]  有些就不想那麼遠了
[00:06:36.960 --> 00:06:38.960]  我現在可以得什麼
[00:06:38.960 --> 00:06:40.960]  我爲你做了這些犧牲
