
[00:00:00.000 --> 00:00:02.160]  你有多少財寶呢?
[00:00:02.160 --> 00:00:05.460]  或者簡單問你有多少錢呢?
[00:00:05.460 --> 00:00:07.580]  不用回答的,不過你想一下
[00:00:07.580 --> 00:00:09.920]  你知不知道自己有多少錢呢?
[00:00:09.920 --> 00:00:13.900]  除了你在銀行的錢
[00:00:13.900 --> 00:00:16.120]  你在錢包的錢
[00:00:16.120 --> 00:00:19.560]  錢包括很多東西的嘛
[00:00:19.560 --> 00:00:22.240]  又不只是現金的嘛
[00:00:22.240 --> 00:00:24.960]  可能你有買保險啦
[00:00:24.960 --> 00:00:27.860]  你保險有個戶口的嘛,那些錢來的嘛
[00:00:27.860 --> 00:00:32.160]  你有強積金啦,裡面的錢都是你的
[00:00:32.160 --> 00:00:35.720]  可能你有層樓啦,或者你有部份的樓啦
[00:00:35.720 --> 00:00:37.120]  都值錢的
[00:00:37.120 --> 00:00:39.280]  那你還有很多值錢的東西的
[00:00:39.280 --> 00:00:42.640]  你的股票呀,債券呀,首飾呀
[00:00:42.640 --> 00:00:44.280]  金呀
[00:00:44.280 --> 00:00:49.720]  個人都有些金的嘛,女人都應該有些金的東西
[00:00:49.720 --> 00:00:54.920]  那你家裡都可能有很多東西值錢的
[00:00:54.920 --> 00:00:56.440]  有時你不覺得的
[00:00:56.440 --> 00:00:59.060]  可能你家裡有些很舊的東西都很值錢的
[00:00:59.060 --> 00:01:01.440]  可能你一頁一頁一頁留下來的那些
[00:01:01.440 --> 00:01:02.680]  那你以為沒用
[00:01:02.680 --> 00:01:03.980]  但其實值錢的
[00:01:03.980 --> 00:01:06.000]  我一個朋友以前回鄉下就是了
[00:01:06.000 --> 00:01:09.100]  他在鄉下,家裡有個米缸
[00:01:09.100 --> 00:01:11.340]  米缸很舊的,因為沒錢買新的
[00:01:11.340 --> 00:01:12.280]  所以有人呢
[00:01:12.280 --> 00:01:14.780]  就買了一個塑膠的,紅A的那些
[00:01:14.780 --> 00:01:15.960]  就替他換了個米缸
[00:01:15.960 --> 00:01:17.960]  原來那個米缸康熙年代的
[00:01:17.960 --> 00:01:21.800]  所以呢,舊的東西都可能很值錢的
[00:01:21.800 --> 00:01:24.740]  所以你回去找一找,你家裡有很多東西很值錢的
[00:01:24.740 --> 00:01:26.740]  可能有些幾十年前的郵票
[00:01:26.740 --> 00:01:28.740]  有些郵票值錢的嘛
[00:01:28.740 --> 00:01:30.740]  我們有多少財寶呢
[00:01:30.740 --> 00:01:34.640]  我們有時不是自己想得很清楚的
[00:01:34.640 --> 00:01:38.340]  不單止我們擁有一些財寶
[00:01:38.340 --> 00:01:40.740]  其實我們自己都是我們的財寶來的
[00:01:40.740 --> 00:01:42.740]  你有沒有想過呢
[00:01:42.740 --> 00:01:45.240]  如果今時今日講,你自己都值錢的
[00:01:45.240 --> 00:01:46.240]  是不是?
[00:01:46.240 --> 00:01:47.740]  你有什麼能力呢?
[00:01:47.740 --> 00:01:49.740]  你有什麼經驗呢?
[00:01:49.740 --> 00:01:52.240]  你有什麼學識呢?
[00:01:52.240 --> 00:01:53.740]  這些是值錢的嘛
[00:01:53.740 --> 00:01:56.740]  這些東西是幫你找到工作的嘛
[00:01:56.740 --> 00:01:59.740]  還有你有什麼朋友都值錢的
[00:01:59.740 --> 00:02:02.740]  有些人拼命去認識很多朋友
[00:02:02.740 --> 00:02:04.740]  例如你Facebook add了多少人呢
[00:02:04.740 --> 00:02:06.740]  你將來有商業價值的
[00:02:06.740 --> 00:02:09.740]  即是現在叫social network的marketing
[00:02:09.740 --> 00:02:13.740]  就是因為透過你的Facebook可以接觸到多少人呢
[00:02:13.740 --> 00:02:15.740]  那個是一個價值來的
[00:02:15.740 --> 00:02:17.740]  我們都是一種財寶來的
[00:02:17.740 --> 00:02:20.740]  所以究竟我們有多少財寶呢
[00:02:20.740 --> 00:02:23.740]  我們有沒有很清楚去想過呢
[00:02:23.740 --> 00:02:26.740]  我們怎樣處理這些財寶呢?
[00:02:26.740 --> 00:02:28.740]  我們看看耶穌有什麼提醒
[00:02:28.740 --> 00:02:33.740]  路加福音12章13到34節
[00:02:33.740 --> 00:02:36.740]  我們輪流讀,我們請姐妹先讀
[00:02:36.740 --> 00:02:38.740]  跟著弟兄讀
[00:02:38.740 --> 00:02:41.740]  因為今早,早上我是弟兄先讀的
[00:02:41.740 --> 00:02:43.740]  所以我可以讀另外一半
[00:02:43.740 --> 00:02:45.740]  我和Patrick一起讀
