
[00:00:00.000 --> 00:00:02.720]  今天我們仍然可以慶祝感恩節
[00:00:02.720 --> 00:00:09.800]  在這裡也要補祝大家感恩節快樂
[00:00:09.800 --> 00:00:14.560]  也祝福大家有一個快樂的感恩節
[00:00:14.560 --> 00:00:16.840]  或者各種的聚會
[00:00:16.840 --> 00:00:23.320]  我知道各國的團體或者小組或者家庭
[00:00:23.320 --> 00:00:28.520]  都有各種形式的聚會來慶祝感恩節
[00:00:28.520 --> 00:00:32.880]  如果你有份參與那麼開心快樂的聚會
[00:00:32.880 --> 00:00:34.960]  當然為你感謝神
[00:00:34.960 --> 00:00:38.120]  但是如果你是孤單一人
[00:00:38.120 --> 00:00:40.160]  或者沒有什麼慶祝的
[00:00:40.160 --> 00:00:41.640]  也為你感謝神
[00:00:41.640 --> 00:00:45.080]  因為你總算靠著神的恩典
[00:00:45.080 --> 00:00:50.040]  安然度過了這個節日
[00:00:50.040 --> 00:00:53.000]  聖經說凡事借恩
[00:00:53.000 --> 00:00:55.760]  有時候我們也需要學習
[00:00:55.760 --> 00:00:59.280]  有或沒有、得或失之間
[00:00:59.280 --> 00:01:03.440]  我們也懂得感恩
[00:01:03.440 --> 00:01:08.080]  好了,感恩節究竟是什麼意義呢?
[00:01:08.080 --> 00:01:13.560]  你知不知道感恩節其實是美國人獨有的
[00:01:13.560 --> 00:01:14.600]  你說不是的
[00:01:14.600 --> 00:01:19.160]  好像其他國家也有些人慶祝
[00:01:19.160 --> 00:01:21.440]  其他國家的人
[00:01:21.440 --> 00:01:28.040]  他們是羨慕或者想學美國人這種節日的氣氛
[00:01:28.040 --> 00:01:30.880]  而慶祝感恩節
[00:01:30.880 --> 00:01:33.440]  但是你會發覺現代的人
[00:01:33.440 --> 00:01:35.160]  就算是美國人也好
[00:01:35.160 --> 00:01:38.160]  現代的人對感恩節的意義
[00:01:38.160 --> 00:01:43.920]  是和當初美國人對感恩節的看法
[00:01:43.920 --> 00:01:46.440]  是已經很不同的
[00:01:46.440 --> 00:01:50.160]  當你聽到以下這一段的說話
[00:01:50.160 --> 00:01:52.720]  你就會知道有何分別
[00:01:52.720 --> 00:01:56.880]  我讀一段華盛頓總統
[00:01:56.880 --> 00:01:58.520]  他是美國第一任總統
[00:01:58.520 --> 00:02:04.560]  在1789年感恩節的時候
[00:02:04.560 --> 00:02:08.320]  他向全美國人民致詞的時候
[00:02:08.320 --> 00:02:12.560]  他說了這一段話
[00:02:12.560 --> 00:02:20.640]  所有民族都應份要去承認全能上帝的公認
[00:02:20.640 --> 00:02:23.440]  要服從祂的旨意
[00:02:23.440 --> 00:02:30.000]  要為祂所給的好處來去感恩
[00:02:30.000 --> 00:02:34.440]  而且還要謙卑地懇求祂的保護
[00:02:34.440 --> 00:02:40.320]  祂的幫助和祂的恩惠
[00:02:40.320 --> 00:02:46.800]  這是美國第一任總統說的話
[00:02:46.800 --> 00:02:49.120]  所以你聽完之後你會發覺
[00:02:49.120 --> 00:02:51.280]  大部分現代的人
[00:02:51.280 --> 00:02:52.960]  或者現代的美國人也好
[00:02:52.960 --> 00:02:54.200]  他們都忘記
[00:02:54.200 --> 00:02:56.400]  或者他們甚至不同意
[00:02:56.400 --> 00:02:58.920]  感恩節的意義是這樣的
[00:02:58.920 --> 00:03:01.000]  感恩節對現在很多人來說
[00:03:01.000 --> 00:03:02.800]  只是一個假期
[00:03:02.800 --> 00:03:05.920]  特別是那個黑色星期五
[00:03:05.920 --> 00:03:08.360]  那個購物狂
[00:03:08.360 --> 00:03:11.600]  冒著寒風大雪也好
[00:03:11.600 --> 00:03:14.360]  都要去逼一下要去購物
[00:03:14.360 --> 00:03:15.640]  是一個節日
[00:03:15.640 --> 00:03:18.080]  是一個狂歡的日子
[00:03:18.080 --> 00:03:25.760]  忘記了當初那些立國的人
[00:03:25.760 --> 00:03:31.240]  他們的心願是什麼
[00:03:31.240 --> 00:03:34.080]  不過還好還有
[00:03:34.080 --> 00:03:36.200]  還有一些基督徒
[00:03:36.200 --> 00:03:40.600]  他們發出了一些很正確的呼籲
[00:03:40.600 --> 00:03:42.920]  譬如有一個人說
[00:03:42.920 --> 00:03:45.240]  當你每天早上起床的時候
[00:03:45.240 --> 00:03:48.280]  你能夠用兩隻腳站得直的時候
[00:03:48.280 --> 00:03:52.920]  你應該跪下來感恩
[00:03:52.920 --> 00:03:55.840]  特別到了我們這麼年紀的人
[00:03:55.840 --> 00:04:01.640]  真是要很感受到這件事
[00:04:01.640 --> 00:04:03.560]  又有一個人說
[00:04:03.560 --> 00:04:07.200]  當我開始數算主因的時候
[00:04:07.200 --> 00:04:09.040]  我的生命我的人生
[00:04:09.040 --> 00:04:12.080]  就開始有很大的轉變
[00:04:12.080 --> 00:04:14.040]  真的嗎
[00:04:14.040 --> 00:04:17.120]  真的
[00:04:17.120 --> 00:04:19.640]  特別當你以前你的性格
[00:04:19.640 --> 00:04:23.080]  好像全世界都欠了你的時候
[00:04:23.080 --> 00:04:26.560]  當你轉為開始懂得感恩的時候
[00:04:26.560 --> 00:04:33.560]  你的人生是完全改變
[00:04:33.560 --> 00:04:35.600]  又有一個人這樣說
[00:04:35.600 --> 00:04:38.720]  向神感恩就是表示我們承認
[00:04:38.720 --> 00:04:42.600]  我們仍然是需要依靠神
[00:04:42.600 --> 00:04:47.480]  是不是很真實
[00:04:47.480 --> 00:04:49.000]  又有人說
[00:04:49.000 --> 00:04:53.160]  你向人致謝不單只是一種禮貌
[00:04:53.160 --> 00:04:58.120]  這是表現出你有美好的心靈
[00:04:58.120 --> 00:04:59.800]  很重要
[00:04:59.800 --> 00:05:03.240]  所以我們真的要學習
[00:05:03.240 --> 00:05:05.240]  懂得向人感恩
[00:05:05.240 --> 00:05:09.840]  亦要教小朋友懂得自動自覺地
[00:05:09.840 --> 00:05:11.280]  向別人感恩
[00:05:11.280 --> 00:05:14.400]  Say thank you
[00:05:14.400 --> 00:05:16.800]  因為這不單只是一種禮貌
[00:05:16.800 --> 00:05:17.760]  有好的禮貌
[00:05:17.760 --> 00:05:22.200]  而是表現你有一個美好的心靈
[00:05:22.200 --> 00:05:26.120]  這是很寶貴的
[00:05:26.120 --> 00:05:27.520]  有人說
[00:05:27.520 --> 00:05:36.560]  最深的感恩不是出於你所說出來
