
[00:00:00.000 --> 00:00:02.000]  各位親愛的弟兄姊妹 祝你平安
[00:00:02.000 --> 00:00:04.640]  今天呢
[00:00:04.640 --> 00:00:06.360]  我們來看
[00:00:06.360 --> 00:00:10.480]  獵王紀上的第二十二章就是獵王紀上的最後一章
[00:00:10.480 --> 00:00:11.680]  一到二十八節
[00:00:11.680 --> 00:00:17.440]  想當初的慈禧太后過六十大壽的時候
[00:00:17.440 --> 00:00:19.120]  當然滿朝的文武呢
[00:00:19.120 --> 00:00:20.080]  都挖空心思
[00:00:20.080 --> 00:00:23.960]  想送一份他喜歡的禮物給他
[00:00:23.960 --> 00:00:29.920]  以至於的讓自己被這位當權者欣賞
[00:00:29.940 --> 00:00:34.440]  其中的有一位大臣的他特意的去訂購了一個自鳴鐘
[00:00:34.440 --> 00:00:37.400]  這從康熙時代開始
[00:00:37.400 --> 00:00:42.840]  這個自鳴鐘在中國的宮廷裏面就非常的火爆
[00:00:42.840 --> 00:00:45.760]  他就討喜慈禧
[00:00:45.760 --> 00:00:49.440]  這個自鳴鐘的是可以上面的閣樓呢
[00:00:49.440 --> 00:00:52.760]  到點鐘是出來一個小機器人
[00:00:52.760 --> 00:00:53.520]  而且呢
[00:00:53.520 --> 00:00:56.560]  這機器人手裏面還展開一個紙條
[00:00:56.580 --> 00:01:00.760]  這個紙條上面寫的就是萬壽無疆
[00:01:00.760 --> 00:01:04.840]  他覺得這個禮物應該是很得慈禧太后欣賞
[00:01:04.840 --> 00:01:10.980]  於是他就會去問慈禧太后跟前的紅人就是李蓮英了
[00:01:10.980 --> 00:01:11.680]  小李子
[00:01:11.680 --> 00:01:15.560]  那李蓮英的果真不煩呢
[00:01:15.560 --> 00:01:16.680]  就看出問題來了
[00:01:16.680 --> 00:01:18.360]  說這禮物好是好啊
[00:01:18.360 --> 00:01:21.720]  如果出點故障的話就有點問題了
[00:01:21.720 --> 00:01:27.200]  比如說這小人出來這個紙展到萬壽無那會兒就停下來了
[00:01:27.200 --> 00:01:30.300]  您老人家的身家性命可就完了
[00:01:30.300 --> 00:01:31.800]  說這個太可怕了
[00:01:31.800 --> 00:01:32.160]  哇
[00:01:32.160 --> 00:01:34.080]  這官員真的急出一頭汗了
[00:01:34.080 --> 00:01:35.560]  說這可怎麼辦呢
[00:01:35.560 --> 00:01:38.240]  李蓮英就給他出了個主意
[00:01:38.240 --> 00:01:40.080]  說咱們把這紙條上的字呢
[00:01:40.080 --> 00:01:40.680]  給改了
[00:01:40.680 --> 00:01:43.120]  爲保萬一啊
[00:01:43.120 --> 00:01:45.560]  咱們就寫四個壽字啊
[00:01:45.560 --> 00:01:47.000]  壽壽壽壽
[00:01:47.000 --> 00:01:49.520]  這紙條停在中間
[00:01:49.520 --> 00:01:50.440]  壽壽壽
[00:01:50.440 --> 00:01:51.760]  你也沒事
[00:01:51.760 --> 00:01:53.520]  所以呢
