
[00:00:00.000 --> 00:00:01.920]  今天的講道
[00:00:01.920 --> 00:00:03.200]  那麼這個題目呢
[00:00:03.200 --> 00:00:06.100]  我相信很多人看到也很想聽的
[00:00:06.100 --> 00:00:08.780]  "病得醫治"
[00:00:08.780 --> 00:00:13.900]  那麼其實我一直都不特別講這個題目的
[00:00:13.900 --> 00:00:19.360]  但是看到很多不同的事情在身邊發生
[00:00:19.360 --> 00:00:22.560]  聽到很多不同的人講的事情
[00:00:22.560 --> 00:00:26.420]  所碰到的事情
[00:00:26.420 --> 00:00:30.020]  我覺得是一個時候要講一講這個題目
[00:00:30.020 --> 00:00:31.920]  "病得醫治"
[00:00:31.920 --> 00:00:36.160]  那麼我們也是主要從聖經那裡看回
[00:00:36.160 --> 00:00:39.540]  其實聖經告訴我們的是什麼
[00:00:39.540 --> 00:00:43.220]  來去看這件事情
[00:00:43.220 --> 00:00:44.300]  "病得醫治"
[00:00:44.300 --> 00:00:50.600]  你看到我擺出來的經文第一個是《耶利米蘇三章二十二節》
[00:00:50.600 --> 00:00:53.680]  其實我們現在有手機的程式
[00:00:53.680 --> 00:00:56.700]  有很多不同的聖經程式
[00:00:56.700 --> 00:00:57.820]  你可以下載
[00:00:57.820 --> 00:00:58.720]  其實是很好的
[00:00:58.720 --> 00:01:02.640]  你不妨下載三幾個不同版本的聖經
[00:01:02.640 --> 00:01:04.200]  就是中文的聖經也好
[00:01:04.200 --> 00:01:05.140]  英文的聖經也好
[00:01:05.140 --> 00:01:06.180]  下載多幾個
[00:01:06.180 --> 00:01:08.660]  那麼特別有用的就是
[00:01:08.660 --> 00:01:13.480]  我們現在的人沒有以前的人那麼記性和勤力
[00:01:13.480 --> 00:01:18.040]  以前我們那一輩做年輕的時候的傳道人
[00:01:18.040 --> 00:01:20.320]  就是大我們一點年紀的那些
[00:01:20.320 --> 00:01:22.120]  他們真的很勤力讀經
[00:01:22.120 --> 00:01:23.780]  讀得滾瓜爛熟
[00:01:23.780 --> 00:01:25.220]  你一告訴他什麼
[00:01:25.220 --> 00:01:27.040]  他就馬上揭露給你
[00:01:27.040 --> 00:01:31.480]  在他那本聖經幾乎十頁之內都找到那些經文
[00:01:31.480 --> 00:01:34.280]  他就會想到哪一章哪一節
[00:01:34.280 --> 00:01:36.200]  但是我們今天真的不行
[00:01:36.200 --> 00:01:40.600]  沒有這樣的能力
[00:01:40.600 --> 00:01:44.140]  但是我們有方便用的手機
[00:01:44.140 --> 00:01:45.240]  你想想
[00:01:45.240 --> 00:01:46.460]  "病得醫治"
[00:01:46.460 --> 00:01:47.960]  其實聖經說什麼呢?
[00:01:47.960 --> 00:01:49.080]  你打兩個字
[00:01:49.080 --> 00:01:50.060]  "醫治"下去
[00:01:50.060 --> 00:01:51.040]  找一找
[00:01:51.040 --> 00:01:53.160]  它就跳出所有經文
[00:01:53.160 --> 00:01:55.020]  你不妨回去試試
[00:01:55.020 --> 00:01:57.120]  你回去試試的時候發覺
[00:01:57.120 --> 00:02:00.300]  整本聖經說的"醫治"最多的是哪裡呢?
[00:02:00.300 --> 00:02:06.100]  舊約以賽亞書說了八次
[00:02:06.100 --> 00:02:07.780]  有"醫治"這兩個字
[00:02:07.780 --> 00:02:09.840]  耶利米蘇說了十一次
[00:02:09.840 --> 00:02:11.680]  是最多的
[00:02:11.680 --> 00:02:13.400]  所以看看耶利米蘇
[00:02:13.400 --> 00:02:14.460]  新約也有的
[00:02:14.460 --> 00:02:15.760]  馬太福音也多了
[00:02:15.760 --> 00:02:16.400]  八次
[00:02:16.400 --> 00:02:17.900]  路加福音說了九次
[00:02:17.900 --> 00:02:20.480]  就是說"醫治"這兩個字
[00:02:21.060 --> 00:02:22.640]  是有什麼經文
[00:02:22.640 --> 00:02:26.360]  我們儘管看看耶利米蘇三章二十二節
[00:02:26.360 --> 00:02:27.280]  說的是什麼
[00:02:27.280 --> 00:02:29.720]  有聖經的你可以自己翻
[00:02:29.720 --> 00:02:31.820]  我今天也打了一些經文出來
[00:02:31.820 --> 00:02:32.680]  你可以看
[00:02:32.680 --> 00:02:33.280]  也可以
[00:02:33.280 --> 00:02:35.960]  三章二十二節說
[00:02:35.960 --> 00:02:38.860]  "你們這背道的兒女"
[00:02:38.860 --> 00:02:40.160]  "回來吧"
[00:02:40.160 --> 00:02:43.920]  "我要醫治你們背道的病"
[00:02:43.920 --> 00:02:46.920]  "看我們來到你這裡"
[00:02:46.920 --> 00:02:48.940]  這段反過來是人們說的
[00:02:48.940 --> 00:02:53.740]  "看我們來到你這裡,因為你是耶和華,我們的神"
[00:02:53.740 --> 00:02:56.380]  我們看看上一句話
[00:02:56.380 --> 00:02:57.700]  是神說的
[00:02:57.700 --> 00:03:00.320]  是向著那群以色列人說的
[00:03:00.320 --> 00:03:02.760]  "你們這背道的兒女"
[00:03:02.760 --> 00:03:03.820]  "回來吧"
