
[00:00:00.000 --> 00:00:01.260]  丁子梅早晨
[00:00:01.260 --> 00:00:06.540]  中國民間傳統裏面有一個故事叫做《十兄弟》
[00:00:06.540 --> 00:00:07.700]  有沒有聽過?
[00:00:07.700 --> 00:00:10.440]  不過這個故事有很多個版本
[00:00:10.440 --> 00:00:12.880]  今天想跟大家講一個版本
[00:00:12.880 --> 00:00:14.420]  不知道你們有沒有聽過
[00:00:14.420 --> 00:00:19.060]  話說在南方的海邊有一間小屋
[00:00:19.060 --> 00:00:22.580]  裏面有一對年老的夫婦
[00:00:22.580 --> 00:00:25.480]  他們有十個兒子
[00:00:26.140 --> 00:00:32.900]  這十個兄弟生的樣子一模一樣
[00:00:32.900 --> 00:00:38.500]  不過他們每個人都有自己很不同獨特的伴侶
[00:00:38.500 --> 00:00:42.440]  老大叫做大頭一
[00:00:42.440 --> 00:00:44.120]  頭很大
[00:00:44.120 --> 00:00:47.640]  二叫做長手二
[00:00:47.640 --> 00:00:48.920]  手很長
[00:00:48.920 --> 00:00:50.540]  如此類推
[00:00:50.540 --> 00:00:53.380]  三叫做鐵骨三
[00:00:53.380 --> 00:00:56.840]  鐵骨 第四叫做銅皮四
[00:00:56.840 --> 00:00:58.840]  五叫做大肚五
[00:00:58.840 --> 00:01:00.100]  肚子很大
[00:01:00.100 --> 00:01:06.640]  六叫做愛熱六
[00:01:06.640 --> 00:01:07.700]  很喜歡熱的
[00:01:07.700 --> 00:01:10.280]  七叫做長腳七
[00:01:10.280 --> 00:01:12.600]  八叫做千里眼
[00:01:12.600 --> 00:01:16.940]  九叫做唇峰二
[00:01:16.940 --> 00:01:19.700]  十叫做大喊十
[00:01:20.900 --> 00:01:24.700]  這十個兄弟彼此相親相愛
[00:01:24.700 --> 00:01:27.700]  非常孝順他們的父母
[00:01:27.700 --> 00:01:29.620]  有一天
[00:01:29.620 --> 00:01:34.020]  他們年老的媽媽患了一個很嚴重的病
[00:01:34.020 --> 00:01:38.200]  要盡快去吃鳳凰蛋
[00:01:38.200 --> 00:01:40.400]  不是鳳凰卷 鳳凰的蛋
[00:01:40.400 --> 00:01:43.800]  才可以治好他們的病
[00:01:43.800 --> 00:01:45.420]  那隻蛋在哪裏呢?
[00:01:45.420 --> 00:01:49.440]  老伯千里眼四處看的時候發現
