
[00:00:00.000 --> 00:00:02.000]  親愛的兄弟、姐妹們,你們好!
[00:00:02.000 --> 00:00:05.000]  很開心可以和大家一起來分享神的話語
[00:00:05.000 --> 00:00:08.000]  當我來到港道的時候,可能有基督徒會想
[00:00:08.000 --> 00:00:10.000]  啊,我可以怎樣服侍神呢?
[00:00:10.000 --> 00:00:14.000]  我又不懂得講道,可能我唱歌又不太行,又戴不到敬拜
[00:00:14.000 --> 00:00:18.000]  但原來今天不只是這些才是侍奉的
[00:00:18.000 --> 00:00:22.000]  在《馬大福音》24章就講耶穌回來之前有什麼預兆
[00:00:22.000 --> 00:00:24.000]  鼓勵大家去看
[00:00:24.000 --> 00:00:27.000]  其實真的煮回來的紙越來越近了
[00:00:27.000 --> 00:00:32.000]  但是25章就講到煮回來的時候,他會有審判的
[00:00:32.000 --> 00:00:33.000]  有三個比喻
[00:00:33.000 --> 00:00:36.000]  第一個比喻大家都熟悉,就是十個同類的比喻
[00:00:36.000 --> 00:00:38.000]  就是我們有沒有警醒
[00:00:38.000 --> 00:00:40.000]  你想想現在活世的,有很多的迷惑
[00:00:40.000 --> 00:00:42.000]  我們要好好的警醒
[00:00:42.000 --> 00:00:47.000]  第二個比喻就是按財受割,五千、二千、一千兩銀子
[00:00:47.000 --> 00:00:49.000]  但是有一個又兇又懶的僕人
[00:00:49.000 --> 00:00:53.000]  竟然將這些錢埋在地上,什麼都不用做
[00:00:53.000 --> 00:00:57.000]  被主人彌大怎麼去訓斥,甚至要趕走
[00:00:57.000 --> 00:01:01.000]  第三個比喻就是分綿羊和山羊的比喻
[00:01:01.000 --> 00:01:04.000]  這個比喻是講什麼呢?
[00:01:04.000 --> 00:01:08.000]  就是我們沒有愛心憐憫,去扶助有需要的人
[00:01:08.000 --> 00:01:11.000]  而這些情況是個環都做到的
[00:01:11.000 --> 00:01:15.000]  所以我很希望透過今天的訊息,成為大家的提醒
[00:01:15.000 --> 00:01:19.000]  聖經裡面很清楚地說
[00:01:19.000 --> 00:01:24.000]  他説《馬德封二十五章》第三十一到三十四節
[00:01:24.000 --> 00:01:29.000]  他說當人子在偷榮耀裡,和著眾天使降臨的時候
[00:01:29.000 --> 00:01:32.000]  要坐在偷榮耀的寶座上
[00:01:32.000 --> 00:01:35.000]  然後他將萬民帶到他的面前
[00:01:35.000 --> 00:01:39.000]  就好像牧羊人分綿羊和山羊一樣
[00:01:39.000 --> 00:01:44.000]  這個特別強調,人子在他榮耀裡面來降臨
[00:01:44.000 --> 00:01:48.000]  主耶穌多次的會說,他會再一次回來
[00:01:48.000 --> 00:01:50.000]  而且不是以牧羊的身份
[00:01:50.000 --> 00:01:53.000]  而是以君王的身份來帶他回來
[00:01:53.000 --> 00:02:01.000]  我們再看,原來他是將綿羊安置在右邊
[00:02:01.000 --> 00:02:03.000]  山羊就在左邊
