
[00:00:00.000 --> 00:00:04.240]  好 讓我們一齊同心低頭祈禱
[00:00:04.240 --> 00:00:05.580]  蔡恩主我們感謝祢
[00:00:05.580 --> 00:00:06.740]  因為是祢的恩典
[00:00:06.740 --> 00:00:08.040]  讓我們能夠一齊
[00:00:08.040 --> 00:00:10.620]  在星期日的早上
[00:00:10.620 --> 00:00:12.920]  我們去敬拜祢
[00:00:12.920 --> 00:00:14.760]  去聆聽神祢自己的話語
[00:00:14.760 --> 00:00:16.920]  聖靈我們求祢光照我們
[00:00:16.920 --> 00:00:19.000]  讓聖誕的信息
[00:00:19.000 --> 00:00:23.300]  盼望 喜樂 仁愛 和平
[00:00:23.300 --> 00:00:25.660]  即是能夠在我們的生命當中
[00:00:25.660 --> 00:00:27.500]  產生果效
[00:00:27.500 --> 00:00:30.740]  我們將以下時間
[00:00:30.740 --> 00:00:32.500]  恭敬的慾望給天父
[00:00:32.500 --> 00:00:34.000]  求聖靈在當中
[00:00:34.000 --> 00:00:35.700]  教導我們 幫助我們
[00:00:35.700 --> 00:00:40.880]  祈禱奉主耶穌基督的名求
[00:00:40.880 --> 00:00:42.460]  上個星期
[00:00:42.460 --> 00:00:46.380]  周牧師跟我們分享到一段經文
[00:00:46.380 --> 00:00:47.120]  特別是說到
[00:00:47.120 --> 00:00:50.620]  「雖然你們必須在百般試煉中
[00:00:50.620 --> 00:00:52.880]  暫時憂愁
[00:00:52.880 --> 00:00:56.240]  你們也要為此喜樂
[00:00:56.240 --> 00:01:01.420]  使你們的信心既被考驗
[00:01:01.420 --> 00:01:03.280]  就比那被火試煉
[00:01:03.280 --> 00:01:07.160]  仍然能壞的金子更顯寶貴
[00:01:07.160 --> 00:01:09.620]  可以在耶穌基督顯現的時候
[00:01:09.620 --> 00:01:13.040]  得著稱讚 榮耀 尊貴」
[00:01:13.040 --> 00:01:14.240]  上個星期
[00:01:14.240 --> 00:01:15.660]  周牧師說
[00:01:15.660 --> 00:01:16.960]  盼望是什麼
[00:01:16.960 --> 00:01:19.160]  大家記不記得
[00:01:19.160 --> 00:01:25.280]  盼望是對肯定會發生的事的期待
[00:01:25.280 --> 00:01:27.200]  就是聖誕節了
[00:01:27.200 --> 00:01:28.920]  在張林奇的裡面
[00:01:28.920 --> 00:01:32.420]  究竟我們等候主耶穌的再來
[00:01:32.420 --> 00:01:34.780]  我們也紀念祂的降生
[00:01:34.780 --> 00:01:36.500]  特別等到主耶穌再來的時候
[00:01:36.500 --> 00:01:38.240]  我們怎樣去等候
[00:01:38.240 --> 00:01:42.240]  究竟我們有多肯定
[00:01:42.240 --> 00:01:44.580]  這個事是會發生
[00:01:44.580 --> 00:01:46.420]  我們是需要
[00:01:46.420 --> 00:01:49.500]  有聖經裡面所要求的那種盼望
