
[00:00:00.000 --> 00:00:03.500]  好,我們讀一段聖經,在以賽亞書第九章第六節,
[00:00:03.500 --> 00:00:05.500]  只有一節的聖經,我們一同來念,來:
[00:00:05.500 --> 00:00:08.500]  因有一嬰孩為我們而生,
[00:00:08.500 --> 00:00:10.500]  有一子賜給我們,
[00:00:10.500 --> 00:00:13.500]  贈權必擔在他的肩頭上。
[00:00:13.500 --> 00:00:16.000]  他名稱為奇妙策士,
[00:00:16.000 --> 00:00:20.000]  全能的神,永在的父,和平的君。
[00:00:20.000 --> 00:00:21.500]  我們就讀到這裡。
[00:00:21.500 --> 00:00:25.000]  今天是聖誕夜,也是主日,
[00:00:25.000 --> 00:00:27.500]  可以說這是雙倍的恩典,
[00:00:27.500 --> 00:00:30.000]  也是雙倍的喜樂。
[00:00:30.000 --> 00:00:31.500]  誰跟你旁邊的朋友再一次說
[00:00:31.500 --> 00:00:34.000]  聖誕節非常非常非常快樂,跟他說:
[00:00:34.000 --> 00:00:39.500]  聖誕節是一個充滿歡樂的日子,
[00:00:39.500 --> 00:00:44.000]  到處充滿了美麗的裝飾,動人的音樂。
[00:00:44.000 --> 00:00:47.000]  可是今天如果你隨便問一個人說,
[00:00:47.000 --> 00:00:50.000]  當你想到聖誕節,你想到什麼?
[00:00:50.000 --> 00:00:52.000]  可能他的回答會是:
[00:00:52.000 --> 00:00:55.500]  shopping、禮物、party。
[00:00:55.500 --> 00:00:58.000]  有一次有個小孩子毫不加考慮的
[00:00:58.000 --> 00:01:00.000]  就說聖誕老人,
[00:01:00.000 --> 00:01:04.000]  因為他以為聖誕節是聖誕老人的生日。
[00:01:04.000 --> 00:01:06.000]  我們就看見這個世界上的人
[00:01:06.000 --> 00:01:09.500]  用各樣各式的方式來慶祝聖誕,
[00:01:09.500 --> 00:01:11.500]  但卻常常忽略了
[00:01:11.500 --> 00:01:15.000]  慶祝聖誕真正的原因。
[00:01:15.000 --> 00:01:17.500]  弟兄姊妹,耶穌基督才是我們
[00:01:17.500 --> 00:01:21.500]  在這個歡樂的季節慶祝的原因。
[00:01:21.500 --> 00:01:22.500]  Amen!
[00:01:22.500 --> 00:01:24.500]  因為只有耶穌基督能夠帶給我們
[00:01:24.500 --> 00:01:29.500]  人類心靈真實的平安、喜樂跟滿足。
[00:01:29.500 --> 00:01:31.500]  特別是我們生活在這樣一個
[00:01:31.500 --> 00:01:33.500]  千變萬化的世代,
[00:01:33.500 --> 00:01:37.500]  再加上到處充滿了恐怖份子的威脅,
[00:01:37.500 --> 00:01:41.500]  我們心中常常充滿了徬徨跟恐懼。
[00:01:41.500 --> 00:01:45.500]  到底有誰能夠帶給我們人生的答案?
[00:01:45.500 --> 00:01:49.500]  到底有誰能夠滿足我們心靈的需求?
[00:01:49.500 --> 00:01:53.500]  到底有誰真正關心我們?
[00:01:53.500 --> 00:01:56.500]  其實聖誕節就是要告訴我們
[00:01:56.500 --> 00:01:59.500]  耶穌基督就是神所為人類
[00:01:59.500 --> 00:02:02.500]  所預備的心靈真正的解答。
[00:02:02.500 --> 00:02:04.500]  這為什麼在舊約時代
[00:02:04.500 --> 00:02:09.500]  先知以賽亞在預言到耶穌降生的時候,
[00:02:09.500 --> 00:02:13.500]  他說:應有一嬰孩為我們而生,
[00:02:13.500 --> 00:02:15.500]  有一子賜給我們,
