
[00:00:00.000 --> 00:00:03.260]  今日的講題是「門徒的禱告」
[00:00:03.260 --> 00:00:06.360]  是教會的堂主任給我的主題
[00:00:06.360 --> 00:00:09.840]  既然是門徒的禱告
[00:00:09.840 --> 00:00:11.840]  就不是微信者的禱告
[00:00:11.840 --> 00:00:14.400]  也不是法利塞人的禱告
[00:00:14.400 --> 00:00:18.300]  而是那些跟隨主耶穌的門徒的禱告
[00:00:18.300 --> 00:00:21.860]  這些人要認認真真地相信主
[00:00:21.860 --> 00:00:23.000]  跟隨主
[00:00:23.000 --> 00:00:25.200]  不是聽了主講一兩次道
[00:00:25.200 --> 00:00:28.500]  或者見過主行一兩次神蹟
[00:00:28.500 --> 00:00:32.300]  也不是只是受了祂一點點恩惠的人
[00:00:32.300 --> 00:00:34.700]  門徒是立志跟隨主
[00:00:34.700 --> 00:00:38.300]  他們的信仰應該是由腦袋至到心房
[00:00:38.300 --> 00:00:41.300]  即是有理性也有感性
[00:00:41.300 --> 00:00:44.800]  以至於在他們的行動和行為上
[00:00:44.800 --> 00:00:47.200]  門徒要委身於基督
[00:00:47.200 --> 00:00:51.000]  這些人的禱告是怎樣的呢?
[00:00:51.000 --> 00:00:54.800]  剛才主席讀出的經文裡有兩類人
[00:00:54.800 --> 00:01:00.000]  他們的禱告態度形成了強烈的對比
[00:01:00.000 --> 00:01:01.400]  我們就來看看
[00:01:01.400 --> 00:01:04.600]  祈禱不應該有的態度是甚麼
[00:01:04.600 --> 00:01:09.400]  而甚麼又是門徒應該有的態度呢?
[00:01:09.400 --> 00:01:10.600]  首先第一
[00:01:10.600 --> 00:01:13.500]  祈禱不應該有的態度
[00:01:13.500 --> 00:01:17.100]  第一就是只想得人的讚賞
[00:01:17.100 --> 00:01:20.800]  在《馬太福音》第六章第五節
[00:01:20.800 --> 00:01:25.400]  聖經說他們「愛站在會堂裡和十字路口上」
[00:01:25.400 --> 00:01:29.700]  目的是故意叫人看見
[00:01:29.700 --> 00:01:33.400]  我們今天不會站在十字路口上祈禱
[00:01:33.400 --> 00:01:37.100]  甚至我們也不想讓人知道我們正在祈禱
[00:01:37.100 --> 00:01:40.800]  當時耶穌不是針對他們這個行為的表現
[00:01:40.800 --> 00:01:47.900]  因為事實上他們這樣的行動是一個虔誠的動作
[00:01:47.900 --> 00:01:50.900]  耶穌是要針對他們的內心
[00:01:50.900 --> 00:01:53.600]  因為他們是故意叫人看見
[00:01:53.600 --> 00:01:55.100]  這就是他們的動機
[00:01:55.100 --> 00:01:58.600]  要故意叫人看見
[00:01:58.600 --> 00:02:00.500]  昔日的十字路口
[00:02:00.500 --> 00:02:04.600]  可能就是知道今天的Facebook Instagram
[00:02:04.600 --> 00:02:08.400]  最近的MeWe等等的社交媒體
[00:02:08.400 --> 00:02:11.800]  人如果故意在屬靈的事上去拋書包
[00:02:11.800 --> 00:02:14.000]  表現得很敬虔
[00:02:14.000 --> 00:02:16.500]  其他人是不容易察覺的
[00:02:16.500 --> 00:02:19.300]  可能真的看起來很敬虔
[00:02:19.300 --> 00:02:21.400]  但是神是知道的
[00:02:21.400 --> 00:02:23.900]  這些人已經得了賞賜
[00:02:23.900 --> 00:02:27.300]  無論他們求什麼都不會成就
[00:02:27.300 --> 00:02:30.600]  因為他們已經成就了他們最想求的東西
[00:02:30.600 --> 00:02:34.900]  就是叫人看見
[00:02:34.900 --> 00:02:36.700]  第二個祈禱不應該有的態度
[00:02:36.700 --> 00:02:40.700]  就是用手段去逼神垂聽祈禱
[00:02:40.700 --> 00:02:42.900]  在《馬太福音》第六章第七節
[00:02:42.900 --> 00:02:47.000]  「像外邦人用許多重覆話
[00:02:47.000 --> 00:02:51.500]  他們以為話多了必蒙垂聽」
[00:02:51.500 --> 00:02:53.800]  有人以為主耶穌這樣說
[00:02:53.800 --> 00:02:54.700]  就提醒我們
[00:02:54.700 --> 00:02:56.900]  祈禱不應該重覆地說那句話
[00:02:56.900 --> 00:02:58.900]  或者不應該重覆地說
[00:02:58.900 --> 00:03:01.300]  否則就不蒙垂聽了
[00:03:01.300 --> 00:03:04.100]  雖然重覆話有一個翻譯
[00:03:04.100 --> 00:03:05.700]  在英文聖經有其中一個翻譯
[00:03:05.700 --> 00:03:08.800]  就是Meaningless Repetition
[00:03:08.800 --> 00:03:12.300]  是一個很沒意思的重覆
[00:03:12.300 --> 00:03:14.700]  如果真的是一個沒意思的重覆
[00:03:14.700 --> 00:03:16.500]  其實也挺無聊的
[00:03:16.500 --> 00:03:20.000]  但我們不要忽略接著那一句
[00:03:20.000 --> 00:03:25.000]  「以為話多了必蒙垂聽」
[00:03:25.000 --> 00:03:29.300]  他們以為是用許多重覆的說話
[00:03:29.300 --> 00:03:32.900]  用許多重覆的說話就必蒙垂聽
