
[00:00:00.000 --> 00:00:03.880]  今次我們就會來看這個課題
[00:00:03.880 --> 00:00:06.720]  就叫做《請問我是誰》
[00:00:06.720 --> 00:00:10.500]  我自己查經的時候就很想做出一件事
[00:00:10.500 --> 00:00:16.120]  就是讓大家能夠有一個更深對聖經的體會和了解
[00:00:16.120 --> 00:00:19.780]  我們不要停留在一個喫奶飲鞋的狀況裏面
[00:00:19.780 --> 00:00:21.280]  我們要好好地學習
[00:00:21.280 --> 00:00:24.780]  用神的話語來對我們說話
[00:00:24.780 --> 00:00:27.680]  教導我們如何面對今天的處境
[00:00:27.680 --> 00:00:30.080]  持守神的教導
[00:00:30.080 --> 00:00:34.000]  但是又有一個開放的態度去接受一些新的事物
[00:00:34.000 --> 00:00:37.260]  當然是要基於聖經的
[00:00:37.260 --> 00:00:39.960]  肢體之間其實我們有一個交流
[00:00:39.960 --> 00:00:42.620]  所以當我一開鏡頭見到大家的時候
[00:00:42.620 --> 00:00:44.540]  非常非常開心
[00:00:44.540 --> 00:00:45.740]  就是很開心
[00:00:45.740 --> 00:00:47.080]  我們同心盡心
[00:00:47.080 --> 00:00:49.480]  所以求神幫助我們
[00:00:49.480 --> 00:00:50.320]  好了
[00:00:50.320 --> 00:00:56.160]  我們今次就是看耶穌帶着門徒登山變像
[00:00:56.160 --> 00:00:58.160]  大家有沒有想過
[00:00:58.160 --> 00:01:01.680]  爲什麼耶穌要登山變像呢?
[00:01:01.680 --> 00:01:04.460]  變一變樣子有什麼作用呢?
[00:01:04.460 --> 00:01:08.840]  究竟對門徒又有什麼鼓勵呢?
[00:01:08.840 --> 00:01:09.480]  好了
[00:01:09.480 --> 00:01:12.360]  登山變像出現了兩個人物
[00:01:12.360 --> 00:01:14.200]  大家都知道是哪兩個
[00:01:14.200 --> 00:01:16.840]  就是摩西和以利亞
[00:01:16.840 --> 00:01:20.480]  爲什麼又不是出現以西潔呢?
[00:01:20.480 --> 00:01:24.760]  或者爲什麼又不是出現以洛呢?
[00:01:24.760 --> 00:01:27.520]  這對我們有什麼啓示呢?
