
[00:00:00.000 --> 00:00:05.000]  《錄音》或《錄影》的版權 是屬於基督教宣導會北角堂所有
[00:00:05.000 --> 00:00:09.000]  我們的屬靈傳統之一 是以真理教導為本
[00:00:09.000 --> 00:00:13.000]  歡迎您將此《錄音》或《錄影》的連結 傳給親友
[00:00:13.000 --> 00:00:19.000]  懇請注意 未經授權 請勿轉錄或剪輯本《錄音》或《錄影》
[00:00:19.000 --> 00:00:24.000]  甚願好像《仕途行傳》20章32節下所說
[00:00:24.000 --> 00:00:30.000]  這道能建立你們 叫你們和一切誠誠的人 同得基業
[00:00:30.000 --> 00:00:39.000]  哥倫多教會是問題多多
[00:00:39.000 --> 00:00:45.000]  在這本書裡你會找到不同的案件、案例或要處理的問題
[00:00:45.000 --> 00:00:51.000]  但這本書依然可以按著它的鋪排篇章分成五大篇章
[00:00:51.000 --> 00:00:55.000]  這裡五大問題是順著的
[00:00:55.000 --> 00:00:59.000]  我們之前幾個禮拜 除了節期我們會用其他篇章
[00:00:59.000 --> 00:01:03.000]  例如復活節我們說了15章最後的大討論
[00:01:03.000 --> 00:01:07.000]  但之前我們是由第一章開始說到第三章上個禮拜
[00:01:07.000 --> 00:01:12.000]  今天我們會碰第四章 下半 亦是第二個大的討論
[00:01:12.000 --> 00:01:16.000]  今天我們會碰第四章 下半 亦是第二個大的討論
[00:01:16.000 --> 00:01:21.000]  今天我們會碰第四章 下半 亦是第二個大的討論
[00:01:21.000 --> 00:01:24.000]  所以剛才你聽主席幫我們讀的經文
[00:01:24.000 --> 00:01:28.000]  你就這樣聽 你覺得是一個很令人震驚的個案
[00:01:28.000 --> 00:01:33.000]  往往我們看哥倫多前書 我們看到不同的案例
[00:01:33.000 --> 00:01:37.000]  就會發現 保羅都是指出他的問題
[00:01:37.000 --> 00:01:40.000]  可能你會這樣感覺的
[00:01:40.000 --> 00:01:44.000]  我發現你們有這些問題 你們應該這樣這樣做
[00:01:44.000 --> 00:01:47.000]  這樣就看完那段經文
[00:01:47.000 --> 00:01:52.000]  但原來放在一個大段落來看 是不同的
[00:01:52.000 --> 00:01:55.000]  一會兒我會和你講解為什麼不同
[00:01:55.000 --> 00:01:59.000]  在這個大段落的開始 其實是我們今天的選段
[00:01:59.000 --> 00:02:03.000]  四章十八之前的一節
[00:02:03.000 --> 00:02:07.000]  他那裡說 因此我派了提摩太 要去他那裡
[00:02:07.000 --> 00:02:10.000]  他說 他是我在主裡親愛的忠心的兒子
[00:02:10.000 --> 00:02:14.000]  他要提醒你們 我在基督耶穌裡是怎樣行事為人
[00:02:14.000 --> 00:02:18.000]  正如我在各地各教會所教導的一樣
[00:02:18.000 --> 00:02:21.000]  他一開始的因此其實是開一個新段落
[00:02:21.000 --> 00:02:25.000]  因為這個字是可以翻譯為 接著下來的事
[00:02:25.000 --> 00:02:29.000]  在其他的段落都有這個字
[00:02:29.000 --> 00:02:33.000]  接著下來就是講關於男性女性婚姻家庭
[00:02:33.000 --> 00:02:35.000]  這個大主題脈絡
[00:02:35.000 --> 00:02:39.000]  我才會說 沒錯 今天我們會碰到一些性倫理的事情
[00:02:39.000 --> 00:02:42.000]  時下不少人會批評教會 批評基督教
[00:02:42.000 --> 00:02:45.000]  只是會講性的事情 作出評擊
[00:02:45.000 --> 00:02:48.000]  好像有性潔癖
[00:02:48.000 --> 00:02:53.000]  只是講性倫理的議題 教會才會出聲指責
[00:02:53.000 --> 00:02:56.000]  但當我們全講整本聖經
[00:02:56.000 --> 00:03:01.000]  或者特別去今個季度我們全講整個哥林多前書
[00:03:01.000 --> 00:03:06.000]  你會看到其實保羅都花了很多篇章去處理這方面的事情
[00:03:06.000 --> 00:03:11.000]  因為關於性的事情是進入到人的核心
[00:03:11.000 --> 00:03:14.000]  是人倫關係裏面一個重要的環節
[00:03:14.000 --> 00:03:18.000]  同時保羅不只是講性倫理
[00:03:18.000 --> 00:03:22.000]  即使今天這個大段落有碰到性倫理的事情
[00:03:22.000 --> 00:03:25.000]  但後來有一節你都剛才聽到的
[00:03:25.000 --> 00:03:34.000]  他有講貪婪 淤酒 有些其他的問題他都會去處理
[00:03:34.000 --> 00:03:39.000]  但總之今天我們會多一點談論這方面的事情
[00:03:39.000 --> 00:03:46.000]  就讓我們認真聽一聽保羅要傳達怎樣的提醒
[00:03:46.000 --> 00:03:49.000]  在最後下面經文我們先祈禱
[00:03:49.000 --> 00:03:52.000]  耶穌說我們求你幫我們
[00:03:52.000 --> 00:03:56.000]  讓我們的心不單止在聖餐裏面專注
[00:03:56.000 --> 00:04:00.000]  我們讀你的話語 我們在心裏面有個期盼
[00:04:00.000 --> 00:04:04.000]  願你真理的子句成為生命的糧
[00:04:04.000 --> 00:04:06.000]  讓我們得著益處
[00:04:06.000 --> 00:04:10.000]  所以求聖靈指教幫助 引領我們每一個
[00:04:10.000 --> 00:04:11.000]  多謝你
[00:04:11.000 --> 00:04:14.000]  我們的祈禱是奉主耶穌基督得聖命之祈求
[00:04:14.000 --> 00:04:32.000]  十八、十九節上我請大家預備起
[00:04:32.000 --> 00:04:37.000]  在哥倫多教會的各類問題或者大的討論
[00:04:37.000 --> 00:04:40.000]  其實有一個共通點
[00:04:40.000 --> 00:04:43.000]  共通的問題就是自高自大
[00:04:43.000 --> 00:04:48.000]  第一章我們看了頭幾次有說分黨
[00:04:48.000 --> 00:04:51.000]  我覺得我比你厲害 我跟的人厲害些
[00:04:51.000 --> 00:04:53.000]  是比較這些的
