
[00:00:00.000 --> 00:00:05.000]  各位主妹早晨,很高興能夠再次跟大家一起分享主的說話,
[00:00:05.000 --> 00:00:09.000]  讓我們聽到之聲,讓我們一起同心同告。
[00:00:09.000 --> 00:00:15.000]  很高興跟弟兄姊妹再次能夠見面,能夠在主的崇拜的時間,
[00:00:15.000 --> 00:00:18.000]  跟大家一起分享主的話語。
[00:00:18.000 --> 00:00:24.000]  讓我們首先透過禱告,來把我們的信心意念交給我們主我們的神。
[00:00:24.000 --> 00:00:30.000]  是一個很大的壓力,我能夠再次有這個機會,
[00:00:30.000 --> 00:00:33.000]  分享主的話語給所有的弟兄姊妹。
[00:00:33.000 --> 00:00:41.000]  讓我們向前走,向主祈禱,讓聖靈指導我們通過這次禱告。
[00:00:41.000 --> 00:00:43.000]  讓我們同心同告。
[00:00:43.000 --> 00:00:47.000]  慈悲的天父,多謝你,讓我們能夠再次回來,
[00:00:47.000 --> 00:00:53.000]  在你寶貴的說話的面前一同學習,求主你的與我們同在,
[00:00:53.000 --> 00:00:57.000]  讓我們心思意念源源全全的在你的大靈當中,
[00:00:57.000 --> 00:01:03.000]  讓我們所學到的道理,能夠真正準確地成為我們生命的一部分,
[00:01:03.000 --> 00:01:07.000]  並且活在我們每一天的平日生活當中。
[00:01:07.000 --> 00:01:13.000]  親愛的恩主,感謝你給我們今天能夠再次來到你的話語的跟前,
[00:01:13.000 --> 00:01:18.000]  讓我們能夠不單準確地來到靈獸主你的話語,
[00:01:18.000 --> 00:01:21.000]  也讓我們的生命可以得到更新變化,
[00:01:21.000 --> 00:01:23.000]  使我們能夠更像你,
[00:01:23.000 --> 00:01:26.000]  從你的幫助,透過你的聖靈,
[00:01:26.000 --> 00:01:31.000]  幫助我們能夠不單聽到的時候,準確地把握你的教訓,
[00:01:31.000 --> 00:01:36.000]  同時也讓我們能夠有力量,有智慧,
[00:01:36.000 --> 00:01:42.000]  能夠在以下的日子當中,我們能夠活出主理的真道。
[00:01:42.000 --> 00:01:47.000]  我們的天父,多謝你讓我們能夠再次回來,
[00:01:47.000 --> 00:01:49.000]  在你寶貴的說話的面前一同學習,
[00:01:49.000 --> 00:01:53.000]  我們要求你的聖靈指導我們,
[00:01:53.000 --> 00:01:55.000]  透過這次聖詞的時間,
[00:01:55.000 --> 00:02:00.000]  讓我們能夠準確地接受和理解你的話語,
[00:02:00.000 --> 00:02:03.000]  我們也要求你的聖靈,
[00:02:03.000 --> 00:02:05.000]  幫助我們用你的智慧,
[00:02:05.000 --> 00:02:10.000]  讓我們能夠透過你的話語證明我們的真正的生命,
[00:02:10.000 --> 00:02:13.000]  我們在名義上向主耶穌基督祈禱。
[00:02:13.000 --> 00:02:17.000]  我們同心地禱告,奉靠主耶穌基督得勝的明治教。
[00:02:17.000 --> 00:02:19.000]  阿門。
[00:02:47.000 --> 00:02:52.000]  我們再次打開加拉太書第三章,第十五至第十八節,
[00:02:52.000 --> 00:02:57.000]  Galatians 3:15-18
[00:02:57.000 --> 00:03:01.000]  今天我們要討論的是福音書。
[00:03:01.000 --> 00:03:04.000]  讓我們一起去打開主的說話。
[00:03:04.000 --> 00:03:07.000]  我會先為大家讀出和合本的版本,
[00:03:07.000 --> 00:03:12.000]  然後請弟兄姊妹也聽我所讀出的NET的版本,
[00:03:12.000 --> 00:03:15.000]  經文也會放在螢光幕上。
[00:03:15.000 --> 00:03:20.000]  如果大家沒有聖經,可以跟著螢光幕就可以了。
[00:03:20.000 --> 00:03:24.000]  加拉太書第三章,第十五至第十八節,
[00:03:24.000 --> 00:03:29.000]  Galatians 3:15-18
[00:03:29.000 --> 00:03:34.000]  弟兄們,我且照著人的常話說,
[00:03:34.000 --> 00:03:38.000]  雖然是人的文約若已經立定了,
[00:03:38.000 --> 00:03:43.000]  就沒有能廢棄或加增的。
[00:03:43.000 --> 00:03:48.000]  所應許的,原是向阿伯拉罕和他子孫說的。
[00:03:48.000 --> 00:03:53.000]  上帝並不是說眾子孫,指著許多人,
