
[00:00:00.000 --> 00:00:02.000]  親姐妹早晨 各位來賓
[00:00:02.000 --> 00:00:04.000]  很歡迎你們今天可以再次在
[00:00:04.000 --> 00:00:07.800]  這個冬天裏面再返來教會一齊
[00:00:07.800 --> 00:00:09.800]  傳授歡喜快樂的心理敬拜
[00:00:09.800 --> 00:00:12.800]  我們的天父上帝 主耶穌基督
[00:00:12.800 --> 00:00:16.800]  我們聖誕節快完結了
[00:00:16.800 --> 00:00:18.800]  已經完結了 我們新的一年
[00:00:18.800 --> 00:00:22.800]  剛才也提到我們要怎樣去迎接新的一年呢
[00:00:22.800 --> 00:00:28.800]  我們也在網上有一個調查
[00:00:30.800 --> 00:00:38.800]  有一個調查報告
[00:00:38.800 --> 00:00:42.800]  2020年的新年目標
[00:00:42.800 --> 00:00:48.800]  有一個組織調查了2111個美國成年人
[00:00:48.800 --> 00:00:50.800]  有一個調查結果
[00:00:50.800 --> 00:00:55.800]  究竟對什麼事情是2020年所期望的呢
[00:00:55.800 --> 00:01:01.800]  51%的人說想改善財政狀況
[00:01:01.800 --> 00:01:05.800]  另外有51%的人說要吃得更健康
[00:01:05.800 --> 00:01:07.800]  其實是很多人的願望
[00:01:07.800 --> 00:01:10.800]  或者多做運動 或者減肥
[00:01:10.800 --> 00:01:14.800]  或者心理上的健康情況有所改善
[00:01:14.800 --> 00:01:17.800]  其實我們每個人到新年的時候
[00:01:17.800 --> 00:01:19.800]  都會立志做一些事情
[00:01:19.800 --> 00:01:21.800]  這些就是其中一些
[00:01:21.800 --> 00:01:26.800]  其實可能在座當中也看到這些項目也有些同感
[00:01:26.800 --> 00:01:28.800]  我自己也有些同感
[00:01:28.800 --> 00:01:30.800]  譬如說多做運動
[00:01:30.800 --> 00:01:33.800]  來了明尼蘇達我也開始多做運動
[00:01:33.800 --> 00:01:37.800]  也有常常去專門做運動
[00:01:37.800 --> 00:01:39.800]  那屬靈方面呢
[00:01:39.800 --> 00:01:43.800]  我們有時候看到很多時候的社會狀況
[00:01:43.800 --> 00:01:47.800]  看到社會狀況有些不公義的情況
[00:01:47.800 --> 00:01:50.800]  我們也很想社會的狀況得到改善
[00:01:50.800 --> 00:01:53.800]  我們看到一些弱勢社群
[00:01:53.800 --> 00:01:55.800]  希望他們也得到安慰
[00:01:55.800 --> 00:01:58.800]  在大約在聖經裏面提到
[00:01:58.800 --> 00:02:00.800]  我們過去那三次
[00:02:00.800 --> 00:02:03.800]  都提到從盧家福音去學習
[00:02:03.800 --> 00:02:06.800]  主耶穌基督的降生
[00:02:06.800 --> 00:02:09.800]  在聖經裏面學習聖誕節的信息
[00:02:09.800 --> 00:02:15.800]  今天會繼續從盧家福音去學習
[00:02:15.800 --> 00:02:26.800]  盧家福音是寫於主後六十至七十年期間
[00:02:26.800 --> 00:02:30.800]  他寫給當時的信徒
[00:02:30.800 --> 00:02:32.800]  當時的猶太人
[00:02:32.800 --> 00:02:38.800]  聽到他怎樣去講述主耶穌的生前事情
[00:02:38.800 --> 00:02:43.800]  他們的時期是來自尼祿皇帝的時候
[00:02:43.800 --> 00:02:47.800]  當時尼祿皇帝的政績是不錯的
[00:02:47.800 --> 00:02:49.800]  但後來中期以後
[00:02:49.800 --> 00:02:56.800]  他是第一個殘害基督徒的帝王
[00:02:56.800 --> 00:03:00.800]  例如在主後六十四年
[00:03:00.800 --> 00:03:02.800]  羅馬城發生大火
[00:03:02.800 --> 00:03:05.800]  當時發現有人造火
[00:03:05.800 --> 00:03:11.800]  結果他冤枉基督徒暗中放火
[00:03:11.800 --> 00:03:14.800]  於是就開始懲暴基督徒
[00:03:14.800 --> 00:03:17.800]  公開地將他們殘酷地折磨
[00:03:17.800 --> 00:03:19.800]  釘他們十字架
[00:03:19.800 --> 00:03:23.800]  穿著壽旗給野狗和惡狗來咬
[00:03:23.800 --> 00:03:27.800]  還有將基督徒釘在柱上
[00:03:27.800 --> 00:03:30.800]  燒當一個蠟燭
[00:03:30.800 --> 00:03:32.800]  所以這是歷史上的記載
[00:03:32.800 --> 00:03:35.800]  是記載到這件事之中的事情
[00:03:35.800 --> 00:03:38.800]  還有主後六十七年期間
[00:03:38.800 --> 00:03:39.800]  他在位的期間
[00:03:39.800 --> 00:03:44.800]  試圖保羅和彼得被釘死
[00:03:44.800 --> 00:03:46.800]  因為死在他手上
[00:03:46.800 --> 00:03:49.800]  所以這期間
[00:03:49.800 --> 00:03:52.800]  路加寫這本福音書的時候
[00:03:52.800 --> 00:03:56.800]  在安慰基督徒和猶太人
[00:03:56.800 --> 00:03:57.800]  他們在想
[00:03:57.800 --> 00:04:00.800]  其實主耶穌降生了這麼久
[00:04:00.800 --> 00:04:01.800]  三十幾年
[00:04:01.800 --> 00:04:04.800]  即是看回之前
[00:04:04.800 --> 00:04:06.800]  六十幾年七十六年
[00:04:06.800 --> 00:04:09.800]  他已經許了主耶穌會再回來
[00:04:09.800 --> 00:04:12.800]  究竟在這麼困難的情況之下
