
[00:00:00.000 --> 00:00:02.500]  很高興再見到大家
[00:00:02.500 --> 00:00:05.040]  今天很高興再見到大家
[00:00:05.040 --> 00:00:08.640]  繼續看《馬可福音》
[00:00:08.640 --> 00:00:10.880]  我們繼續看《馬克福音》
[00:00:10.880 --> 00:00:14.080]  講耶穌講了幾次,今天跟你講鬼好不好?
[00:00:14.080 --> 00:00:17.480]  講耶穌講了很多次,今天跟你講鬼
[00:00:17.480 --> 00:00:22.480]  《馬可福音》是四福音書之中比較短的
[00:00:22.480 --> 00:00:26.360]  《馬克福音》是四福音書當中比較短的
[00:00:26.360 --> 00:00:31.200]  有很多人覺得看《馬可福音》好像不夠厚
[00:00:31.200 --> 00:00:35.400]  其實有人看《馬可福音》好像看不到夠厚一樣
[00:00:35.400 --> 00:00:37.880]  有些人覺得為什麼要看《馬可福音》呢?
[00:00:37.880 --> 00:00:39.740]  別人就覺得為什麼要看《馬可福音》呢?
[00:00:39.740 --> 00:00:42.140]  因為《馬可福音》講的東西
[00:00:42.140 --> 00:00:46.120]  馬太和路加都很詳細講過
[00:00:46.120 --> 00:00:47.580]  因為《馬可福音》說的
[00:00:47.580 --> 00:00:50.120]  就是馬太和路加都是很詳細的
[00:00:50.120 --> 00:00:52.860]  不是全部,大部份都有再講
[00:00:52.860 --> 00:00:55.500]  雖然不是全部,但大部份都有講過
[00:00:55.500 --> 00:00:59.500]  我們知道上次《馬可傳道》也有講
[00:00:59.500 --> 00:01:06.600]  就是一個少年人,在耶穌年代的時候
[00:01:06.600 --> 00:01:10.180]  上次魏存道也說過,馬可是一個少年人
[00:01:10.180 --> 00:01:14.040]  後來他就跟著彼得和保羅去傳道
[00:01:14.040 --> 00:01:17.280]  後來他跟彼得和保羅去傳道
[00:01:17.280 --> 00:01:19.720]  我相信在耶穌年代的時候
[00:01:19.720 --> 00:01:22.120]  可能他還沒有正式成年
[00:01:22.120 --> 00:01:25.560]  我相信在耶穌年代的時候,他還沒有成年
[00:01:25.560 --> 00:01:28.660]  後來他跟著保羅和彼得傳道之後
[00:01:28.660 --> 00:01:31.760]  就聽了很多關於耶穌的事蹟
[00:01:31.760 --> 00:01:34.800]  後來他跟著保羅和彼得傳道
[00:01:34.800 --> 00:01:37.100]  就聽了很多關於耶穌的事情
[00:01:37.100 --> 00:01:40.640]  很後期就寫了一個《馬可福音》
[00:01:40.640 --> 00:01:42.880]  再後期他寫了《馬可福音》
[00:01:42.880 --> 00:01:46.120]  神學家跟我們說
[00:01:46.120 --> 00:01:48.080]  有神學家告訴我們
[00:01:48.080 --> 00:01:54.720]  馬太和路加有很多地方都是根據馬可所寫的
[00:01:54.720 --> 00:01:59.160]  馬太跟路加都是很多根據馬可來寫的
[00:01:59.160 --> 00:02:01.160]  但是馬可他最重要的一件事
[00:02:01.160 --> 00:02:04.200]  就是他想要表達一個訊息出來
[00:02:04.200 --> 00:02:06.300]  就是耶穌的權柄
[00:02:06.300 --> 00:02:10.000]  馬可最重要的訊息就是要表達耶穌的權柄
[00:02:10.000 --> 00:02:11.240]  所以你看到《馬可福音》
[00:02:11.240 --> 00:02:14.940]  他沒有很詳細講耶穌講道的講章
[00:02:14.940 --> 00:02:18.320]  所以《馬可福音》沒有說耶穌講道的講章
[00:02:18.320 --> 00:02:21.240]  大家很熟悉馬太福音所講的登山寶訓
[00:02:21.240 --> 00:02:23.520]  馬可是從來沒有提過的
[00:02:23.520 --> 00:02:26.820]  大家很熟悉馬太說的耶穌的登山寶訓
[00:02:26.820 --> 00:02:28.460]  但馬可是沒有說的
[00:02:28.460 --> 00:02:31.160]  因為馬可認為最重要就是
[00:02:31.160 --> 00:02:36.260]  把耶穌的權威性、權柄要跟別人說出來
[00:02:36.260 --> 00:02:38.400]  馬可是認為把最重要的
[00:02:38.400 --> 00:02:41.300]  耶穌的權柄、權威要說出來
[00:02:41.300 --> 00:02:44.440]  所以馬可一開始就說到耶穌受洗
[00:02:44.440 --> 00:02:46.640]  所以馬可一開始就說到耶穌受洗
[00:02:46.640 --> 00:02:49.240]  認定了這個就是神的兒子
[00:02:49.240 --> 00:02:51.440]  他認定祂就是神的兒子
[00:02:51.440 --> 00:02:54.020]  認定了這個也是三維一體的神
[00:02:54.020 --> 00:02:55.480]  也認為祂是三維一體的神
[00:02:55.480 --> 00:02:57.080]  是滿有權柄的
[00:02:57.080 --> 00:02:58.720]  是滿有權柄的
[00:02:58.720 --> 00:03:01.220]  那跟著他所講的就是
[00:03:01.220 --> 00:03:03.220]  耶穌他今天所講的就是
[00:03:03.220 --> 00:03:05.620]  耶穌祂有趕鬼的權柄
[00:03:05.620 --> 00:03:08.760]  接著他說就是耶穌有趕鬼的權柄
[00:03:08.760 --> 00:03:10.060]  下個星期如果大家回來
[00:03:10.060 --> 00:03:12.460]  也是我講的就是講耶穌醫病
[00:03:12.460 --> 00:03:16.540]  下個星期也是梁繼松說的
[00:03:16.540 --> 00:03:18.100]  耶穌治病
[00:03:18.100 --> 00:03:20.600]  這個醫病、趕鬼這兩件事
[00:03:20.600 --> 00:03:24.380]  是在福音書重覆講過很多次的
[00:03:24.380 --> 00:03:27.680]  就是治病跟趕鬼在福音書是重覆說了很多次
[00:03:27.680 --> 00:03:31.160]  因為這個是滿有權柄你才可以做到的
[00:03:31.160 --> 00:03:34.020]  因為這是滿有權柄才可以做的事情
[00:03:34.020 --> 00:03:35.960]  我們都可以做到
[00:03:35.960 --> 00:03:37.060]  今天我們可以做得到
