
[00:00:00.000 --> 00:00:01.500]  各位電影姐妹 大家好
[00:00:01.500 --> 00:00:03.500]  又跟大家讀聖經
[00:00:03.500 --> 00:00:06.100]  今天讀這段聖經就有趣了
[00:00:06.100 --> 00:00:09.100]  是早幾天讀過的
[00:00:09.100 --> 00:00:10.600]  生命樹宣教網絡
[00:00:10.600 --> 00:00:13.400]  和你一起看聖經人 聖經事
[00:00:13.400 --> 00:00:15.800]  看看上帝背後
[00:00:15.800 --> 00:00:18.800]  在做很多工作的
[00:00:18.800 --> 00:00:23.500]  神是吩咐以色列人轉回
[00:00:23.500 --> 00:00:26.100]  神吩咐以色列人轉回
[00:00:26.100 --> 00:00:28.100]  不過這次轉回
[00:00:28.100 --> 00:00:30.900]  聖經時時都是說神叫人回轉
[00:00:30.900 --> 00:00:32.700]  回轉 回轉
[00:00:32.700 --> 00:00:36.000]  就不要這麼倔強
[00:00:36.000 --> 00:00:38.000]  不要離開神 要回轉
[00:00:38.000 --> 00:00:40.200]  但是這個轉回
[00:00:40.200 --> 00:00:42.500]  是說他們出埃及之後
[00:00:42.500 --> 00:00:43.700]  是走一條路
[00:00:43.700 --> 00:00:46.000]  繞回頭的意思
[00:00:46.000 --> 00:00:47.300]  這個轉回
[00:00:47.300 --> 00:00:48.400]  讀過的了
[00:00:48.400 --> 00:00:49.400]  跟大家再讀一下
[00:00:49.400 --> 00:00:52.700]  今天是看一個挺有趣的
[00:00:52.700 --> 00:00:54.400]  可能你沒有想過
[00:00:54.400 --> 00:00:58.900]  也挺重要 或者真的這樣發生
[00:00:58.900 --> 00:01:01.200]  而極可能是這樣發生的
[00:01:01.200 --> 00:01:02.900]  說了這麼大一輪 說什麼呢?
[00:01:02.900 --> 00:01:04.600]  留意一下經文
[00:01:04.600 --> 00:01:07.600]  《出埃及記》十四章第一節
[00:01:07.600 --> 00:01:10.900]  《耶和華曉遇摩西說》
[00:01:10.900 --> 00:01:12.800]  第一點要跟你們說的
[00:01:12.800 --> 00:01:16.800]  你吩咐以色列人轉回
[00:01:16.800 --> 00:01:20.800]  安寧在比哈希祿前
[00:01:20.800 --> 00:01:24.800]  就是蜜奪和海的中間
[00:01:24.800 --> 00:01:27.300]  對著巴力洗芬
[00:01:27.300 --> 00:01:29.700]  靠近海邊安寧
[00:01:29.700 --> 00:01:32.000]  第二點
[00:01:32.000 --> 00:01:34.100]  第一就是你吩咐以色列人
[00:01:34.100 --> 00:01:37.500]  要轉回 繞圈
[00:01:37.500 --> 00:01:39.800]  不是心回轉
[00:01:39.800 --> 00:01:42.300]  是他們出埃及條路的路線
[00:01:42.300 --> 00:01:45.900]  走著走著就要繞圈
[00:01:45.900 --> 00:01:48.600]  《耶和華曉遇摩西說》
[00:01:48.600 --> 00:01:52.700]  你吩咐以色列人轉回
[00:01:52.700 --> 00:01:55.200]  去一個地方紮營
[00:01:55.200 --> 00:01:56.200]  停在那裡
[00:01:56.200 --> 00:01:57.500]  停在哪裡呢?
[00:01:57.500 --> 00:02:02.400]  安寧在比哈希祿前
[00:02:02.400 --> 00:02:06.000]  蜜奪和海的中間
[00:02:06.000 --> 00:02:08.000]  有三個地方
[00:02:08.000 --> 00:02:09.700]  有一個叫比哈希祿
[00:02:09.700 --> 00:02:11.800]  一個叫蜜奪
[00:02:11.800 --> 00:02:14.800]  另外在海的中間
[00:02:14.800 --> 00:02:19.900]  對著海的對面
[00:02:19.900 --> 00:02:24.700]  就叫巴力洗芬
[00:02:24.700 --> 00:02:28.400]  是靠近海邊停下
[00:02:28.400 --> 00:02:31.700]  三個地方中間
[00:02:31.700 --> 00:02:32.400]  哪裡呢?
[00:02:32.400 --> 00:02:33.600]  比哈希祿
[00:02:33.600 --> 00:02:35.900]  蜜奪和海中間
[00:02:35.900 --> 00:02:37.800]  那裡安寧
[00:02:37.800 --> 00:02:38.900]  那裡安寧
[00:02:38.900 --> 00:02:40.000]  紮營
[00:02:40.000 --> 00:02:44.200]  這裡是靠近海邊的
[00:02:44.200 --> 00:02:47.300]  而海的對面
[00:02:47.300 --> 00:02:50.800]  就是巴力洗芬這個地方
[00:02:50.800 --> 00:02:52.200]  你會知道
[00:02:52.200 --> 00:02:55.300]  有幾個神叫他們這樣做
[00:02:55.300 --> 00:02:57.600]  在海邊安寧
[00:02:57.600 --> 00:03:00.300]  在海邊安寧有什麼好處呢?
[00:03:00.300 --> 00:03:02.600]  不知道
[00:03:02.600 --> 00:03:04.800]  神有他的心意
[00:03:04.800 --> 00:03:06.600]  有時候你會發現
