
[00:00:00.000 --> 00:00:03.540]  阿伯拉罕第六次
[00:00:03.540 --> 00:00:05.940]  關乎阿伯拉罕的故事
[00:00:05.940 --> 00:00:07.500]  給了他一個題目
[00:00:07.500 --> 00:00:10.000]  叫做《愛心代求重蹈覆轍》
[00:00:10.000 --> 00:00:12.320]  第六講
[00:00:12.320 --> 00:00:14.040]  上一次講到哪裡呢?
[00:00:14.040 --> 00:00:17.440]  上一次講到阿伯拉罕接待了三個人
[00:00:17.440 --> 00:00:21.120]  接待完他們之後
[00:00:21.120 --> 00:00:22.840]  其中有一個就說
[00:00:22.840 --> 00:00:24.800]  明年到了這個時候
[00:00:24.800 --> 00:00:27.680]  撒拉必要生一個兒子
[00:00:27.680 --> 00:00:28.280]  是不是?
[00:00:28.280 --> 00:00:31.740]  接著那三個人就起行
[00:00:31.740 --> 00:00:35.460]  向著索多瑪那邊觀看
[00:00:35.460 --> 00:00:37.920]  阿伯拉罕就送他們一程
[00:00:37.920 --> 00:00:41.680]  今天我們就接續這一節繼續講下去
[00:00:41.680 --> 00:00:45.360]  經文就在《創世紀》十八章
[00:00:45.360 --> 00:00:49.780]  我們從受潔開始就看看發生了什麼事情
[00:00:49.780 --> 00:00:52.960]  三人就從那裡起行
[00:00:52.960 --> 00:00:54.500]  向索多瑪觀看
[00:00:54.500 --> 00:00:56.800]  阿伯拉罕也與他們同臨
[00:00:56.800 --> 00:00:58.000]  要送他們一程
[00:00:58.000 --> 00:01:00.800]  「我所要做的事
[00:01:00.800 --> 00:01:03.080]  豈可瞞著阿伯拉罕呢?
[00:01:03.080 --> 00:01:05.120]  阿伯拉罕必要成為大國
[00:01:05.120 --> 00:01:07.540]  地上的萬國都必因他得福
[00:01:07.540 --> 00:01:10.160]  我眷顧他謂要叫他
[00:01:10.160 --> 00:01:12.680]  吩咐他的眾子和他的眷屬
[00:01:12.680 --> 00:01:13.760]  遵守我的道
[00:01:13.760 --> 00:01:15.000]  秉行公義
[00:01:15.000 --> 00:01:18.320]  使我所應許阿伯拉罕的話都成就了」
[00:01:18.320 --> 00:01:22.920]  「索多瑪和俄摩拉的罪惡甚重
[00:01:22.920 --> 00:01:24.120]  聲聞於我
[00:01:24.120 --> 00:01:27.000]  我現在要下去察看他們所行的
[00:01:27.000 --> 00:01:32.440]  果然盡象那達到我耳中的聲音一樣嗎?
[00:01:32.440 --> 00:01:34.680]  若是不然我也必知道」
[00:01:34.680 --> 00:01:38.200]  二人轉身離開那裡向索多瑪去
[00:01:38.200 --> 00:01:43.400]  但阿伯拉罕仍舊站在耶和華面前
[00:01:43.400 --> 00:01:45.720]  阿伯拉罕近前來說
[00:01:45.720 --> 00:01:48.480]  「無論善惡你都要剿滅嗎?
[00:01:48.480 --> 00:01:51.000]  假若那城裡有五十個二人
[00:01:51.000 --> 00:01:53.000]  你還剿滅那地方嗎?
[00:01:53.000 --> 00:01:58.400]  不為這城裡那這五十個二人饒恕其中的人嗎?
[00:01:58.400 --> 00:02:00.800]  將二人與惡人同殺
[00:02:00.800 --> 00:02:03.120]  將二人與惡人一樣看待
[00:02:03.120 --> 00:02:05.280]  這斷不是理所行的
[00:02:05.280 --> 00:02:08.280]  審判全地的主豈不行公義嗎?
[00:02:08.280 --> 00:02:09.760]  而我說
[00:02:09.760 --> 00:02:13.200]  我若在索多瑪城裡見有五十個二人
[00:02:13.200 --> 00:02:16.840]  我就為他們的緣故饒恕那地方的眾人」
[00:02:16.840 --> 00:02:18.440]  阿伯拉罕說
[00:02:18.440 --> 00:02:21.680]  「我雖然是灰塵
[00:02:21.680 --> 00:02:23.240]  還敢對主說
[00:02:23.240 --> 00:02:26.240]  假若這五十個二人短了五個
[00:02:26.240 --> 00:02:30.360]  你就因為短了五個毀滅全城嗎?
[00:02:30.360 --> 00:02:31.240]  他說
[00:02:31.240 --> 00:02:36.040]  我在那裡若見有四十五個也不毀滅那城
[00:02:36.040 --> 00:02:38.240]  阿伯拉罕又對他說
[00:02:38.240 --> 00:02:43.280]  假若在那裡見有四十個怎麼樣呢?
[00:02:43.280 --> 00:02:44.160]  他說
[00:02:44.160 --> 00:02:47.000]  為了四十個的緣故我也不做這事
[00:02:47.000 --> 00:02:48.040]  阿伯拉罕說
[00:02:48.040 --> 00:02:49.040]  求主不要動牢籠
[00:02:49.040 --> 00:02:54.240]  我說 假若在那裡見有三十個怎麼樣呢?
[00:02:54.240 --> 00:02:55.240]  他說
[00:02:55.240 --> 00:02:58.320]  我在那裡若見有三十個我也不做這事
[00:02:58.320 --> 00:03:00.000]  阿伯拉罕說
[00:03:00.000 --> 00:03:01.400]  我還敢對主說
[00:03:01.400 --> 00:03:06.280]  假若在那裡見有二十個怎麼樣呢?
[00:03:06.280 --> 00:03:07.280]  他說
[00:03:07.280 --> 00:03:10.840]  為這二十個的緣故我也不毀滅那城
[00:03:10.840 --> 00:03:12.080]  阿伯拉罕說
[00:03:12.080 --> 00:03:12.960]  求主不要動牢
[00:03:12.960 --> 00:03:14.600]  我再說這一次
[00:03:14.600 --> 00:03:17.600]  假若在那裡見有十個呢?
[00:03:17.600 --> 00:03:21.280]  他說為了十個的緣故我也不毀滅那城
[00:03:21.280 --> 00:03:24.720]  耶和華與阿伯拉罕說完了話就走了
[00:03:24.720 --> 00:03:26.840]  阿伯拉罕又回到自己的地方去
[00:03:26.840 --> 00:03:30.120]  這段講述了發生的事情
[00:03:30.120 --> 00:03:32.600]  十七節那句話
