
[00:00:00.000 --> 00:00:02.480]  弟兄姊妹新年快樂!
[00:00:02.480 --> 00:00:04.640]  新一年新的開始
[00:00:04.640 --> 00:00:06.200]  很盼望在今年的裡邊
[00:00:06.200 --> 00:00:08.360]  我們在屬靈生命裡邊
[00:00:08.360 --> 00:00:10.600]  能夠有更新有突破
[00:00:10.600 --> 00:00:13.880]  能夠活出一個更土主喜悅的生命
[00:00:13.880 --> 00:00:17.800]  今年上半年我們會開始一個新的講道系列
[00:00:17.800 --> 00:00:21.360]  我們會一起去思想約書亞記
[00:00:21.360 --> 00:00:27.920]  約書亞記記載了很多昔日以色列民的屬靈的功課
[00:00:27.920 --> 00:00:30.280]  對於今日的我們,無論是我們個人的層面
[00:00:30.280 --> 00:00:32.480]  我們個人屬靈生命的更新
[00:00:32.480 --> 00:00:33.920]  或者在教會的層面
[00:00:33.920 --> 00:00:36.440]  教會怎樣前行,怎樣發展
[00:00:36.440 --> 00:00:40.480]  都會給我們有很重要的提醒
[00:00:40.480 --> 00:00:44.720]  約書亞記的信息非常豐富
[00:00:44.720 --> 00:00:48.280]  包括我們一會兒今天會看的約書亞記第一章
[00:00:48.280 --> 00:00:51.880]  怎樣鼓勵約書亞要剛強壯膽
[00:00:51.880 --> 00:00:59.040]  之後我們會看到妓女拉合的信心給我們有怎樣的鼓勵和提醒
[00:00:59.040 --> 00:01:01.200]  之後我們會看見神的恩手
[00:01:01.200 --> 00:01:05.600]  怎樣奇妙地帶領神的子民去渡過約旦河
[00:01:05.600 --> 00:01:10.400]  之後攻打耶利哥城,得著勝利
[00:01:10.400 --> 00:01:14.880]  不過因為神的子民的自滿
[00:01:14.880 --> 00:01:18.600]  還有當中的犯罪,阿干的犯罪
[00:01:18.600 --> 00:01:22.000]  以致他們要經歷大大的失敗
[00:01:22.000 --> 00:01:25.280]  接著我們會看見神怎樣一步一步帶領祂的子民
[00:01:25.280 --> 00:01:29.280]  去攻取應許地
[00:01:29.280 --> 00:01:34.480]  約書亞記記載了以色列民從曠野的漂泊
[00:01:34.480 --> 00:01:38.200]  進入到神所應許的豐盛的旅邊
[00:01:38.200 --> 00:01:41.680]  在人的軟弱和神的憐憫當中
[00:01:41.680 --> 00:01:46.200]  交織了很深刻的屬靈道理
[00:01:46.200 --> 00:01:48.880]  過往有時跟頂姐妹聊天分享的時候
[00:01:48.880 --> 00:01:54.680]  都會聽到她們在行走天路中一些不容易的故事
[00:01:54.680 --> 00:01:59.080]  有時在進入路上難免會有洩氣的時候
[00:01:59.080 --> 00:02:00.880]  可能因著不同的原因
[00:02:00.880 --> 00:02:08.280]  屬靈生命在曠野當中停留了一段可能以年計的時間
[00:02:08.280 --> 00:02:10.480]  可能更長的時間
[00:02:10.480 --> 00:02:13.080]  當頂姐妹默然回首的時候
[00:02:13.080 --> 00:02:17.080]  有時會發覺錯過了神許多的豐盛
[00:02:17.080 --> 00:02:19.080]  神許多的賜福
[00:02:19.080 --> 00:02:21.480]  所以很盼望透過在未來的日子裡
[00:02:21.480 --> 00:02:25.080]  我們一起深入思想約書亞記
[00:02:25.080 --> 00:02:28.080]  讓我們看見我們生命的更新
[00:02:28.080 --> 00:02:31.280]  我們生命的突破是可以的
[00:02:31.280 --> 00:02:34.680]  在神的恩典、在神的幫助之下
[00:02:34.680 --> 00:02:36.880]  以致我們能夠一同進入
[00:02:36.880 --> 00:02:42.280]  神所應許更豐盛的屬靈境地當中
[00:02:42.280 --> 00:02:45.280]  在今年早上我們會先一齊去看
[00:02:45.280 --> 00:02:46.680]  約書亞記第一章
[00:02:46.680 --> 00:02:49.080]  我們先看一至九節
[00:02:49.080 --> 00:02:51.080]  我們同讀這段經文
[00:02:51.080 --> 00:02:52.680]  預備起
[00:02:52.680 --> 00:02:55.880]  耶和華的僕人摩西死了以後
[00:02:55.880 --> 00:02:58.480]  耶和華曉遇摩西的幫手
[00:02:58.480 --> 00:03:01.280]  亂的兒子約書亞說
[00:03:01.280 --> 00:03:03.480]  我的僕人摩西死了
[00:03:03.480 --> 00:03:05.280]  現在你要起來
[00:03:05.280 --> 00:03:08.080]  和眾百姓歌者約旦河
[00:03:08.080 --> 00:03:11.480]  和我所要賜給以色列人的地去
[00:03:11.480 --> 00:03:14.080]  凡你們腳掌所踏之地
[00:03:14.080 --> 00:03:17.280]  我都照著我所應許摩西的話
[00:03:17.280 --> 00:03:19.080]  賜給你們了
[00:03:19.080 --> 00:03:21.880]  從曠野和這利巴嫩
[00:03:21.880 --> 00:03:23.680]  直到巴拉大河
[00:03:23.680 --> 00:03:25.280]  客人的傳遞
[00:03:25.280 --> 00:03:27.880]  又到大海日落之處
[00:03:27.880 --> 00:03:30.280]  都要作你們的警戒
[00:03:30.280 --> 00:03:32.080]  你們平生的日子
[00:03:32.080 --> 00:03:36.080]  必無一人能在你們面前站立得住
[00:03:36.080 --> 00:03:38.480]  我怎樣與摩西同在
[00:03:38.480 --> 00:03:41.080]  也必照樣與你同在
[00:03:41.080 --> 00:03:42.880]  我必不撇下你
[00:03:42.880 --> 00:03:44.680]  也不丟棄你
[00:03:44.680 --> 00:03:46.880]  你當剛強壯膽
[00:03:46.880 --> 00:03:50.880]  因為你必使這百姓承受那地遺孽
[00:03:50.880 --> 00:03:54.280]  就是我向他們列祖起誓應許
[00:03:54.280 --> 00:03:56.080]  賜給他們的地
[00:03:56.080 --> 00:03:58.880]  只要剛強大大壯膽
[00:03:58.880 --> 00:04:03.680]  謹守遵行我僕人摩西所吩咐你的一切律法
[00:04:03.680 --> 00:04:05.480]  不可偏離左右
[00:04:05.480 --> 00:04:07.680]  使你無論往哪裡去
[00:04:07.680 --> 00:04:09.880]  都可以順利
[00:04:09.880 --> 00:04:12.680]  這律法書不可離開你的口
[00:04:12.680 --> 00:04:14.680]  總要晝夜思想
[00:04:14.680 --> 00:04:19.280]  好似你謹守遵行這書上所寫的一切話
